Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components,UUID_provider
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.0167333565,Input,Passives,Capacitors,"4Q_output_control_card, 4Q_power_card, analog_control, digital_control, fan_supervision_card, inverter_power_card",6,0.0167333565,0,62e0e6af-6aed-35f7-b9d3-e431d9f2cdd9
"capacitor production, electrolyte type, > 2cm height",5f06394c-4efd-4c65-9e82-5fd3cbebbd15,kg,0.8915588,Input,Passives,Capacitors,"4Q_power_card, filter_card",2,0.8915588,0,d5406615-e515-38b2-8e40-05c14fc6707a
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.5895252225,Input,Passives,Capacitors,"4Q_output_power_card, 4Q_power_card, filter_card, fuse_card, inverter_power_card",21,0.5895252225,0,0883f34c-fa0a-3ad4-bf76-72a7e6b951a6
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.01309393696,Input,Passives,Capacitors,"4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, inverter_power_card",57,0.01309393696,0,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.00137,Input,Passives,Electromechanical,filter_card,1,0.00137,0,e7dad296-81c0-3161-940f-7e089569896d
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.044876387333,Input,Passives,"Crystals, Protection, Resistors, Test PIN","4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",22,0.044876387333,0,0e5d7b83-f812-32ac-a5e1-ac1d95910183
"inductor production, low value multilayer chip",736906f7-164e-4155-9fb4-894177303917,kg,0.00068144,Input,Passives,Inductors,"analog_control, digital_control",7,0.00068144,0,427ee4f1-ce71-34b3-b24f-ed9eca4585da
"inductor production, ring core choke type",3c3632b8-ce5b-4957-ac59-54e931ccd247,kg,0.178841,Input,Passives,Inductors,"analog_control, digital_control",6,0.178841,0,3df970a8-7ad0-39c0-b927-a268828edb22
"resistor production, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.0028,Input,Passives,Resistors,4Q_output_control_card,1,0.0028,0,287c9baf-8ec5-3321-bcfc-8b10e95550eb
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.0108682525,Input,Passives,Resistors,"4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, inverter_power_card",102,0.0108682525,0,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6
"resistor production, wirewound, through-hole mounting",db1c2047-0778-4de6-a5ce-2e1714278d34,kg,0.005948,Input,Passives,Resistors,contactor_card,1,0.005948,0,5ffa7488-e1d2-3fd7-b35b-aa667a6ec35f
"resistor, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.00641001,Input,Passives,Resistors,"4Q_output_power_card, filter_card, fuse_card",3,0.00641001,0,287c9baf-8ec5-3321-bcfc-8b10e95550eb
SECTION_Passives,,kg,1.762706405793,Output,Passives,"Capacitors, Crystals, Electromechanical, Inductors, Protection, Resistors, Test PIN","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",229,1.762706405793,0,
