Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.26,Input,40dc9f2f-40c2-37b4-8f38-53d043a5f756,
"wire drawing, copper",cdb7b939-f508-49ed-80f3-b39f6137fe1c,kg,0.26,Input,efa1c88d-6f36-3b05-810d-bed12fa4f2f5,
ferrite,fa6aa6bf-07c9-45bf-9fdc-a358a497b7e1,kg,0.47,Input,0e2aad85-6f2d-3cc4-ac35-2405033e455b,"P2,S1"
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0108,Input,dcda613c-0c0d-3cea-a518-a4847d197cdb,
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.0015,Input,4ec1457b-7716-3a2b-b019-a95236792b9a,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.0015,Input,58bb18d4-4cd4-30e4-a30e-3d49987423f9,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.002,Input,bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a,
"glass fibre reinforced plastic, polyamide, injection moulded",0798a5d1-6713-4c82-8ec9-c40ac2548279,kg,0.035,Input,4a831717-127f-3d9e-a5c6-6cc21b979d46,
acrylonitrile-butadiene-styrene copolymer,71e296f1-2f6d-481a-87ed-e0eac085054d,kg,0.09,Input,bdd05790-ff1f-368c-9b5d-9a64e7643699,
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,kg,0.125,Input,03cb3867-eb74-3a1a-a332-13b200ce4def,
"epoxy resin, liquid",51c7e57a-00b7-4412-b56c-94c17b211ee7,kg,0.11,Input,329af65f-12b0-3257-ad8a-80946d29298d,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.005,Input,dd86962a-dd7e-316b-9ae3-bb22c,
wood wool,6e4f1a58-c17a-4c76-aecc-3b5180d4f6b5,kg,1e-13,Input,NO_PROVIDER,
can_els,,kg,1,Output,,
