Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
"capacitor production, electrolyte type, < 2cm height","capacitor production, electrolyte type, < 2cm height | capacitor, electrolyte type, < 2cm height | APOS, U",4ba31d33-ea47-366e-a700-f2c314eefe35
"capacitor production, electrolyte type, > 2cm height","capacitor production, electrolyte type, > 2cm height | capacitor, electrolyte type, > 2cm height | APOS, U",8a9ed6e2-a68a-3a9c-9312-3045c3e64d6d
"capacitor production, film type, for through-hole mounting","capacitor production, film type, for through-hole mounting | capacitor, film type, for through-hole mounting | APOS, U",59460f65-cf77-3d26-9e32-c7d03a4cd924
"capacitor production, for surface-mounting","capacitor production, for surface-mounting | capacitor, for surface-mounting | APOS, U",58bb18d4-4cd4-30e4-a30e-3d49987423f9
"diode production, glass-, for surface-mounting","diode production, glass-, for surface-mounting | diode, glass-, for surface-mounting | APOS, U",0be8d851-ba22-3358-9978-1e98418488c6
"diode production, glass-, for through-hole mounting","diode production, glass-, for through-hole mounting | diode, glass-, for through-hole mounting | APOS, U",863bb1f1-9c01-33bb-b157-c441b466754e
"electric connector production, peripheral type buss","electric connector production, peripheral type buss | electric connector, peripheral type buss | APOS, U",92091161-fb50-3a3f-8f3d-a35a0a2e0fb0
"electric connector production, wire clamp","electric connector production, wire clamp | electric connector, wire clamp | APOS, U",dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2
"electronic component production, active, unspecified","electronic component production, active, unspecified | electronic component, active, unspecified | APOS, U",aab92320-5f7c-3d87-aafa-7dcd00f7295b
"electronic component, passive, unspecified","electronic component production, passive, unspecified | electronic component, passive, unspecified | APOS, U",f3d352d4-6c0c-3a0d-819a-cdac67904aae
"inductor, low value multilayer chip","inductor production, low value multilayer chip | inductor, low value multilayer chip | APOS, U",3ab9b906-aafe-3619-af19-8f898a2caab6
"inductor production, ring core choke type","inductor production, ring core choke type | inductor, ring core choke type | APOS, U",6fbd98c3-1c92-3f5f-ba66-bda680ca0ebc
"insulated gate bipolar transistor production, for electric vehicle applications","insulated gate bipolar transistor production, for electric vehicle applications | insulated gate bipolar transistor, electric vehicle application | APOS, U",898316bb-c09c-3745-80b4-a5262fd2a9f9
"integrated circuit production, logic type","integrated circuit production, logic type | integrated circuit, logic type | APOS, U",bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a
"light emitting diode production","light emitting diode production | light emitting diode | APOS, U",068100d0-b364-33c5-9c23-4a2ad382e3b3
"printed wiring board production, for through-hole mounting, Pb free surface","printed wiring board production, for through-hole mounting, Pb free surface | printed wiring board, for through-hole mounting, Pb free surface | APOS, U",dcda613c-0c0d-3cea-a518-a4847d197cdb
"resistor production, metal film type, through-hole mounting","resistor production, metal film type, through-hole mounting | resistor, metal film type, through-hole mounting | APOS, U",a0dd6779-6b13-38f5-ab6b-624af954475a
"resistor production, surface-mounted","resistor production, surface-mounted | resistor, surface-mounted | APOS, U",4ec1457b-7716-3a2b-b019-a95236792b9a
"resistor production, wirewound, through-hole mounting","resistor production, wirewound, through-hole mounting | resistor, wirewound, through-hole mounting | APOS, U",e0d7a365-f222-3c31-992f-d9223bb691a0
"resistor, metal film type, through-hole mounting","resistor production, metal film type, through-hole mounting | resistor, metal film type, through-hole mounting | APOS, U",a0dd6779-6b13-38f5-ab6b-624af954475a
"transistor production, surface-mounted","transistor production, surface-mounted | transistor, surface-mounted | APOS, U",fe412dc1-c484-36e1-9799-648be3ecec7c
"transistor production, wired, big size, through-hole mounting","transistor production, wired, big size, through-hole mounting | transistor, wired, big size, through-hole mounting | APOS, U",dc537ffb-6da8-3c92-b6e9-9ba0d7a74803
"transistor production, wired, small size, through-hole mounting","transistor production, wired, small size, through-hole mounting | transistor, wired, small size, through-hole mounting | APOS, U",f3ef86cc-7a61-3cfd-b5ef-fb23a5546472
