Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.017,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,SS1,S1"
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.000570018708,Input,0e5d7b83-f812-32ac-a5e1-ac1d95910183,"P1,SS1,S1"
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000427,Input,0ab592b0-9c9e-3c70-af7e-3bee25ba253a,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.0065,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,SS1,S1"
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.003966,Input,767a703b-4ad7-3037-9d45-63376b3ebf6f,"P1,SS1,S1"
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.003316848,Input,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6,"P1,SS1,S1"
"resistor production, wirewound, through-hole mounting",db1c2047-0778-4de6-a5ce-2e1714278d34,kg,0.005948,Input,5ffa7488-e1d2-3fd7-b35b-aa667a6ec35f,"P1,SS1,S1"
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,kg,0.03398,Input,33903d25-0ea9-3fde-96d4-f3e0c10deb33,"P1,SS1,S1"
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.017,Input,"dc812936-7e39-3ce7-b0e1-89bd03cfd262
steel",
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.017,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.000509184,Input,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea,"P1,SS1,S1"
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.000483368656,Input,b3241c19-7b7f-3545-b5ce-fde44dbd66de,"P1,SS1,S1"
"transistor production, wired, big size, through-hole mounting",b88d0305-a1db-4575-abad-16cb9214b14d,kg,0.03252,Input,dc537ffb-6da8-3c92-b6e9-9ba0d7a74803,"P1,SS1,S1"
light emitting diode production,084469ca-e2a7-4951-8753-60629e461823,kg,0.00035,Input,5c8c0f53-5ab4-3c32-8f6e-a41801361222,"P1,SS1,S1"
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,0.0006735025,Input,c1b963b5-774d-32ed-93cf-f52a2d1f8e37,"P1,SS1,S1"
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.03,Input,9e4d4bb4-2aed-3ef2-9caa-46439cf1c523,"P1,SS1,S1"
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.03,Input,05199773-548f-31b2-88b4-f1f8d6f9da98,
contactor_card,,kg,0.171603921864,Output,,
