Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0195,Input,dcda613c-0c0d-3cea-a518-a4847d197cdb,
"inductor production, ring core choke type",3c3632b8-ce5b-4957-ac59-54e931ccd247,kg,0.008,Input,6fbd98c3-1c92-3f5f-ba66-bda680ca0ebc,
polycarbonate,e0d6f217-d1e3-4d5d-8b8a-b13c846d4ad6,kg,0.00129,Input,7ff5dc85-d1ce-3c91-a067-662b423570ec,
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,kg,0.00129,Input,03cb3867-eb74-3a1a-a332-13b200ce4def,
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.00587056875,Input,f3d352d4-6c0c-3a0d-819a-cdac67904aae,
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.0195,Input,e801d0ad-859c-3ce4-82ac-8bf10d8e9ab4,
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.0195,Input,ad142cc0-19c8-38d0-853b-31ab69af414d,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.00258612796,Input,58bb18d4-4cd4-30e4-a30e-3d49987423f9,
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.0009,Input,4ba31d33-ea47-366e-a700-f2c314eefe35,
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.0053633875,Input,0be8d851-ba22-3358-9978-1e98418488c6,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.006277641,Input,bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a,
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000927,Input,aab92320-5f7c-3d87-aafa-7dcd00f7295b,
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.313532,Input,92091161-fb50-3a3f-8f3d-a35a0a2e0fb0,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.0012066,Input,dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,
"inductor production, low value multilayer chip",736906f7-164e-4155-9fb4-894177303917,kg,0.00013144,Input,3ab9b906-aafe-3619-af19-8f898a2caab6,
light emitting diode production,084469ca-e2a7-4951-8753-60629e461823,kg,0.00028096,Input,068100d0-b364-33c5-9c23-4a2ad382e3b3,
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.002020637,Input,4ec1457b-7716-3a2b-b019-a95236792b9a,
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,6.57e-05,Input,fe412dc1-c484-36e1-9799-648be3ecec7c,
digital_control,,kg,0.40851206221,Output,,
