Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05283-V1,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.00374,1.214286,1.214286,0.001214285714,area-based,
5,1,4,AUTO,Passives,Protection,"F1, F2",,MF-SM030,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.000948,0.474,0.948,0.000948,mass-based,
6,1,5,AUTO,Electromechanical,Connectors,"J1,J2",,236-402,EcoInvent,"electric connector production, wire clamp",kg,Input,0.003804,1.902,3.804,0.003804,mass-based,
7,1,5,AUTO,Electromechanical,Connectors,J3,,N3793-6302RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00405,4.05,4.05,0.00405,mass-based,
9,1,7,AUTO,Hardware,Mounting Hardware,PB4 ,,ZB6Y011,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.01,10.0,10.0,0.01,mass-based,
11,1,9,AUTO,Passives,Resistors,"R5, R6",1206,R1206_10K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.5712e-05,0.012856,0.025712,2.5712e-05,mass-based,
12,1,10,AUTO,Hardware,Mounting hardware,for J3s,,3341-5,EcoInvent,"market for steel, low-alloyed",kg,Input,0.00126385,0.631925,1.26385,0.00126385,mass-based,
12,1,10,AUTO,Hardware,Mounting hardware,for J3s,,3341-5,EcoInvent,"metal working, average for metal product manufacturing",kg,Input,0.00126385,0.631925,1.26385,0.00126385,mass-based,
14,1,12,AUTO,Assembly Processes,SMD,SMD_PROCESS,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,0.028,,,,area-based,
15,1,13,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,0.028,,,,area-based,
2,2,2,Electrolytic,Passives,Capacitors,"C1, C10",,MAL213668101E3,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.0038,1.9,3.8,0.0038,mass-based,
3,3,3,Film,Passives,Capacitors,C2 > C9,1206,CC1206_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000452608,0.056576,0.452608,0.000452608,mass-based,
4,3,3,Film,Passives,Capacitors,"C11, C12",1206,CC1206_1NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
8,4,6,Contact Block,Electromechanical,Switches,PB1 > PB3,,ZB6E2A,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.012,4.0,12.0,0.012,mass-based,
10,5,8,Switch Mounting Collar,Passives,Resistors,"R1-R4,R7-R18",1206,R1206_10R_1%_0.25W_200PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000205696,0.012856,0.205696,0.000205696,mass-based,
13,6,11,Emergency Stop Pushbutton Head,Electromechanical,Switches,PB5,,ZB6AS834,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.035,35.0,35.0,0.035,mass-based,
