Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05137-V1,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.0168,5.454545,5.454545,0.005454545455,area-based,
4,1,4,AUTO,Modules,DC/DC Converters,IC3–IC6,,TRV 1-2413M,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.0192,4.8,19.2,0.0192,mass-based,
6,1,5,AUTO,Modules,Hybrid relays,IC7,DIP6 SMD,AQV210EHA,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.000427,0.427,0.427,0.000427,mass-based,
8,1,7,AUTO,Passives,Protection,F1,,microSMD005F,EcoInvent,"electronic component, passive, unspecified",kg,Input,1.0018708e-05,0.010019,0.010019,1.0018708e-05,mass-based,
29,1,16,AUTO,Passives,Resistors,"R1–R4, R31, R35, R47, R48, R60",1206,R1206_10K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000115704,0.012856,0.115704,0.000115704,mass-based,
30,1,16,AUTO,Passives,Resistors,"R5–R9, R41, R44, R53, R56–R59",1206,R1206_47K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000154272,0.012856,0.154272,0.000154272,mass-based,
31,1,16,AUTO,Passives,Resistors,"R10, R11, R15–R30",1206,R1206_20R_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000231408,0.012856,0.231408,0.000231408,mass-based,
32,1,16,AUTO,Passives,Resistors,"R12, R49–R52",1206,R1206_10R_1%_0.25W_200PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,6.428e-05,0.012856,0.06428,6.428e-05,mass-based,
33,1,16,AUTO,Passives,Resistors,"R13, R14, R32, R36–R40, R42, R43",1206,R1206_1K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.00012856,0.012856,0.12856,0.00012856,mass-based,
34,1,16,AUTO,Passives,Resistors,R33,1206,R1206_2K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.2856e-05,0.012856,0.012856,1.2856e-05,mass-based,
35,1,16,AUTO,Passives,Resistors,"R34, R45, R46, R54, R55",1206,R1206_100R_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,6.428e-05,0.012856,0.06428,6.428e-05,mass-based,
36,1,17,AUTO,Electromechanical,Connectors,J1,,25.161.0353.0,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00245594672,2.455947,2.455947,0.00245594672,mass-based,
37,1,17,AUTO,Electromechanical,Connectors,J2,,350789-1,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.001983,1.983,1.983,0.001983,mass-based,
38,1,17,AUTO,Electromechanical,Connectors,J3,,N3428-6302RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.01818128704,18.181287,18.181287,0.01818128704,mass-based,
39,1,18,AUTO,Passives,Test PIN,B8-B32,,20-2136,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.002,0.08,2.0,0.002,mass-based,
40,1,19,AUTO,Magnetics,Current sensing,TR1,,HCR6BFW,EcoInvent,"transformer production, low voltage use",kg,Input,0.0095,9.5,9.5,0.0095,mass-based,
41,1,20,AUTO,Hardware,Mounting hardware,J3 screws,,3341-5,EcoInvent,"steel, low-alloyed",kg,Input,0.00126385,0.631925,1.26385,0.00126385,mass-based,
41,1,20,AUTO,Hardware,Mounting hardware,J3 screws,,3341-5,EcoInvent,"metal working, average for steel product manufacturing",kg,Input,0.00126385,0.631925,1.26385,0.00126385,mass-based,
42,1,21,AUTO,Mechanical components,spacer,igbt_spacer,,,Ecoinvent,"copper, cathode",kg,Input,0.004,4.0,4.0,0.004,mass-based,
42,1,21,AUTO,Mechanical components,spacer,igbt_spacer,,,Ecoinvent,"metal working, average for copper product manufacturing",kg,Input,0.004,4.0,4.0,0.004,mass-based,
43,1,22,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,0.0168,,,,area-based,
44,1,23,AUTO,Assembly Processes,SMD,SMD_PROCESS,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,0.0168,,,,area-based,
2,2,2,IGBT,Discrete Semiconductors,Power,"IGBT_A1, A2, B1, B2",TO-247,IKW25N120H3,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,0.02168,5.42,21.68,0.02168,mass-based,
3,3,3,Power management,IC,Analog,"IC1, IC2",,2ED3141MC12L,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00075384375,0.376922,0.753844,0.00075384375,mass-based,
5,3,3,Power management,IC,Analog,REG1,D2PAK,LD1086D2M33TR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.001566914694,1.566915,1.566915,0.001566914694,mass-based,
7,4,6,Interface,IC,Digital,IC8,SOIC16,AM26LV32IDR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001853125,0.185313,0.185313,0.0001853125,mass-based,
9,5,8,Zener Diodes,Discrete Semiconductors,Small signal,D1–D4,SOD-80C,BZV55-B15,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,7.496e-05,0.01874,0.07496,7.496e-05,mass-based,
10,5,8,Zener Diodes,Discrete Semiconductors,Small signal,"D5, D6",SOD-80C,BZV55-B10,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,3.748e-05,0.01874,0.03748,3.748e-05,mass-based,
11,6,9,TVS,Discrete Semiconductors,Small signal,D7,DO-214AA,SMBJ24A,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000102937052,0.102937,0.102937,0.000102937052,mass-based,
12,6,9,TVS,Discrete Semiconductors,Small signal,D8–D11,SOT23-3,SM712.TCT,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,3.285e-05,0.008212,0.03285,3.285e-05,mass-based,
13,7,10,LED,Discrete Semiconductors,Optoelectronics,LD1,,LY T676-R1S2-26,EcoInvent,light emitting diode production,kg,Input,0.00035,0.35,0.35,0.00035,mass-based,
14,8,11,Bipolar transistor,Discrete Semiconductors,Small signal,T1,SOT23-3,MMBT3906L,EcoInvent,"transistor production, surface-mounted",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
15,9,12,MOSFET,Discrete Semiconductors,Small signal,T2–T7,SOT23-3,BSS119N,EcoInvent,"transistor production, surface-mounted",kg,Input,4.9275e-05,0.008212,0.049275,4.9275e-05,mass-based,
16,10,13,MLCC,Passives,Capacitors,"C1, C2",,FKP1U004704C00KSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.003645,1.8225,3.645,0.003645,mass-based,
18,10,13,MLCC,Passives,Capacitors,C15,,MKP4J043307F00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.0340632,34.0632,34.0632,0.0340632,mass-based,
19,10,13,MLCC,Passives,Capacitors,"C16, C17",,MKP4O141007E00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.05524065,27.620325,55.24065,0.05524065,mass-based,
22,10,13,MLCC,Passives,Capacitors,"C26, C44",,MKY22W21004B00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.002673,1.3365,2.673,0.002673,mass-based,
23,10,13,MLCC,Passives,Capacitors,"C3, C4",,FKP1U004704C00KSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.003645,1.8225,3.645,0.003645,mass-based,
24,10,13,MLCC,Passives,Capacitors,C5–C8,,MKY22W14703F00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.003861,0.96525,3.861,0.003861,mass-based,
25,10,13,MLCC,Passives,Capacitors,"C13, C14",,MKP4O141507G00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.0885195,44.25975,88.5195,0.0885195,mass-based,
26,10,13,MLCC,Passives,Capacitors,C18,,MKP4F044706F00MSSD,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.01658475,16.58475,16.58475,0.01658475,mass-based,
17,11,14,Film,Passives,Capacitors,C9–C12,1206,CC1206_1NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000226304,0.056576,0.226304,0.000226304,mass-based,
20,11,14,Film,Passives,Capacitors,"C20, C21",1206,CC1206_220PF_50V_5%_NP0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
21,11,14,Film,Passives,Capacitors,C22–C25,E,CTE7343-43_10UF_35V_10%_LESR0200E,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.002831378,0.707844,2.831378,0.002831378,mass-based,
28,11,14,Film,Passives,Capacitors,"C27–C43, C45–C54",1206,CC1206_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.001527552,0.056576,1.527552,0.001527552,mass-based,
27,12,15,Tantalum,Passives,Capacitors,C19,,B32653A6224J000,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,0.0040068,4.0068,4.0068,0.0040068,mass-based,
