Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0168,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,SS1,S1"
ten,aeae69c7-e8ee-4edd-b672-0af20885f46b,kg,0.0192,Input,8d77477b-ed24-41e1-af47-b854ae91a712,
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000427,Input,0ab592b0-9c9e-3c70-af7e-3bee25ba253a,
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.002010018708,Input,0e5d7b83-f812-32ac-a5e1-ac1d95910183,"P1,SS1,S1"
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.00077136,Input,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6,"P1,SS1,S1"
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.02063723376,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,SS1,S1"
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.001983,Input,767a703b-4ad7-3037-9d45-63376b3ebf6f,"P1,SS1,S1"
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,kg,0.0095,Input,33903d25-0ea9-3fde-96d4-f3e0c10deb33,"P1,SS1,S1"
"steel, low-alloyed",817c3650-4fed-4ef2-b9b6-404a198834e6,kg,0.00126385,Input,b784237b-e38b-345f-91ab-4f8f10f4ef10,"P1,SS1,S1"
"metal working, average for steel product manufacturing",79632c4b-f876-4c89-bf27-b864b30566be,kg,0.00126385,Input,8185cec5-3801-3507-a689-cde0fb0721f2,
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.0168,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.0168,Input,"dc812936-7e39-3ce7-b0e1-89bd03cfd262
insulated gate bipolar transistor production"," for electric vehicle applications"""
"insulated gate bipolar transistor production, for electric vehicle applications",,kg,0.02168,Input,,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.002506070944,Input,8f52d745-448c-3c83-b48a-7a26867102b0,"P1,SS1,S1"
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.000248227052,Input,b3241c19-7b7f-3545-b5ce-fde44dbd66de,"P1,SS1,S1"
light emitting diode production,084469ca-e2a7-4951-8753-60629e461823,kg,0.00035,Input,5c8c0f53-5ab4-3c32-8f6e-a41801361222,"P1,SS1,S1"
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,5.74875e-05,Input,c1b963b5-774d-32ed-93cf-f52a2d1f8e37,"P1,SS1,S1"
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.2122389,Input,0883f34c-fa0a-3ad4-bf76-72a7e6b951a6,"P1,SS1,S1"
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.001867008,Input,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea,"P1,SS1,S1"
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.002831378,Input,62e0e6af-6aed-35f7-b9d3-e431d9f2cdd9,"P1,SS1,S1"
inverter_power_card,,kg,0.349315533964,Output,,
