Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"epoxy resin, liquid",51c7e57a-00b7-4412-b56c-94c17b211ee7,0.315,kg,Input,329af65f-12b0-3257-ad8a-80946d29298d,
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,0.315,kg,Input,03cb3867-eb74-3a1a-a332-13b200ce4def,
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,0.236,kg,Input,33903d25-0ea9-3fde-96d4-f3e0c10deb33,
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,0.03831168,m2,Input,dcda613c-0c0d-3cea-a518-a4847d197cdb,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,0.039,kg,Input,bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a,
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,0.039,kg,Input,fe412dc1-c484-36e1-9799-648be3ecec7c,
light emitting diode production,084469ca-e2a7-4951-8753-60629e461823,0.024,kg,Input,068100d0-b364-33c5-9c23-4a2ad382e3b3,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,0.079,kg,Input,58bb18d4-4cd4-30e4-a30e-3d49987423f9,
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,0.039,kg,Input,4ec1457b-7716-3a2b-b019-a95236792b9a,
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,0.094,kg,Input,40dc9f2f-40c2-37b4-8f38-53d043a5f756,
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,0.094,kg,Input,1b2956e7-27a2-3d24-bdc7-8d4d96c596c9,
wood wool,6,kg,3.0000000000000003e-13,Input,NO_PROVIDER,
ten,,kg,1,Output,,
