Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
"capacitor production, electrolyte type, < 2cm height","capacitor production, electrolyte type, < 2cm height | capacitor, electrolyte type, < 2cm height | Cutoff, U",62e0e6af-6aed-35f7-b9d3-e431d9f2cdd9
"capacitor production, electrolyte type, > 2cm height","capacitor production, electrolyte type, > 2cm height | capacitor, electrolyte type, > 2cm height | Cutoff, U",d5406615-e515-38b2-8e40-05c14fc6707a
"capacitor production, film type, for through-hole mounting","capacitor production, film type, for through-hole mounting | capacitor, film type, for through-hole mounting | Cutoff, U",0883f34c-fa0a-3ad4-bf76-72a7e6b951a6
"capacitor production, for surface-mounting","capacitor production, for surface-mounting | capacitor, for surface-mounting | Cutoff, U",4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea
"diode production, glass-, for surface-mounting","diode production, glass-, for surface-mounting | diode, glass-, for surface-mounting | Cutoff, U",b3241c19-7b7f-3545-b5ce-fde44dbd66de
"diode production, glass-, for through-hole mounting","diode production, glass-, for through-hole mounting | diode, glass-, for through-hole mounting | Cutoff, U",b4e13f29-d6ca-3518-b275-8b634fa82be3
"electric connector production, peripheral type buss","electric connector production, peripheral type buss | electric connector, peripheral type buss | Cutoff, U",767a703b-4ad7-3037-9d45-63376b3ebf6f
"electric connector production, wire clamp","electric connector production, wire clamp | electric connector, wire clamp | Cutoff, U",e7dad296-81c0-3161-940f-7e089569896d
"electronic component production, active, unspecified","electronic component production, active, unspecified | electronic component, active, unspecified | Cutoff, U",0ab592b0-9c9e-3c70-af7e-3bee25ba253a
"electronic component, passive, unspecified","electronic component production, passive, unspecified | electronic component, passive, unspecified | Cutoff, U",0e5d7b83-f812-32ac-a5e1-ac1d95910183
"inductor production, low value multilayer chip","inductor production, low value multilayer chip | inductor, low value multilayer chip | Cutoff, U",427ee4f1-ce71-34b3-b24f-ed9eca4585da
"inductor production, ring core choke type","inductor production, ring core choke type | inductor, ring core choke type | Cutoff, U",3df970a8-7ad0-39c0-b927-a268828edb22
"insulated gate bipolar transistor production, for electric vehicle applications","insulated gate bipolar transistor production, for electric vehicle applications | insulated gate bipolar transistor, electric vehicle application | Cutoff, U",05752997-b19a-3312-a7fc-e5d5c67f3957
"integrated circuit production, logic type","integrated circuit production, logic type | integrated circuit, logic type | Cutoff, U",8f52d745-448c-3c83-b48a-7a26867102b0
light emitting diode production,"light emitting diode production | light emitting diode | Cutoff, U",5c8c0f53-5ab4-3c32-8f6e-a41801361222
"printed wiring board production, for through-hole mounting, Pb free surface","printed wiring board production, for through-hole mounting, Pb free surface | printed wiring board, for through-hole mounting, Pb free surface | Cutoff, U",9614a58c-201f-3dd5-b0f5-fc697ac98c1c
"resistor production, metal film type, through-hole mounting","resistor production, metal film type, through-hole mounting | resistor, metal film type, through-hole mounting | Cutoff, U",287c9baf-8ec5-3321-bcfc-8b10e95550eb
"resistor production, surface-mounted","resistor production, surface-mounted | resistor, surface-mounted | Cutoff, U",aed09801-e9a1-390e-86f5-2bf4b0ffbdd6
"resistor production, wirewound, through-hole mounting","resistor production, wirewound, through-hole mounting | resistor, wirewound, through-hole mounting | Cutoff, U",5ffa7488-e1d2-3fd7-b35b-aa667a6ec35f
"resistor, metal film type, through-hole mounting","resistor production, metal film type, through-hole mounting | resistor, metal film type, through-hole mounting | Cutoff, U",287c9baf-8ec5-3321-bcfc-8b10e95550eb
"transistor production, surface-mounted","transistor production, surface-mounted | transistor, surface-mounted | Cutoff, U",c1b963b5-774d-32ed-93cf-f52a2d1f8e37
"transistor production, wired, big size, through-hole mounting","transistor production, wired, big size, through-hole mounting | transistor, wired, big size, through-hole mounting | Cutoff, U",dc537ffb-6da8-3c92-b6e9-9ba0d7a74803
"transistor production, wired, small size, through-hole mounting","transistor production, wired, small size, through-hole mounting | transistor, wired, small size, through-hole mounting | Cutoff, U",f3ef86cc-7a61-3cfd-b5ef-fb23a5546472
