Ecoinvent_flow,UUID
connector_system,3556266b-4ab7-4607-a913-f0fdeab62977
"hazardous waste, for incineration",e5208079-1561-4537-a1f8-863db2702d0f
"waste plastic, mixture",88afd721-07ec-4910-a004-fa3fecb6bf70
Water,075e433b-4be4-448e-9510-9a5029c1ce94
magnet,63dfceea-b0f1-4948-ad14-d317007805ed
4Q_output_control_card,72e38130-d4e0-40d2-a9f7-7762640c4095
4Q_output_power_card,a5f8c07e-c5b6-422f-b0ae-3be342900d85
4Q_power_card,3e0a64f5-e207-4447-8e6b-ee8a363a8e76
analog_control,62dc2172-1a85-4a0c-9ac9-d2d507353811
contactor_card,a580d80f-4c8c-4829-ba78-7e4e1db6ba44
control_backplane_card,830fccf8-8f81-4c0d-9471-57e4ff9588d5
digital_control,1016e6a4-ab5f-425c-b616-75135c25ac01
fan_supervision_card,7e4a3bef-e3ba-4e30-b504-5aac13264c6f
filter_card,43018f52-eb06-4044-bdd3-f536d6ea434b
fuse_card,adc11677-c9c7-46ae-9e69-d18450af0e04
HF_Power_Transformer_PM624929,20622901-3577-455e-8cba-61cfc67669b0
inverter_power_card,767ec350-3276-46e6-9ad0-e1fbfe4c79ba
mechanical_components,ca918a0b-630e-4706-8805-84c0d8bee9a5
MEXICO_CONVERTER,7ce34a94-cd3c-4438-8b20-82460f0ad480
power_inductor_PM6249,fc3ebb2f-752f-44fe-a3ec-48943637bd6e
system,c6131ee2-f875-434e-992c-0b1e86de60d3
P1,163759e9-63ef-47e4-84a2-7376e55a2096
P2,752dc9f5-c34c-40fd-9a28-140d8aa8492f
S1,cce83ee1-bc68-470d-b1d4-5b92ccdd6123
S2,a43f4c7e-a921-405f-9665-5d2223e33114
SS1,7c2b721b-179c-43f0-954b-c4708caca7a9
connector_system_transport,68be51f8-01e5-480f-bece-a8aaee36af67
magnet_transport,23e5e358-0b4b-4925-b61f-db90e87594ca
mexico_transport,a0ad4a5b-687b-460f-b81e-3ee8ab2e6bb2
transport,a5e98a0d-2e95-4e7d-9599-3483c467b427
use_mix,0594b9cd-c089-4d0e-a449-64f38439734d
use_renewables,7ad1a9c9-fd99-4e2c-a15d-788f750fadc4
TEN_6-2415N,40fd8478-a3a3-4712-a5be-4a61b545b030
aux_TEN_6-2415N,84748927-149d-4727-8a6e-593d9bb1d1a4
ten,06fef37a-5a32-4810-b822-dc84461b0c12
can_els,f66f1621-b81c-438c-9122-925e52dc5dc8
