Impact category,Amount,Unit
Acidification,0.36289965440919275,mol H+-Eq
Climate change,43.11317648959111,kg CO2-Eq
Climate change: biogenic,0.110497090229607,kg CO2-Eq
Climate change: fossil,42.91669486672925,kg CO2-Eq
Climate change: land use and land use change,0.08598453263226107,kg CO2-Eq
Ecotoxicity: freshwater,1186.8753956259054,CTUe
"Ecotoxicity: freshwater, inorganics",1178.8440901726524,CTUe
"Ecotoxicity: freshwater, organics",8.031305453253214,CTUe
Energy resources: non-renewable,554.1890229353263,"MJ, net calorific value"
Eutrophication: freshwater,0.05958074734361982,kg P-Eq
Eutrophication: marine,0.06299386013719699,kg N-Eq
Eutrophication: terrestrial,0.6791360670627669,mol N-Eq
Human toxicity: carcinogenic,3.089751967389406e-08,CTUh
"Human toxicity: carcinogenic, inorganics",2.1638228664239305e-08,CTUh
"Human toxicity: carcinogenic, organics",9.259291009654737e-09,CTUh
Human toxicity: non-carcinogenic,1.719644436104685e-06,CTUh
"Human toxicity: non-carcinogenic, inorganics",1.6614640031867566e-06,CTUh
"Human toxicity: non-carcinogenic, organics",5.81804329179275e-08,CTUh
Ionising radiation: human health,4.6476570619550355,kBq U235-Eq
Land use,239.86262767137595,dimensionless
Material resources: metals/minerals,0.015408225079315547,kg Sb-Eq
Ozone depletion,2.401100634130517e-06,kg CFC-11-Eq
Particulate matter formation,2.6755710499841855e-06,disease incidence
Photochemical oxidant formation: human health,0.19383995111324387,kg NMVOC-Eq
Water use,15.6328403422246,m3 world Eq deprived
