Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,48.00676958342557,mol H+-Eq,0.8639043713664573,mol H+-Eq/ref
Climate change,867.1726081923068,kg CO2-Eq,0.11481041443318037,kg CO2-Eq/ref
Climate change: biogenic,3.3507058237084513,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,862.5851152389088,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,1.2367871296896678,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,55283.41406639866,CTUe,0.9747309849536804,CTUe/ref
"Ecotoxicity: freshwater, inorganics",55127.62599678638,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",155.788069612312,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,32293.434939590206,"MJ, net calorific value",0.4967895197714526,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.9162086615767997,kg P-Eq,2.437192939745604,kg P-Eq/ref
Eutrophication: marine,2.611892837011256,kg N-Eq,0.13363359303312566,kg N-Eq/ref
Eutrophication: terrestrial,34.641570417161574,mol N-Eq,0.19598636788978444,mol N-Eq/ref
Human toxicity: carcinogenic,4.943213768319292e-06,CTUh,0.2865149492734145,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.777916218713376e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.6529754960591555e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0004984190044561784,CTUh,3.8716365620819224,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.00046776925553604435,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.0649748920134225e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1500.628412903249,kBq U235-Eq,0.3555853824188663,kBq U235-Eq/ref
Land use,21662.34751731653,dimensionless,0.02643367364239769,dimensionless/ref
Material resources: metals/minerals,0.6091315820888148,kg Sb-Eq,9.574136210666834,kg Sb-Eq/ref
Ozone depletion,1.41683043317217e-05,kg CFC-11-Eq,0.0002706540970276331,kg CFC-11-Eq/ref
Particulate matter formation,0.00012404444824531797,disease incidence,0.20834955287296403,disease incidence/ref
Photochemical oxidant formation: human health,10.084224074090754,kg NMVOC-Eq,0.24680426034617478,kg NMVOC-Eq/ref
Water use,3715.563777099106,m3 world Eq deprived,0.3239740317528117,m3 world Eq deprived/ref
