Impact category,Amount (Normalized),Normalized Unit
Acidification,0.8639043713664573,mol H+-Eq/ref
Climate change,0.11481041443318037,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.9747309849536804,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.4967895197714526,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.437192939745604,kg P-Eq/ref
Eutrophication: marine,0.13363359303312566,kg N-Eq/ref
Eutrophication: terrestrial,0.19598636788978444,mol N-Eq/ref
Human toxicity: carcinogenic,0.2865149492734145,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.8716365620819224,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.3555853824188663,kBq U235-Eq/ref
Land use,0.02643367364239769,dimensionless/ref
Material resources: metals/minerals,9.574136210666834,kg Sb-Eq/ref
Ozone depletion,0.0002706540970276331,kg CFC-11-Eq/ref
Particulate matter formation,0.20834955287296403,disease incidence/ref
Photochemical oxidant formation: human health,0.24680426034617478,kg NMVOC-Eq/ref
Water use,0.3239740317528117,m3 world Eq deprived/ref
