Flow,Amount,Unit,Is input
Water,84.35750829387598,m3,False
"Transformation, to industrial area",0.12458482405698452,m2,True
"Transformation, to lake, artificial",0.0866716848715301,m2,True
"Water, turbine use, unspecified natural origin",132803.98648916738,m3,True
"Transformation, from forest, unspecified",0.049756515646433394,m2,True
"Energy, potential (in hydropower reservoir), converted",20698.336406222035,MJ,True
"Carbon dioxide, from soil or biomass stock",1.244163265351175,kg,False
Water,132891.5428067755,m3,False
"Methane, non-fossil",0.12290663534392589,kg,False
"Volume occupied, reservoir",402.2366077043157,m3*a,True
"Occupation, lake, artificial",12.262312564342045,m2*a,True
Water,125.61246876350984,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0518245597873561,kg,False
"Hydrocarbons, unspecified",0.0003126548235227599,kg,False
Cadmium II,6.9244526931211365e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.9718447130045575e-10,kg,False
Selenium IV,6.484941202205251e-06,kg,False
Chromium VI,1.9957831645862797e-06,kg,False
Vanadium V,4.2289384558799716e-07,kg,False
Copper ion,0.001426344059264714,kg,False
"TOC, Total Organic Carbon",0.0061841392022396425,kg,False
Ammonia,0.6733309336185537,kg,False
Arsenic ion,4.822931847097589e-05,kg,False
Chromium III,8.584762084188716e-05,kg,False
Zinc II,0.0006655086481246015,kg,False
Nitrogen,0.00016733449000824434,kg,False
"Water, unspecified natural origin",1.53743088973882,m3,True
"AOX, Adsorbable Organic Halides",2.4341869248504464e-05,kg,False
Benzene,0.0002666205436808652,kg,False
Rhodium III,1.715249304955842e-08,kg,False
Mercury II,9.850538400517547e-07,kg,False
Chloride,0.10636805206654235,kg,False
Tin ion,9.436351685385632e-05,kg,False
Formaldehyde,0.000954531876133495,kg,False
Nickel II,9.839819508617984e-05,kg,False
Sulfate,0.09158905685569083,kg,False
Sulfide,0.00016824223384507956,kg,False
Selenium IV,8.642569460538347e-07,kg,False
"Suspended solids, unspecified",0.010518763612986756,kg,False
Nitrogen oxides,4.483366694571122,kg,False
Tellurium,2.618196724860429e-08,kg,False
Platinum,1.715249304955842e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.395557528094167e-08,kg,False
Beryllium II,1.7890644547924854e-07,kg,False
Palladium II,1.717048503359329e-08,kg,False
Vanadium V,0.00018154618799827736,kg,False
Copper ion,0.0001862554456862068,kg,False
Antimony ion,0.00012270974868655154,kg,False
Ammonium,0.0018600398268659806,kg,False
Cobalt II,3.0970269910182336e-05,kg,False
Arsenic ion,1.1349937477290747e-06,kg,False
Fluoride,0.000950869033827452,kg,False
Barium II,3.091300397362837e-05,kg,False
Hydrogen fluoride,0.0012793742697323738,kg,False
Lead II,0.0005667930683279245,kg,False
Hydrochloric acid,0.003765043223844816,kg,False
Boron,8.419187107631852e-06,kg,False
Chromium III,0.008464937027363636,kg,False
Sodium I,0.027957230010328845,kg,False
"NMVOC, non-methane volatile organic compounds",0.8545127263132241,kg,False
t-Butyl methyl ether,4.209593553815916e-07,kg,False
Cyanide,0.00015586751044675996,kg,False
"Heat, waste",31.725403280010344,MJ,False
Nickel II,0.0004388096405400684,kg,False
Hydrogen sulfide,0.002953081942491049,kg,False
Cobalt II,4.0060106169076263e-07,kg,False
Mercury II,8.532233955538366e-06,kg,False
Benzene,0.0018786507866812435,kg,False
"Particulate Matter, < 2.5 um",0.12136341739876691,kg,False
"Carbon monoxide, fossil",1.420246821123373,kg,False
Cadmium II,4.750053515567301e-06,kg,False
"Xylenes, unspecified",0.00042127466909114,kg,False
Dinitrogen monoxide,0.04429354042227354,kg,False
Toluene,0.000534123947339285,kg,False
"Particulate Matter, > 10 um",0.17261090138879084,kg,False
Thallium I,9.00125725624855e-07,kg,False
Aluminium III,5.394502243785879e-05,kg,False
Nitrate,0.0003142559435544136,kg,False
"Xylenes, unspecified",1.7339715161386818e-06,kg,False
Nitrite,1.4554168388387356e-06,kg,False
"BOD5, Biological Oxygen Demand",0.019572852541150217,kg,False
Molybdenum VI,2.1047967769079614e-07,kg,False
"Heat, waste",5.063168886487986,MJ,False
Water,5.580678687534821,m3,False
Benzo(a)pyrene,8.633064869983379e-07,kg,False
"Water, cooling, unspecified natural origin",162.98553856870546,m3,True
Manganese II,7.584619658502031e-05,kg,False
Zinc II,0.0001210815002146881,kg,False
Iron ion,0.004702789829120024,kg,False
Manganese II,1.8096835613436495e-05,kg,False
Toluene,0.00010110098716697982,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00010140890049974378,kg,False
Lead II,8.196095382444673e-05,kg,False
Tin ion,2.109874849185415e-07,kg,False
Phenol,3.246535686479671e-05,kg,False
"Carbon dioxide, fossil",146.71572396394305,kg,False
