Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,3.954043777092375,mol H+-Eq,0.07115487530708152,mol H+-Eq/ref
Climate change,425.17231789057763,kg CO2-Eq,0.056291226869227794,kg CO2-Eq/ref
Climate change: biogenic,2.143460365016778,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,422.283186939049,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.7456705865117945,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,5528.066060559966,CTUe,0.09746824372363955,CTUe/ref
"Ecotoxicity: freshwater, inorganics",5260.362512617563,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",267.7035479424048,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,15763.6510439903,"MJ, net calorific value",0.2425018164415827,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.3766114406519361,kg P-Eq,0.2343784061329233,kg P-Eq/ref
Eutrophication: marine,0.6086629409052183,kg N-Eq,0.031141329608433254,kg N-Eq/ref
Eutrophication: terrestrial,6.177692702451139,mol N-Eq,0.03495059664191258,mol N-Eq/ref
Human toxicity: carcinogenic,3.4178914239511303e-07,CTUh,0.01981053286085893,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.0658280838337999e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.3520633401173286e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.8826840668102408e-05,CTUh,0.14624379092175,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.7797741543703398e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.0290991243990108e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,750.0178634574426,kBq U235-Eq,0.17772247046990344,kBq U235-Eq/ref
Land use,4516.55051604705,dimensionless,0.005511361233363694,dimensionless/ref
Material resources: metals/minerals,0.05652941360386397,kg Sb-Eq,0.8885113195027268,kg Sb-Eq/ref
Ozone depletion,3.264908641952521e-05,kg CFC-11-Eq,0.0006236885372280785,kg CFC-11-Eq/ref
Particulate matter formation,3.596013535565354e-05,disease incidence,0.06039994718493558,disease incidence/ref
Photochemical oxidant formation: human health,2.1878705665390887,kg NMVOC-Eq,0.05354658652371657,kg NMVOC-Eq/ref
Water use,1701.1929925202953,m3 world Eq deprived,0.14833343891804504,m3 world Eq deprived/ref
