Impact category,Amount (Normalized),Normalized Unit
Acidification,0.07115487530708152,mol H+-Eq/ref
Climate change,0.056291226869227794,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.09746824372363955,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.2425018164415827,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.2343784061329233,kg P-Eq/ref
Eutrophication: marine,0.031141329608433254,kg N-Eq/ref
Eutrophication: terrestrial,0.03495059664191258,mol N-Eq/ref
Human toxicity: carcinogenic,0.01981053286085893,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.14624379092175,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.17772247046990344,kBq U235-Eq/ref
Land use,0.005511361233363694,dimensionless/ref
Material resources: metals/minerals,0.8885113195027268,kg Sb-Eq/ref
Ozone depletion,0.0006236885372280785,kg CFC-11-Eq/ref
Particulate matter formation,0.06039994718493558,disease incidence/ref
Photochemical oxidant formation: human health,0.05354658652371657,kg NMVOC-Eq/ref
Water use,0.14833343891804504,m3 world Eq deprived/ref
