Flow,Amount,Unit,Is input
Water,39.42958977982721,m3,False
"Transformation, to industrial area",0.03330048262901748,m2,True
"Transformation, to lake, artificial",0.04517861293790055,m2,True
"Water, turbine use, unspecified natural origin",64629.14292919675,m3,True
"Transformation, from forest, unspecified",0.019707483381785882,m2,True
"Energy, potential (in hydropower reservoir), converted",9906.890423871439,MJ,True
"Carbon dioxide, from soil or biomass stock",0.7533527841043591,kg,False
Water,64676.2000383652,m3,False
"Methane, non-fossil",0.07852184595746443,kg,False
"Volume occupied, reservoir",193.2214096917807,m3*a,True
"Occupation, lake, artificial",6.3281413533792295,m2*a,True
Water,47.15905713737221,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.015866129081062514,kg,False
"Hydrocarbons, unspecified",0.00030578972806290906,kg,False
Cadmium II,4.802132834938068e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.1142636086390567e-09,kg,False
Selenium IV,1.0812688023901212e-06,kg,False
Chromium VI,6.681022346626652e-07,kg,False
Vanadium V,1.1857428079407524e-07,kg,False
Copper ion,0.00018117240310454606,kg,False
"TOC, Total Organic Carbon",0.010279316358617622,kg,False
Ammonia,0.03857794335616575,kg,False
Arsenic ion,5.289910279196571e-06,kg,False
Chromium III,1.2573886311509148e-05,kg,False
Zinc II,0.00017078763396045915,kg,False
Nitrogen,4.394797783881771e-05,kg,False
"Water, unspecified natural origin",1.2548187382560967,m3,True
"AOX, Adsorbable Organic Halides",8.601492801228374e-06,kg,False
Benzene,0.000169287581345757,kg,False
Rhodium III,4.793957452725699e-09,kg,False
Mercury II,2.4528842931854163e-07,kg,False
Chloride,0.2616611673746685,kg,False
Tin ion,1.4324761830742138e-05,kg,False
Formaldehyde,0.00017747927396489352,kg,False
Nickel II,1.648115452588844e-05,kg,False
Sulfate,0.03350653130852923,kg,False
Sulfide,0.00015686600572134698,kg,False
Selenium IV,2.608203934579944e-07,kg,False
"Suspended solids, unspecified",0.003321248154207168,kg,False
Nitrogen oxides,0.3830802972564091,kg,False
Tellurium,7.721831655298712e-09,kg,False
Platinum,4.793957452725699e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6194791984241118e-07,kg,False
Beryllium II,5.577008611342243e-08,kg,False
Palladium II,4.844046724443947e-09,kg,False
Vanadium V,4.8100961970155074e-05,kg,False
Copper ion,3.8755058296964875e-05,kg,False
Antimony ion,1.831345852710841e-05,kg,False
Ammonium,0.0010125191882328418,kg,False
Cobalt II,2.8607743456531884e-06,kg,False
Arsenic ion,4.3974161575865133e-07,kg,False
Fluoride,0.0018636369613467983,kg,False
Barium II,2.9411731947975374e-05,kg,False
Hydrogen fluoride,0.002816842406215961,kg,False
Lead II,9.212594815476446e-05,kg,False
Hydrochloric acid,0.002125929416837353,kg,False
Boron,2.357591602486397e-06,kg,False
Chromium III,0.00032293578578176474,kg,False
Sodium I,0.15349067017994564,kg,False
"NMVOC, non-methane volatile organic compounds",0.06286994474962894,kg,False
t-Butyl methyl ether,1.178795801243197e-07,kg,False
Cyanide,8.783428304589243e-05,kg,False
"Heat, waste",9.770633742436662,MJ,False
Nickel II,4.4693595737643916e-05,kg,False
Hydrogen sulfide,0.003642279126723211,kg,False
Cobalt II,1.9155663654991394e-07,kg,False
Mercury II,2.901098740810481e-06,kg,False
Benzene,0.0006908311394445804,kg,False
"Particulate Matter, < 2.5 um",0.04726051758699255,kg,False
"Carbon monoxide, fossil",0.23947812475687896,kg,False
Cadmium II,1.3089424939679841e-06,kg,False
"Xylenes, unspecified",0.00011429532590901869,kg,False
Dinitrogen monoxide,0.021683785789692284,kg,False
Toluene,5.384649113585207e-05,kg,False
"Particulate Matter, > 10 um",0.06823344071079965,kg,False
Thallium I,2.973364225226858e-07,kg,False
Aluminium III,4.203529936358691e-06,kg,False
Nitrate,0.0001977025287112232,kg,False
"Xylenes, unspecified",1.865133250177565e-06,kg,False
Nitrite,5.017134319588359e-07,kg,False
"BOD5, Biological Oxygen Demand",0.034152322074629995,kg,False
Molybdenum VI,5.893979006215991e-08,kg,False
"Heat, waste",1.4972760644630116,MJ,False
Water,1.483227091616612,m3,False
Benzo(a)pyrene,4.765847066159043e-07,kg,False
"Water, cooling, unspecified natural origin",82.1295176357305,m3,True
Manganese II,2.156428352424166e-05,kg,False
Zinc II,2.184945927500105e-05,kg,False
Iron ion,0.0007458957487880649,kg,False
Manganese II,6.095822246137077e-06,kg,False
Toluene,9.788142132714232e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00018964594756624964,kg,False
Lead II,1.1907036732124115e-05,kg,False
Tin ion,5.946316964108495e-08,kg,False
Phenol,0.00013457709914715352,kg,False
"Carbon dioxide, fossil",47.6144450816974,kg,False
"Methane, fossil",0.008989401358452966,kg,False
Phosphorus,6.1712226312027246e-06,kg,False
"Carbon dioxide, non-fossil",0.5390596067700324,kg,False
Sulfur dioxide,0.14486983904178705,kg,False
"DOC, Dissolved Organic Carbon",0.010296733895705361,kg,False
"COD, Chemical Oxygen Demand",0.034673708032511595,kg,False
"Water, well, in ground",0.9028613023514014,m3,True
"DOC, Dissolved Organic Carbon",0.4638303708420805,kg,False
Chloride,0.5028594632582324,kg,False
"COD, Chemical Oxygen Demand",0.2971229289864108,kg,False
Phenol,0.0005891851572693156,kg,False
Chlorine,0.0006116614579111618,kg,False
"Water, river",4.311521659024083,m3,True
Sodium I,1.3859806546975528,kg,False
"Carbon dioxide, fossil",53.89781200049997,kg,False
Phenol,4.444033237381845e-05,kg,False
"TOC, Total Organic Carbon",0.13951290632167038,kg,False
"BOD5, Biological Oxygen Demand",0.08647999188367962,kg,False
Hydrogen,0.024538185007660956,kg,False
Ammonia,0.002450447771619348,kg,False
Benzene,0.0009315360374211555,kg,False
"NMVOC, non-methane volatile organic compounds",0.1925809989646854,kg,False
Nickel II,0.002750619945580027,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00019210735082308625,kg,False
"Carbon dioxide, fossil",276.8383317742431,kg,False
Selenium IV,5.2921461872963267e-05,kg,False
Lead II,1.269771521056365e-05,kg,False
"Methane, fossil",0.8876632210203065,kg,False
Sulfur dioxide,1.8203009681821936,kg,False
Cadmium II,9.891023274477691e-06,kg,False
Benzo(a)pyrene,3.661777174305281e-06,kg,False
Dinitrogen monoxide,0.005852799167428433,kg,False
Copper ion,0.00042551936049620636,kg,False
"Carbon monoxide, fossil",0.1414172280194046,kg,False
Zinc II,7.10668572463227e-05,kg,False
"Particulate Matter, < 2.5 um",0.3382157761373531,kg,False
Cadmium II,0.0004736629332596423,kg,False
Chromium III,0.0007050334993075389,kg,False
Nitrogen oxides,0.8127750245916155,kg,False
Zinc II,0.0013825980395491607,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.827902155833441e-11,kg,False
Dinitrogen monoxide,0.004645761132476113,kg,False
"Carbon monoxide, fossil",0.08641758526222297,kg,False
Sulfur dioxide,0.20214623977126625,kg,False
"NMVOC, non-methane volatile organic compounds",0.11850904190872953,kg,False
"Methane, fossil",0.01946532728970427,kg,False
Nitrogen oxides,0.11218732727022122,kg,False
Oxygen,22.90036644962057,kg,True
"Heat, waste",62.33338639893766,MJ,False
Mercury II,9.359948675130003e-07,kg,False
Non-hazardous waste disposed,1944.8116641008924,kg,False
"Occupation, dump site",5.735778159399227,m2*a,True
"Transformation, from unspecified",0.18524766601757847,m2,True
"Transformation, to dump site",0.04655161080213386,m2,True
Sulfur hexafluoride,5.588259124504147e-05,kg,False
"Particulate Matter, > 10 um",0.6400573963905173,kg,False
Nickel II,0.0001097158297517628,kg,False
"COD, Chemical Oxygen Demand",0.0018992949478584319,kg,False
Sulfate,1.0194354579326999,kg,False
Manganese II,0.0022178253590388873,kg,False
"DOC, Dissolved Organic Carbon",0.0028385902087024327,kg,False
"TOC, Total Organic Carbon",0.0028385902087024327,kg,False
Iron ion,0.08361948883730341,kg,False
Chromium III,3.272015312163659e-07,kg,False
Dissolved solids,0.014049078165983364,kg,False
Arsenic ion,0.0001477512351944451,kg,False
Cadmium II,1.693372924739794e-05,kg,False
Lead II,2.272896223311176e-05,kg,False
"Occupation, industrial area",1.444698607691433,m2*a,True
Selenium IV,2.72362985218521e-05,kg,False
"BOD5, Biological Oxygen Demand",0.0004346262342518245,kg,False
"Solids, inorganic",0.17163386546739326,kg,False
Tin ion,3.365802254490874e-05,kg,False
Chloride,1.2454695177222437,kg,False
Copper ion,0.0003713323501764726,kg,False
Uranium alpha,3.2861464331699373,kBq,False
"Transformation, to mineral extraction site",0.0662294913165894,m2,True
Uranium,0.019934006261632307,kg,True
Radon-222,10604.461652991942,kBq,False
Radium-226,33.76539974454341,kBq,False
Gangue,1127.8007705474245,kg,True
"Suspended solids, unspecified",0.01670261467252408,kg,False
"Transformation, from industrial area",0.0012812466988808928,m2,True
Molybdenum VI,0.00040546489461792663,kg,False
Sulfate,0.6299285760448252,kg,False
Cadmium II,4.16591963060475e-05,kg,False
Aluminium III,0.007659461481817579,kg,False
Nitrate,0.04104299299551485,kg,False
Magnesium,0.046345665476717826,kg,False
Lead II,0.0003204066465418337,kg,False
Arsenic ion,0.00011354189173512436,kg,False
Selenium IV,5.839741626624746e-05,kg,False
Uranium alpha,0.198217591781305,kBq,False
Ammonium,0.005913516047242324,kg,False
"Occupation, mineral extraction site",2.029029065574775,m2*a,True
Zinc II,0.002659980499255153,kg,False
Barium II,0.001759471100517382,kg,False
Iron ion,0.00768857262598601,kg,False
Thorium-230,7.130670598075946,kBq,False
Vanadium V,0.00017506713877956214,kg,False
Manganese II,0.0005504165122692012,kg,False
"Transformation, to unspecified",0.0592583409099082,m2,True
"Energy, solar, converted",10.045148978620357,MJ,True
"Transformation, from pasture, man made",0.0571816912483205,m2,True
"Occupation, river, artificial",6.4468695221542065,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.0466557048974999,m2,True
"Transformation, to river, artificial",0.0794994164087403,m2,True
Nitrobenzene,4.346633014346951e-06,kg,False
Aniline,1.091275137908607e-06,kg,False
Chlorine,0.0010895841971374888,kg,False
