Flow,Amount,Unit,Is input
Water,0.21451190777657936,m3,False
"Transformation, to industrial area",0.0013849067427277892,m2,True
"Transformation, to lake, artificial",0.0013769533894891052,m2,True
"Water, turbine use, unspecified natural origin",170.32580662042696,m3,True
"Transformation, from forest, unspecified",0.0013944272722741674,m2,True
"Energy, potential (in hydropower reservoir), converted",22.251933505485933,MJ,True
"Carbon dioxide, from soil or biomass stock",0.05625901271940651,kg,False
Water,172.04114619271152,m3,False
"Methane, non-fossil",0.0017407881484495947,kg,False
"Volume occupied, reservoir",1.4102595945077454,m3*a,True
"Occupation, lake, artificial",0.18313132581179895,m2*a,True
Water,3.0563615490640426,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0003698516556631744,kg,False
"Hydrocarbons, unspecified",4.857124722588678e-06,kg,False
Cadmium II,3.26119316604558e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.845579637219428e-12,kg,False
Selenium IV,4.416998767243716e-08,kg,False
Chromium VI,2.1569577770781203e-08,kg,False
Vanadium V,5.109263298544947e-09,kg,False
Copper ion,8.41616012708786e-06,kg,False
"TOC, Total Organic Carbon",0.00041353708121575635,kg,False
Ammonia,0.003934694274495358,kg,False
Arsenic ion,3.056834038755131e-07,kg,False
Chromium III,8.990354632329751e-07,kg,False
Zinc II,9.085847628511854e-06,kg,False
Nitrogen,2.090093301043749e-06,kg,False
"Water, unspecified natural origin",0.04170425927710854,m3,True
"AOX, Adsorbable Organic Halides",2.420503767047611e-07,kg,False
Benzene,1.1995933650189231e-05,kg,False
Rhodium III,2.1861552696821525e-10,kg,False
Mercury II,9.755816859723138e-09,kg,False
Chloride,0.014255367473538536,kg,False
Tin ion,4.91849363819228e-07,kg,False
Formaldehyde,1.0708453682076698e-05,kg,False
Nickel II,1.0317943487339209e-06,kg,False
Sulfate,0.0017896291933882813,kg,False
Sulfide,5.301806673977859e-06,kg,False
Selenium IV,1.0355438273468418e-08,kg,False
"Suspended solids, unspecified",8.089042746607724e-05,kg,False
Nitrogen oxides,0.03123175230101245,kg,False
Tellurium,3.35719633615877e-10,kg,False
Platinum,2.1861552696821525e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.112105209028679e-10,kg,False
Beryllium II,2.6188151590263507e-09,kg,False
Palladium II,2.2187405716425647e-10,kg,False
Vanadium V,2.233717779123159e-06,kg,False
Copper ion,2.7229554189412928e-06,kg,False
Antimony ion,5.99631801425334e-07,kg,False
Ammonium,0.00017847332636048907,kg,False
Cobalt II,1.4029770453673517e-07,kg,False
Arsenic ion,1.4020965916135798e-08,kg,False
Fluoride,2.0242813436245144e-05,kg,False
Barium II,2.250319250447353e-06,kg,False
Hydrogen fluoride,1.644232711244491e-05,kg,False
Lead II,5.3242720233744765e-06,kg,False
Hydrochloric acid,9.262579805208069e-05,kg,False
Boron,1.0193544199984973e-07,kg,False
Chromium III,1.1892762186138878e-05,kg,False
Sodium I,0.005737042303772001,kg,False
"NMVOC, non-methane volatile organic compounds",0.0051952095320752355,kg,False
t-Butyl methyl ether,5.096772099992478e-09,kg,False
Cyanide,1.8575885117487097e-05,kg,False
"Heat, waste",0.3890084383275534,MJ,False
Nickel II,1.738757915707568e-06,kg,False
Hydrogen sulfide,0.00018712251558500063,kg,False
Cobalt II,3.685613298372518e-09,kg,False
Mercury II,6.501064893270761e-08,kg,False
Benzene,4.1630286786569705e-05,kg,False
"Particulate Matter, < 2.5 um",0.001192800732632999,kg,False
"Carbon monoxide, fossil",0.012055820048892845,kg,False
Cadmium II,4.6232184437003024e-08,kg,False
"Xylenes, unspecified",4.952599108189719e-06,kg,False
Dinitrogen monoxide,0.000394528379000589,kg,False
Toluene,2.418505076306848e-06,kg,False
"Particulate Matter, > 10 um",0.004160098145448631,kg,False
Thallium I,9.813858432301615e-09,kg,False
Aluminium III,1.609411570728693e-07,kg,False
Nitrate,2.6122293519737373e-05,kg,False
"Xylenes, unspecified",5.371856414911766e-08,kg,False
Nitrite,2.577413085528748e-08,kg,False
"BOD5, Biological Oxygen Demand",0.001352631946016701,kg,False
Molybdenum VI,2.5483860499962435e-09,kg,False
"Heat, waste",0.06443745884012544,MJ,False
Water,0.10487077321320422,m3,False
Benzo(a)pyrene,8.898367061563414e-09,kg,False
"Water, cooling, unspecified natural origin",1.7464033512576156,m3,True
Manganese II,8.076349087705712e-07,kg,False
Zinc II,1.2813211793012083e-06,kg,False
