Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.01969847790229905,mol H+-Eq,0.00035448336384077527,mol H+-Eq/ref
Climate change,56.13349035412546,kg CO2-Eq,0.007431864464183905,kg CO2-Eq/ref
Climate change: biogenic,0.007237852622985255,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,56.12391443171216,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.002338069790320488,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1944.82604598846,CTUe,0.03429025213770402,CTUe/ref
"Ecotoxicity: freshwater, inorganics",1944.141439963538,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.6846060249226231,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,48.10151324100806,"MJ, net calorific value",0.0007399747876923679,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0015681725376898153,kg P-Eq,0.0009759283448450679,kg P-Eq/ref
Eutrophication: marine,0.007429398004390343,kg N-Eq,0.00038011404424075784,kg N-Eq/ref
Eutrophication: terrestrial,0.06593078153776442,mol N-Eq,0.0003730066001661381,mol N-Eq/ref
Human toxicity: carcinogenic,9.32031944224127e-09,CTUh,0.0005402175542802237,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.776273732626707e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.544045709614562e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.6178184972015998e-07,CTUh,0.0012566947063770814,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.6014111115199134e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.6407385681686584e-09,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.36549037564621845,kBq U235-Eq,8.660574055314443e-05,kBq U235-Eq/ref
Land use,19.021435134477088,dimensionless,2.3211076645911482e-05,dimensionless/ref
Material resources: metals/minerals,3.804991178129611e-05,kg Sb-Eq,0.0005980563952188402,kg Sb-Eq/ref
Ozone depletion,1.035725011540034e-07,kg CFC-11-Eq,1.978523408335333e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.4462268916471148e-07,disease incidence,0.0002429135124464599,disease incidence/ref
Photochemical oxidant formation: human health,0.021005205292775116,kg NMVOC-Eq,0.000514087560690221,kg NMVOC-Eq/ref
Water use,42.25765113658674,m3 world Eq deprived,0.0036846041226649153,m3 world Eq deprived/ref
