Flow,Amount,Unit,Is input
Water,0.04149434988553672,m3,False
"Transformation, to industrial area",0.00023769496272484238,m2,True
"Transformation, to lake, artificial",4.915011276249633e-05,m2,True
"Water, turbine use, unspecified natural origin",346.579060447795,m3,True
"Transformation, from forest, unspecified",0.00021985951281770354,m2,True
"Energy, potential (in hydropower reservoir), converted",30.302209035778947,MJ,True
"Carbon dioxide, from soil or biomass stock",0.002313779972304646,kg,False
Water,346.7162681542846,m3,False
"Methane, non-fossil",0.0002640873595262522,kg,False
"Volume occupied, reservoir",0.07088951201706081,m3*a,True
"Occupation, lake, artificial",0.005388990075018154,m2*a,True
Water,0.6088797029015912,m3,False
"Particulate Matter, > 2.5 um and < 10um",9.511582210787303e-05,kg,False
"Hydrocarbons, unspecified",1.2475492771361705e-06,kg,False
Cadmium II,1.3637539868843076e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",6.27593291411807e-13,kg,False
Selenium IV,9.688029421920915e-09,kg,False
Chromium VI,7.048083247938293e-09,kg,False
Vanadium V,8.481468235674056e-10,kg,False
Copper ion,1.955870923203651e-06,kg,False
"TOC, Total Organic Carbon",9.10697845122475e-06,kg,False
Ammonia,0.00016976333803821083,kg,False
Arsenic ion,2.0386325606621246e-08,kg,False
Chromium III,1.70135215419728e-06,kg,False
Zinc II,1.3069944442000706e-06,kg,False
Nitrogen,1.5502460541314246e-06,kg,False
"Water, unspecified natural origin",0.010289274901517638,m3,True
"AOX, Adsorbable Organic Halides",4.807638987873131e-07,kg,False
Benzene,1.5214982340858738e-06,kg,False
Rhodium III,4.124322586486034e-11,kg,False
Mercury II,7.287084981955326e-09,kg,False
Chloride,0.016857221640342333,kg,False
Tin ion,2.6339712045014197e-07,kg,False
Formaldehyde,3.747614681099965e-06,kg,False
Nickel II,1.7495458852251778e-06,kg,False
Sulfate,0.002139540116547528,kg,False
Sulfide,4.296149998088851e-07,kg,False
Selenium IV,1.7034154307455174e-09,kg,False
"Suspended solids, unspecified",8.502160431465971e-05,kg,False
Nitrogen oxides,0.0026949635003136623,kg,False
Tellurium,6.957399588322997e-11,kg,False
Platinum,4.124322586486034e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.115646647382245e-11,kg,False
Beryllium II,4.793049080533095e-10,kg,False
Palladium II,4.145107139555724e-11,kg,False
Vanadium V,4.312426061461325e-07,kg,False
Copper ion,1.7682321762546307e-06,kg,False
Antimony ion,3.5860584035499114e-07,kg,False
Ammonium,1.5643569868826826e-05,kg,False
Cobalt II,1.509304541939764e-08,kg,False
Arsenic ion,5.5798347743249164e-09,kg,False
Fluoride,9.170301101378279e-06,kg,False
Barium II,3.075835937187913e-06,kg,False
Hydrogen fluoride,2.725840365778647e-06,kg,False
