Impact category,Amount (Normalized),Normalized Unit
Acidification,1.0272490924577051,mol H+-Eq/ref
Climate change,0.16954050285404199,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1.1443775342885298,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.2624205807005689,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.8878215520110486,kg P-Eq/ref
Eutrophication: marine,0.1676628378514658,kg N-Eq/ref
Eutrophication: terrestrial,0.2453888239388037,mol N-Eq/ref
Human toxicity: carcinogenic,0.3446225221199804,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.439690286425118,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.028597225611003592,kBq U235-Eq/ref
Land use,0.02375788654926186,dimensionless/ref
Material resources: metals/minerals,11.519065429299786,kg Sb-Eq/ref
Ozone depletion,0.0008912666415349249,kg CFC-11-Eq/ref
Particulate matter formation,0.3073812334460667,disease incidence/ref
Photochemical oxidant formation: human health,0.31962640727244906,kg NMVOC-Eq/ref
Water use,0.0686249236712591,m3 world Eq deprived/ref
