Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0050031118950035385,mol H+-Eq/ref
Climate change,0.0017434327301174134,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.007175381218968735,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0026967105068213585,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.014671881313006216,kg P-Eq/ref
Eutrophication: marine,0.001195902021517546,kg N-Eq/ref
Eutrophication: terrestrial,0.0016089932203423914,mol N-Eq/ref
Human toxicity: carcinogenic,0.0013203886953405367,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.014944981078208878,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0002910999137952518,kBq U235-Eq/ref
Land use,0.00016983604922319196,dimensionless/ref
Material resources: metals/minerals,0.07459019576411738,kg Sb-Eq/ref
Ozone depletion,4.83342180080417e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.001992968377034227,disease incidence/ref
Photochemical oxidant formation: human health,0.0022475922588680044,kg NMVOC-Eq/ref
Water use,0.00045009487475385025,m3 world Eq deprived/ref
