Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.045183407334491374,mol H+-Eq,0.000813096641332329,mol H+-Eq/ref
Climate change,2.0218303213278563,kg CO2-Eq,0.00026768278300338586,kg CO2-Eq/ref
Climate change: biogenic,0.007171132427637739,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,2.0112067798675186,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0034524090326998073,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,74.29530940715983,CTUe,0.001309939723131084,CTUe/ref
"Ecotoxicity: freshwater, inorganics",72.61105495513887,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",1.6842544520209817,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,26.981372304050005,"MJ, net calorific value",0.00041507083451413935,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.003864060699158617,kg P-Eq,0.002404739447909308,kg P-Eq/ref
Eutrophication: marine,0.003783936657931079,kg N-Eq,0.00019359946328720997,kg N-Eq/ref
Eutrophication: terrestrial,0.04517329867973586,mol N-Eq,0.00025557013227829416,mol N-Eq/ref
Human toxicity: carcinogenic,3.2907175082849314e-09,CTUh,0.00019073416691019665,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.7149710311957016e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.7574647708923e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.704800644562711e-07,CTUh,0.0021010444977028267,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.5526634726247367e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.5213717193797537e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.17378068214961928,kBq U235-Eq,4.117866207773043e-05,kBq U235-Eq/ref
Land use,18.898268755834966,dimensionless,2.3060781768860913e-05,dimensionless/ref
Material resources: metals/minerals,0.000916100391203433,kg Sb-Eq,0.014398974188713136,kg Sb-Eq/ref
Ozone depletion,4.933627211688766e-08,kg CFC-11-Eq,9.424602879689267e-07,kg CFC-11-Eq/ref
Particulate matter formation,1.7829259525669128e-07,disease incidence,0.0002994667075210606,disease incidence/ref
Photochemical oxidant formation: human health,0.015623121858402261,kg NMVOC-Eq,0.00038236487073585674,kg NMVOC-Eq/ref
Water use,0.7891751887002888,m3 world Eq deprived,6.881116379117369e-05,m3 world Eq deprived/ref
