Flow,Amount,Unit,Is input
Water,0.10997739857219675,m3,False
"Transformation, to industrial area",0.001101438973018017,m2,True
"Transformation, to lake, artificial",0.00037281926465329676,m2,True
"Water, turbine use, unspecified natural origin",145.02008148503313,m3,True
"Transformation, from forest, unspecified",0.0005476946571732897,m2,True
"Energy, potential (in hydropower reservoir), converted",19.905451388515015,MJ,True
"Carbon dioxide, from soil or biomass stock",0.047748542147764285,kg,False
Water,145.46375504558523,m3,False
"Methane, non-fossil",0.0008292615929186731,kg,False
"Volume occupied, reservoir",0.5700026257338962,m3*a,True
"Occupation, lake, artificial",0.04917620564047144,m2*a,True
Water,1.087961754028127,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0004659521448651336,kg,False
"Hydrocarbons, unspecified",6.416698681040127e-06,kg,False
Cadmium II,6.258559932796788e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.1520117962794234e-12,kg,False
Selenium IV,6.1273504884357e-08,kg,False
Chromium VI,2.1787650497247112e-08,kg,False
Vanadium V,3.895454428724557e-09,kg,False
Copper ion,1.1881919372995357e-05,kg,False
"TOC, Total Organic Carbon",0.0004133992500506793,kg,False
Ammonia,0.005408116873176521,kg,False
Arsenic ion,3.883491983712975e-07,kg,False
Chromium III,7.782102007101764e-07,kg,False
Zinc II,5.741369917540597e-06,kg,False
Nitrogen,1.2795095140851607e-06,kg,False
"Water, unspecified natural origin",0.013511880647489649,m3,True
"AOX, Adsorbable Organic Halides",1.8833130702388312e-07,kg,False
Benzene,4.2184618661450995e-05,kg,False
Rhodium III,1.754993406087021e-10,kg,False
Mercury II,9.48416445430968e-09,kg,False
Chloride,0.0055349952729680406,kg,False
Tin ion,8.455117577444862e-07,kg,False
Formaldehyde,9.813972024237614e-06,kg,False
Nickel II,9.20375262919497e-07,kg,False
Sulfate,0.0008254647211093376,kg,False
Sulfide,7.041459794719254e-06,kg,False
Selenium IV,7.934111298484295e-09,kg,False
"Suspended solids, unspecified",7.510469110503667e-05,kg,False
Nitrogen oxides,0.03818376118531564,kg,False
Tellurium,2.6592069818409414e-10,kg,False
Platinum,1.754993406087021e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.736070840551199e-10,kg,False
Beryllium II,2.597174126011521e-09,kg,False
Palladium II,1.7564213392456558e-10,kg,False
Vanadium V,1.8124577022211452e-06,kg,False
Copper ion,1.5935407796549717e-06,kg,False
Antimony ion,1.0829648547578783e-06,kg,False
Ammonium,1.4696160365336946e-05,kg,False
Cobalt II,2.5347000305093973e-07,kg,False
Arsenic ion,1.3585446565029365e-08,kg,False
Fluoride,0.00025140861112055634,kg,False
Barium II,4.686085864947017e-07,kg,False
Hydrogen fluoride,1.22881715733301e-05,kg,False
Lead II,4.648248647383246e-06,kg,False
Hydrochloric acid,5.3639065155339544e-05,kg,False
Boron,7.759101684192661e-08,kg,False
