Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004697924313662149,mol H+-Eq/ref
Climate change,0.0018132319899184714,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.007181067890250028,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0028006894152464955,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.014143530126064218,kg P-Eq/ref
Eutrophication: marine,0.0011863930007881976,kg N-Eq/ref
Eutrophication: terrestrial,0.0015151124157292434,mol N-Eq/ref
Human toxicity: carcinogenic,0.0010279004529148315,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.011020894549354236,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00033006444924459473,kBq U235-Eq/ref
Land use,0.0001054814398358952,dimensionless/ref
Material resources: metals/minerals,0.07866633472019727,kg Sb-Eq/ref
Ozone depletion,1.2862605486706773e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0017417282825703193,disease incidence/ref
Photochemical oxidant formation: human health,0.0019821434786682704,kg NMVOC-Eq/ref
Water use,0.0005588434811401203,m3 world Eq deprived/ref
