Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,58.39005861559856,mol H+-Eq,1.0507565353819381,mol H+-Eq/ref
Climate change,1616.632682265698,kg CO2-Eq,0.21403612900557414,kg CO2-Eq/ref
Climate change: biogenic,13.855453465795295,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,1600.4241248917515,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,2.353103908150946,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,67905.00214240038,CTUe,1.1972688506908538,CTUe/ref
"Ecotoxicity: freshwater, inorganics",67432.24941398914,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",472.7527284112593,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,46481.77515631763,"MJ, net calorific value",0.7150573731542692,"MJ, net calorific value/ref"
Eutrophication: freshwater,4.812211970476978,kg P-Eq,2.994806981067133,kg P-Eq/ref
Eutrophication: marine,3.727413065095996,kg N-Eq,0.19070751814510498,kg N-Eq/ref
Eutrophication: terrestrial,47.33174288270895,mol N-Eq,0.2677816352367134,mol N-Eq/ref
Human toxicity: carcinogenic,6.06068747263197e-06,CTUh,0.3512851446789798,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.5603523746653795e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.003350979665911e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0005760722318357403,CTUh,4.4748340156268664,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.000540797716092968,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.5274515742772465e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1923.5437178878624,kBq U235-Eq,0.4557983992861145,kBq U235-Eq/ref
Land use,34985.56415200138,dimensionless,0.04269144811059395,dimensionless/ref
Material resources: metals/minerals,0.7362552753272417,kg Sb-Eq,11.572225934555531,kg Sb-Eq/ref
Ozone depletion,5.022727482070339e-05,kg CFC-11-Eq,0.0009594809226619931,kg CFC-11-Eq/ref
Particulate matter formation,0.00020708575992952878,disease incidence,0.34782875088731624,disease incidence/ref
Photochemical oxidant formation: human health,14.22872276682106,kg NMVOC-Eq,0.3482379380242682,kg NMVOC-Eq/ref
Water use,9921.702083423666,m3 world Eq deprived,0.865110658476338,m3 world Eq deprived/ref
