Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0003299372571756649,mol H+-Eq/ref
Climate change,0.007168500759400267,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0340386764133715,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0007050667045729243,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0009222259018578335,kg P-Eq/ref
Eutrophication: marine,0.0003555967060964793,kg N-Eq/ref
Eutrophication: terrestrial,0.0003480757366105061,mol N-Eq/ref
Human toxicity: carcinogenic,0.0005294815023344462,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0010307128534915487,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,8.205434945278914e-05,kBq U235-Eq/ref
Land use,2.199487310196443e-05,dimensionless/ref
Material resources: metals/minerals,0.0005712089680447771,kg Sb-Eq/ref
Ozone depletion,1.9478978998607063e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.00022409499827834363,disease incidence/ref
Photochemical oxidant formation: human health,0.00048748086087523263,kg NMVOC-Eq/ref
Water use,0.003676286239450417,m3 world Eq deprived/ref
