Flow,Amount,Unit,Is input
Water,0.04043421173051836,m3,False
"Transformation, to industrial area",0.000189144822682793,m2,True
"Transformation, to lake, artificial",4.08174010901486e-05,m2,True
"Water, turbine use, unspecified natural origin",345.45062001859634,m3,True
"Transformation, from forest, unspecified",0.00020972258228173633,m2,True
"Energy, potential (in hydropower reservoir), converted",30.161811766317477,MJ,True
"Carbon dioxide, from soil or biomass stock",0.0020027739509690997,kg,False
Water,345.57769683241054,m3,False
"Methane, non-fossil",0.0002475219814662107,kg,False
"Volume occupied, reservoir",0.0614466096669288,m3*a,True
"Occupation, lake, artificial",0.004271840475388417,m2*a,True
Water,0.5796038791868935,m3,False
"Particulate Matter, > 2.5 um and < 10um",8.892457842959305e-05,kg,False
"Hydrocarbons, unspecified",1.2162440577768469e-06,kg,False
Cadmium II,1.2671677673585604e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",5.773623624356837e-13,kg,False
Selenium IV,9.37295775923936e-09,kg,False
Chromium VI,6.724231423830065e-09,kg,False
Vanadium V,8.20374288371676e-10,kg,False
Copper ion,1.9111245373368466e-06,kg,False
"TOC, Total Organic Carbon",8.594621173580493e-06,kg,False
Ammonia,0.00014444659418365113,kg,False
Arsenic ion,1.945082537795068e-08,kg,False
Chromium III,1.673831764641092e-06,kg,False
Zinc II,1.2668286273179792e-06,kg,False
Nitrogen,1.5396494324136992e-06,kg,False
"Water, unspecified natural origin",0.010100660605710302,m3,True
"AOX, Adsorbable Organic Halides",4.788310591947639e-07,kg,False
Benzene,1.5112358819613158e-06,kg,False
Rhodium III,4.012041965054103e-11,kg,False
Mercury II,7.147132478370626e-09,kg,False
Chloride,0.01683247407700193,kg,False
Tin ion,2.5699268050888893e-07,kg,False
Formaldehyde,3.577778475925186e-06,kg,False
Nickel II,1.7203438783528388e-06,kg,False
Sulfate,0.0021149585524134064,kg,False
Sulfide,4.098661354916662e-07,kg,False
Selenium IV,1.64671502334162e-09,kg,False
"Suspended solids, unspecified",8.33896189723247e-05,kg,False
Nitrogen oxides,0.0026145929134131314,kg,False
Tellurium,6.751657455522422e-11,kg,False
Platinum,4.012041965054103e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.42918798086408e-11,kg,False
Beryllium II,4.5904871659291974e-10,kg,False
Palladium II,4.0325924422589945e-11,kg,False
Vanadium V,4.196458249754874e-07,kg,False
Copper ion,1.736369886855448e-06,kg,False
Antimony ion,3.52722647877916e-07,kg,False
Ammonium,1.5565884082322315e-05,kg,False
Cobalt II,1.4579023205273248e-08,kg,False
Arsenic ion,5.381506356562793e-09,kg,False
Fluoride,9.100115002736054e-06,kg,False
Barium II,3.0690583551290664e-06,kg,False
Hydrogen fluoride,2.531375865446718e-06,kg,False
Lead II,3.9881506631830796e-07,kg,False
Hydrochloric acid,2.7942701906684347e-05,kg,False
Boron,1.637147833301061e-08,kg,False
Chromium III,6.584997001216514e-07,kg,False
Sodium I,0.00022000795534981058,kg,False
"NMVOC, non-methane volatile organic compounds",0.0003615889257263618,kg,False
t-Butyl methyl ether,8.185739166505294e-10,kg,False
Cyanide,5.1224476939699e-06,kg,False
"Heat, waste",0.09146614158287568,MJ,False
Nickel II,2.837687130417091e-07,kg,False
Hydrogen sulfide,5.762359281431283e-06,kg,False
Cobalt II,2.854546812613608e-10,kg,False
Mercury II,2.650512250030559e-08,kg,False
Benzene,5.867374477486241e-06,kg,False
"Particulate Matter, < 2.5 um",0.00014120267235798257,kg,False
"Carbon monoxide, fossil",0.003570596548771479,kg,False
Cadmium II,1.6442790755640937e-08,kg,False
"Xylenes, unspecified",7.579445921361826e-07,kg,False
Dinitrogen monoxide,5.6114081179870855e-05,kg,False
Toluene,4.59162862637513e-07,kg,False
"Particulate Matter, > 10 um",0.00038736412683748443,kg,False
Thallium I,1.3488211656298994e-08,kg,False
Aluminium III,6.998974723814301e-08,kg,False
Nitrate,4.210543342078006e-05,kg,False
"Xylenes, unspecified",2.1431090942138383e-09,kg,False
Nitrite,3.228786463350004e-09,kg,False
"BOD5, Biological Oxygen Demand",3.3427162950847474e-05,kg,False
Molybdenum VI,4.0928695832526515e-10,kg,False
"Heat, waste",0.012955656179080687,MJ,False
Water,0.5415781209236322,m3,False
Benzo(a)pyrene,1.1398941394706358e-09,kg,False
"Water, cooling, unspecified natural origin",0.1672424197349287,m3,True
Manganese II,1.8912410601532654e-07,kg,False
Zinc II,2.133144239781703e-06,kg,False
Iron ion,8.222972016851651e-05,kg,False
Manganese II,4.582988188014781e-08,kg,False
Toluene,6.319473156458211e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.2398930459802543e-07,kg,False
Lead II,1.6584256893082365e-06,kg,False
Tin ion,5.025241258617921e-10,kg,False
Phenol,4.494385031447735e-08,kg,False
"Carbon dioxide, fossil",0.8915083853881562,kg,False
"Methane, fossil",1.4027282812247375e-05,kg,False
Phosphorus,2.1290172644165343e-07,kg,False
"Carbon dioxide, non-fossil",0.03762699879007103,kg,False
Sulfur dioxide,0.0006293663985594498,kg,False
"DOC, Dissolved Organic Carbon",8.554002302255318e-06,kg,False
"COD, Chemical Oxygen Demand",4.098617289559633e-05,kg,False
"Water, well, in ground",0.004531535827011599,m3,True
"DOC, Dissolved Organic Carbon",0.007932370055184641,kg,False
Chloride,6.336447787717586,kg,False
"COD, Chemical Oxygen Demand",0.01136872883821266,kg,False
Phenol,5.751827411000274e-07,kg,False
Chlorine,7.747276721936095e-05,kg,False
"Water, river",1.457465587120739,m3,True
Sodium I,0.021424714935579396,kg,False
"Carbon dioxide, fossil",47.707051896254,kg,False
Phenol,2.888885546202356e-08,kg,False
"TOC, Total Organic Carbon",0.005203880705815188,kg,False
"BOD5, Biological Oxygen Demand",0.01031239876757173,kg,False
Hydrogen,0.0014392310520131638,kg,False
Ammonia,1.5301558561150638e-05,kg,False
Benzene,3.1007794271057072e-06,kg,False
"NMVOC, non-methane volatile organic compounds",0.003807262132771079,kg,False
Nickel II,2.596104419508717e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.929503604284202e-07,kg,False
"Carbon dioxide, fossil",5.091402808761968,kg,False
Selenium IV,7.251330566313716e-08,kg,False
Lead II,2.3606858821244442e-08,kg,False
"Methane, fossil",0.00963927206461057,kg,False
Sulfur dioxide,0.003797444884422085,kg,False
Cadmium II,4.86910092855362e-09,kg,False
Benzo(a)pyrene,2.524658782349958e-08,kg,False
Dinitrogen monoxide,1.9627920460414835e-05,kg,False
Copper ion,5.618791145632425e-07,kg,False
"Carbon monoxide, fossil",0.01921478775994378,kg,False
Zinc II,5.770867338596268e-07,kg,False
"Particulate Matter, < 2.5 um",0.0006960004741006834,kg,False
Cadmium II,3.569405775356567e-07,kg,False
Chromium III,3.7779595011672408e-06,kg,False
Nitrogen oxides,0.003371157161308316,kg,False
Zinc II,1.5295415948896955e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.1458033191386534e-12,kg,False
Dinitrogen monoxide,0.0004535345102463438,kg,False
"Carbon monoxide, fossil",0.001519799287697057,kg,False
Sulfur dioxide,0.0012703642338593726,kg,False
"NMVOC, non-methane volatile organic compounds",0.00018288519725302642,kg,False
"Methane, fossil",0.0001728940190800785,kg,False
Nitrogen oxides,0.00767944795905707,kg,False
Oxygen,99.35619545916461,kg,True
"Heat, waste",471.5116388772299,MJ,False
Mercury II,4.128356450165408e-07,kg,False
Non-hazardous waste disposed,69.68450374119084,kg,False
"Occupation, dump site",0.019157507479663282,m2*a,True
"Transformation, from unspecified",0.0003712816256854027,m2,True
"Transformation, to dump site",0.000247741777380806,m2,True
Sulfur hexafluoride,2.3546761519967588e-07,kg,False
"Particulate Matter, > 10 um",0.0025289544857876023,kg,False
Nickel II,2.1270375445904033e-07,kg,False
"COD, Chemical Oxygen Demand",6.151956288901728e-06,kg,False
Sulfate,0.0027694125436403044,kg,False
Manganese II,5.054901782000685e-06,kg,False
"DOC, Dissolved Organic Carbon",6.088970972829958e-06,kg,False
"TOC, Total Organic Carbon",6.088970972829958e-06,kg,False
Iron ion,0.00043683737781818454,kg,False
Chromium III,4.804486747822981e-09,kg,False
Dissolved solids,3.757417791593042e-05,kg,False
Arsenic ion,3.3219867381769646e-07,kg,False
Cadmium II,9.519267576566405e-09,kg,False
Lead II,3.937082108061119e-08,kg,False
"Occupation, industrial area",0.007822814400064429,m2*a,True
Selenium IV,5.271856439144929e-08,kg,False
"BOD5, Biological Oxygen Demand",1.4697571783422112e-06,kg,False
"Solids, inorganic",0.0009523288850545321,kg,False
Tin ion,1.5146782338362958e-08,kg,False
Chloride,0.002635539412782111,kg,False
Copper ion,2.3214910484711318e-07,kg,False
Uranium alpha,0.0016874614653091492,kBq,False
"Transformation, to mineral extraction site",0.0002413850653071916,m2,True
Uranium,1.0236751691867151e-05,kg,True
Radon-222,5.482102432391925,kBq,False
Radium-226,0.06463826719722564,kBq,False
Gangue,0.9106501353543286,kg,True
"Suspended solids, unspecified",0.00010021486601844883,kg,False
"Transformation, from industrial area",4.6898079257491365e-06,m2,True
Molybdenum VI,6.803153018344357e-06,kg,False
Sulfate,0.01763300282564146,kg,False
Cadmium II,7.249613264111456e-08,kg,False
Aluminium III,6.987271189663489e-05,kg,False
Nitrate,0.001213184207377363,kg,False
Magnesium,0.00034910492212331665,kg,False
Lead II,3.886786096364719e-07,kg,False
Arsenic ion,1.7176599613107517e-05,kg,False
Selenium IV,9.985734276268882e-06,kg,False
Uranium alpha,0.00010178671155403727,kBq,False
Ammonium,3.150498065378726e-05,kg,False
"Occupation, mineral extraction site",0.0035422440305993654,m2*a,True
Zinc II,3.0912519212338268e-06,kg,False
Barium II,1.694808938384215e-05,kg,False
Iron ion,4.547002708846143e-05,kg,False
Thorium-230,0.0036616707301112108,kBq,False
Vanadium V,2.5733875350096677e-05,kg,False
Manganese II,1.6372493081618274e-06,kg,False
"Transformation, to unspecified",1.308686669935309e-05,m2,True
"Energy, solar, converted",0.008262331210126027,MJ,True
"Transformation, from pasture, man made",0.0008920321934476747,m2,True
"Occupation, river, artificial",0.03490070934322614,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.0006451019333913563,m2,True
"Transformation, to river, artificial",0.00043064810900149945,m2,True
Nitrobenzene,7.826548158581819e-07,kg,False
Aniline,1.9777571531271753e-07,kg,False
Chlorine,3.980108103378557e-06,kg,False
Vinyl chloride,2.0196339431848608e-08,kg,False
"1,1,2-Trichloroethane",1.6370580037423478e-09,kg,False
Zirconium-95,5.126656614836521e-05,kBq,False
Niobium-95,0.0001248207387920535,kBq,False
"Hydrocarbons, unspecified",4.207912127582813e-07,kg,False
Technetium-99m,3.924918644478858e-06,kBq,False
Antimony-124,0.00012246006307060976,kBq,False
"Noble gases, radioactive, unspecified",38.12616364790468,kBq,False
Cobalt-58,0.00027785989656467725,kBq,False
Antimony-125,1.046965681070542e-05,kBq,False
Molybdenum-99,1.5597967784477562e-07,kBq,False
Chromium-51,3.211333606665313e-05,kBq,False
Zinc-65,2.395280211241507e-05,kBq,False
Iodine-131,2.4249452002937054e-05,kBq,False
Antimony-125,5.477411951544098e-09,kBq,False
Tritium,1.1933476423048062,kBq,False
Antimony-122,2.1160600017932735e-07,kBq,False
Cobalt-60,4.068761715457752e-08,kBq,False
Ruthenium-103,6.904379643357942e-08,kBq,False
Silver-110,7.326623678775065e-10,kBq,False
Strontium-89,3.0852905233627363e-06,kBq,False
Water,0.000260383963364899,m3,False
Barium-140,1.625091723938569e-07,kBq,False
Xenon-133,0.18216300097158575,kBq,False
Caesium-136,6.5775758905302e-08,kBq,False
Iodine-133,4.260209295645426e-07,kBq,False
Tellurium-132,1.9709319928206977e-08,kBq,False
Zirconium-95,1.3668531375213615e-08,kBq,False
Krypton-85m,0.00364140503093936,kBq,False
Tellurium-123m,4.536490168955831e-07,kBq,False
Cobalt-60,0.00017052130925507668,kBq,False
Niobium-95,9.489021668675099e-07,kBq,False
Iodine-133,3.1832270371586007e-07,kBq,False
"Radioactive species, alpha emitters",1.1056013270119848e-05,kBq,False
Carbon-14,1.2482057158783711e-05,kBq,False
Lanthanum-140,5.132226914675212e-07,kBq,False
Cerium-144,1.1282532310446811e-07,kBq,False
Cobalt-57,2.087970709734075e-06,kBq,False
Carbon-14,0.011509246180714937,kBq,False
Antimony-124,2.9982093960005895e-10,kBq,False
"Aerosols, radioactive, unspecified",9.134579143382603e-07,kBq,False
Manganese-54,9.669868420364323e-06,kBq,False
Caesium-137,3.4365738945625326e-08,kBq,False
Iron-59,0.0001019200203087352,kBq,False
Xenon-135,0.06278957173855713,kBq,False
Cerium-141,1.9140631014780582e-07,kBq,False
Caesium-137,6.464938015990502e-05,kBq,False
Caesium-134,2.637214556522654e-06,kBq,False
Sodium-24,2.4452560757777615e-06,kBq,False
"Radioactive species, other beta emitters",6.073786974820108e-08,kBq,False
Iodine-131,0.0003241182143777492,kBq,False
Cobalt-58,5.602948619550958e-09,kBq,False
Strontium-90,0.008657361539305625,kBq,False
Silver-110,0.00011609688402460414,kBq,False
"Transformation, from dump site",0.0001934015339198016,m2,True
"Transformation, to forest, unspecified",0.0005032476906174823,m2,True
Vanadium V,0.006335071331028399,kg,False
"Transformation, from traffic area, road network",0.00011604159725555738,m2,True
"Transformation, to traffic area, road network",0.0002458072954567152,m2,True
Silicon,0.19265512903678267,kg,False
"Transformation, to shrub land, sclerophyllous",0.0004297106620756368,m2,True
"Occupation, shrub land, sclerophyllous",0.002149539548930627,m2*a,True
Hazardous waste disposed,5.9442113906748855,kg,False
"Waste mass, total, placed in landfill",7.120439722573541,kg,True
"Occupation, traffic area, road network",0.025406107874809812,m2*a,True
Molybdenum VI,1.9927125102370877e-05,kg,False
"Occupation, construction site",0.004748087837221724,m2*a,True
"Transformation, to pasture, man made",0.00012126817771001374,m2,True
Silicon,0.0011392031345597597,kg,False
Iron ion,0.04585669619846124,kg,False
Zinc II,3.7830784153732667e-06,kg,False
Propylene,1.7967937747429154e-06,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",2.283301403294881e-06,kg,False
"Particulate Matter, < 2.5 um",0.00018552748268018597,kg,False
Propylene oxide,2.8806363404971203e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.955419978869718e-08,kg,False
Methyl ethyl ketone,1.955755485472545e-06,kg,False
Heptane,5.7989986128003465e-06,kg,False
Copper ion,5.437985215118612e-05,kg,False
Ethane,6.915335179790665e-06,kg,False
Nickel II,6.888707031803632e-07,kg,False
Toluene,5.170373094513187e-06,kg,False
Benzene,5.503485376087113e-06,kg,False
Isohexane,4.540932465741055e-09,kg,False
Ethylene oxide,4.217985587155487e-08,kg,False
1-Pentene,5.2896198524737785e-11,kg,False
o-Xylene,5.079089631251856e-10,kg,False
Pentane,3.426459422883411e-05,kg,False
Ethylene,4.343963749392011e-06,kg,False
Cadmium II,1.567167828346077e-07,kg,False
Propane,2.2975255593891188e-05,kg,False
Acetone,6.607262007577794e-07,kg,False
m-Xylene,1.07436980782398e-07,kg,False
Acrolein,1.171472320921254e-09,kg,False
Chromium VI,2.5468622189601947e-09,kg,False
Formaldehyde,1.4351543983172814e-06,kg,False
Benzaldehyde,4.2438140545946625e-10,kg,False
Butane,2.2990390022282244e-05,kg,False
Selenium IV,6.094416651787864e-07,kg,False
Styrene,8.958505409365368e-08,kg,False
Hexane,1.141826261488716e-05,kg,False
Acetaldehyde,2.2237054961292297e-07,kg,False
Chromium III,6.998237747792269e-07,kg,False
Ammonia,8.58488229454886e-05,kg,False
Lead II,1.9727880290759858e-07,kg,False
Hydrogen,0.00034710883546896327,kg,False
Ethylene,1.32648817226049e-10,kg,False
Lead II,2.895156592486851e-06,kg,False
Propane,4.084687560832067e-05,kg,False
Arsenic ion,1.0722777395212765e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.606418690716489e-13,kg,False
Propionic acid,5.068540637036782e-08,kg,False
Butane,6.893235950252218e-05,kg,False
Acenaphthene,5.697427147369985e-09,kg,False
Beryllium II,6.575836018399885e-10,kg,False
Hexane,2.8910262537623287e-05,kg,False
Manganese II,4.806346779420113e-07,kg,False
Acetaldehyde,5.687391562366762e-07,kg,False
Formaldehyde,2.301687721333643e-06,kg,False
Cobalt II,7.357434783624454e-08,kg,False
Pentane,5.24175296840008e-05,kg,False
Acetic acid,5.095725836993221e-07,kg,False
Toluene,2.216761440957534e-06,kg,False
Ethane,4.4035385930081384e-05,kg,False
Mercury II,2.8933615309612028e-08,kg,False
Scandium,3.629512830541578e-08,kg,False
Lead II,0.00039156262652912234,kg,False
Cadmium II,4.9791993356773646e-05,kg,False
Molybdenum VI,4.805072500356649e-07,kg,False
Vanadium V,2.080957738298806e-08,kg,False
Thallium I,7.118621636463644e-10,kg,False
Antimony ion,7.467864355462717e-08,kg,False
Iodide,1.3899800861870602e-08,kg,False
Boron,1.3213063514414765e-07,kg,False
Thallium I,1.0865731512159767e-05,kg,False
Magnesium,9.63395252407612e-05,kg,False
Potassium I,3.4554248539390974e-05,kg,False
Barium II,0.003785381116401882,kg,False
Bromine,6.671652334229696e-05,kg,False
Aluminium III,5.457270089269544e-06,kg,False
Phosphate,0.004140517165169073,kg,False
Mercury II,5.933692759864098e-10,kg,False
Cobalt II,9.400687775829851e-08,kg,False
Bromine,1.2248612466272737e-07,kg,False
Silicon,3.161655219897948e-05,kg,False
Tungsten,1.7650219878408372e-06,kg,False
Beryllium II,1.3286302038160968e-05,kg,False
Copper ion,0.5576373359256752,kg,False
Iodide,3.3136827340700215e-07,kg,False
Mercury II,3.49445501527912e-06,kg,False
Zinc II,1.8866935857944864e-06,kg,False
Calcium II,0.32480473840044793,kg,False
Sodium I,0.03689318955093749,kg,False
Phosphate,0.0002965775097723359,kg,False
Tin ion,0.0041222700036507316,kg,False
Chromium VI,0.000263296146255634,kg,False
Nickel II,0.0005011134908738539,kg,False
Beryllium II,4.3539537752170375e-09,kg,False
Zinc II,0.0017818324363746653,kg,False
Antimony ion,0.00032368179954593026,kg,False
Cobalt II,0.0005075457298656383,kg,False
Fluoride,1.6749532949592443e-06,kg,False
Chromium VI,1.4736034772635289e-07,kg,False
Manganese II,0.001988713160530123,kg,False
Chloride,0.9478504655247776,kg,False
Fluoride,0.0005212692869082287,kg,False
Strontium II,3.218478616608255e-06,kg,False
Potassium I,0.01476191166120598,kg,False
Aluminium III,0.04825873117438407,kg,False
Titanium ion,0.007995036110066711,kg,False
Arsenic ion,6.507443651440586e-05,kg,False
Magnesium,0.020734706220958393,kg,False
Strontium II,0.002393354867972384,kg,False
Barium II,1.2955937351890967e-07,kg,False
Selenium IV,4.103715637084519e-05,kg,False
Scandium,8.137088574362494e-06,kg,False
Boron,1.728068698729283e-05,kg,False
Tungsten,3.766506904682536e-08,kg,False
Sodium I,8.974011719226295e-05,kg,False
Sulfate,0.1715039585777613,kg,False
Calcium II,0.00023184384562032566,kg,False
Titanium ion,9.119601101544462e-08,kg,False
"BOD5, Biological Oxygen Demand",0.034083296074472746,kg,False
Nitrate,5.111826946012817e-05,kg,False
Titanium ion,1.723834910929945e-08,kg,False
Antimony ion,1.326468371012022e-07,kg,False
Magnesium,3.981268165756435e-07,kg,False
"Heat, waste",0.190409328582324,MJ,False
Silver I,5.692560724389552e-06,kg,False
"TOC, Total Organic Carbon",0.04530911562034387,kg,False
Molybdenum VI,5.525027108313152e-09,kg,False
Silver I,3.863941139651518e-11,kg,False
"COD, Chemical Oxygen Demand",0.1159764321496582,kg,False
Aluminium III,3.377903582007223e-07,kg,False
Nitrate,0.005545266208520019,kg,False
Hydrochloric acid,7.12701575462139e-05,kg,False
Nitrite,1.791343496063122e-07,kg,False
"Nitrogen, organic bound",1.977526785268654e-05,kg,False
"Heat, waste",0.017717818144340335,MJ,False
"DOC, Dissolved Organic Carbon",0.04530911562034387,kg,False
Silicon,2.871320373732043e-07,kg,False
Barium II,1.5605689572458043e-07,kg,False
Iron ion,1.253414272942566e-07,kg,False
Ammonium,1.2413708216737736e-05,kg,False
Sodium I,1.2239218809295363e-07,kg,False
Nitrite,6.585275897476956e-07,kg,False
Thallium I,2.315568038036694e-12,kg,False
Strontium II,1.3490557581872982e-07,kg,False
Hydrogen fluoride,1.2982336120673494e-05,kg,False
"Organic carbon, placed in landfill",0.049364377717973085,kg,True
"Carbon dioxide, non-fossil",0.03137742249280594,kg,False
Ammonium,3.7776010268441477e-06,kg,False
Silver I,2.4421364411382562e-09,kg,False
Calcium II,4.7058956240563384e-07,kg,False
Hydrogen sulfide,2.1768585142082238e-05,kg,False
"Nitrogen, organic bound",5.379332461579682e-06,kg,False
Hydrogen sulfide,0.00016217746256032143,kg,False
Potassium I,3.1485667330171614e-08,kg,False
Pentachlorobenzene,2.809460686805175e-09,kg,False
Calcium II,0.003947564986725149,kg,False
Phosphorus,3.4423291383271834e-07,kg,False
Titanium ion,1.9916604318386735e-05,kg,False
Water,0.94096444406155,m3,False
Phosphate,1.8314675951702006e-05,kg,False
Silicon,1.5403680420611508e-05,kg,False
Hexachlorobenzene,1.1118857617156819e-09,kg,False
"Heat, waste",110.45453861746599,MJ,False
Calcium II,0.00015903476436054267,kg,False
"Particulate Matter, > 2.5 um and < 10um",7.664815211478011e-05,kg,False
Cyanide,8.436689559019898e-05,kg,False
Titanium ion,6.227592512520814e-06,kg,False
Iron ion,4.400855237977175e-06,kg,False
Pentachlorophenol,2.3868544648947973e-10,kg,False
Benzo(a)pyrene,8.337001117701444e-10,kg,False
"Carbon dioxide, non-fossil, resource correction",0.03723504665152659,kg,True
"Carbon dioxide, non-fossil",0.19468778790397598,kg,False
"Carbon dioxide, to soil or biomass stock",1.673881008732369e-05,kg,False
"Carbon, organic, increase in soil or biomass stock",4.789197911542711e-06,kg,True
"Transformation, to permanent crop",6.62918672500326e-06,m2,True
"Transformation, from arable land, unspecified use",0.00018444029836627585,m2,True
Ozone,4.099098242454331e-05,kg,False
"Aldehydes, unspecified",9.537039401442656e-10,kg,False
Sulfide,6.021093117894337e-08,kg,False
"Particulate Matter, > 10 um",9.095287706340287e-05,kg,False
"Acidity, unspecified",1.9700846671891143e-08,kg,False
Fluoride,0.000106615559776085,kg,False
Chromium III,3.0571957258086215e-06,kg,False
"Oils, unspecified",4.063193954863088e-06,kg,False
Nickel II,5.266435550125756e-07,kg,False
Dissolved solids,0.0002141784100952569,kg,False
Mercury II,7.929319862540963e-08,kg,False
Copper ion,5.1473990556712745e-05,kg,False
Thallium I,7.775028530160684e-09,kg,False
Scandium,6.5247493267404364e-09,kg,False
Chromium VI,1.3261611693850803e-05,kg,False
Potassium I,0.004206195471189122,kg,False
Silver I,2.013016492269557e-08,kg,False
Antimony ion,0.00015476285615620658,kg,False
Strontium II,6.042178638388495e-05,kg,False
Tin ion,5.579869585157935e-06,kg,False
Beryllium II,8.146006148182499e-09,kg,False
Tungsten,1.5362343033971973e-06,kg,False
Cobalt II,1.7287824039155233e-07,kg,False
"Particulate Matter, > 2.5 um and < 10um",0.0009034197917895911,kg,False
"Energy, kinetic (in wind), converted",1.3653967884291605,MJ,True
"Water, salt, ocean",0.5776967589797877,m3,True
Hypochlorite,0.002089372171299273,kg,False
Sodium I,0.00828367096832631,kg,False
Argon,1.1114523450700401e-07,kg,False
Hexachlorobenzene,8.726334000780669e-11,kg,False
"Water, unspecified natural origin",0.0002732084223717799,m3,True
Polychlorinated biphenyls,1.958997787289374e-11,kg,False
"Hydrocarbons, aromatic",9.481049521857199e-07,kg,False
Hydrochloric acid,0.004293227290159375,kg,False
Chromium VI,1.908000367590739e-10,kg,False
Polychlorinated biphenyls,1.1016310930067393e-10,kg,False
Titanium ion,1.4025676976829292e-07,kg,False
Platinum,4.8564115728933055e-12,kg,False
"Carbon monoxide, non-fossil",4.325889357876701e-05,kg,False
Arsenic ion,3.8338120665382184e-07,kg,False
Boron,4.047401207388457e-07,kg,False
Fluoride,2.034087073431283e-06,kg,False
Phosphorus,2.2887335897556923e-06,kg,False
Iron ion,8.536528735542204e-05,kg,False
Strontium II,4.175540817330116e-07,kg,False
Manganese II,1.744563531733538e-06,kg,False
Chromium III,2.654765150701003e-07,kg,False
Sodium I,8.377923146588637e-05,kg,False
Carbon,0.00023653003039181863,kg,False
Barium II,2.0139492916633662e-05,kg,False
Magnesium,3.3359098604572265e-05,kg,False
Potassium I,1.4809471207052181e-05,kg,False
Sulfur,3.6509934909579683e-05,kg,False
Chloride,0.000144064681898389,kg,False
Aluminium III,4.416429059354305e-05,kg,False
Silicon,2.1586448307726553e-05,kg,False
Arsenic ion,1.69490094771179e-08,kg,False
Calcium II,0.00016690987346958965,kg,False
Zinc II,1.123758525982301e-06,kg,False
Isopropanol,4.5731361849872263e-07,kg,False
Protactinium-234,4.324875326058864e-05,kBq,False
Uranium-238,0.00012798676243428312,kBq,False
Protactinium-234,4.201615485404921e-06,kBq,False
Uranium-235,5.585169225734967e-05,kBq,False
Thorium-234,4.204398021858075e-06,kBq,False
Uranium-238,6.799526835464306e-05,kBq,False
Uranium-234,3.910675626344187e-05,kBq,False
Radium-226,0.00012410107768770522,kBq,False
Thorium-230,2.4552509506468233e-05,kBq,False
Uranium-235,8.935853046393509e-07,kBq,False
Thorium-234,4.327849761577753e-05,kBq,False
Uranium-234,5.005639014784354e-05,kBq,False
Boron,3.14965336354477e-06,kg,False
"Carbon monoxide, non-fossil",7.069079847130129e-06,kg,False
Aluminium hydroxide,3.279124096986625e-11,kg,False
"Transformation, to dump site, residual material landfill",0.00012539522585948724,m2,True
Ethyl acetate,1.8805205173602732e-08,kg,False
Ethyl acetate,4.57153921870475e-10,kg,False
Oxygen,0.00015285495995620677,kg,False
Formic acid,7.939314323616884e-11,kg,False
Methyl ethyl ketone,6.063780886879872e-08,kg,False
Acetone,4.4653031317208294e-07,kg,False
Butane,2.000799111923335e-07,kg,False
Acetic acid,6.744576286661777e-08,kg,False
Acetone,2.8548470900077934e-07,kg,False
Methyl acetate,3.3447594407635505e-09,kg,False
Methyl acetate,7.630551270674639e-11,kg,False
Copper,0.0016040700237042389,kg,True
Bromate,3.7244901047618555e-07,kg,False
Fluorine,2.0771415074276384e-07,kg,False
Hydrogen fluoride,3.744187968557577e-06,kg,False
"Hydrocarbons, chlorinated",3.669488033430805e-08,kg,False
Dichloromethane,1.4509985652614212e-08,kg,False
Ethylene dichloride,5.7645889516373444e-11,kg,False
Sulfate,0.00018291800618573239,kg,False
Iron,0.0674583472451726,kg,True
Hydrogen sulfide,2.129270872723656e-06,kg,False
Granite,0.009463740261113955,kg,True
Shale,0.1493246148567061,kg,True
Aluminium,0.003341159093120148,kg,True
"Coal, brown",0.26920224705109014,kg,True
"Clay, unspecified",0.13139661074106815,kg,True
Manganese,0.0007935155527497777,kg,True
"Chlorinated solvents, unspecified",3.630760633688657e-08,kg,False
Gravel,1.9715310060259892,kg,True
Calcite,8.013502637314312,kg,True
"Xylenes, unspecified",2.4267434618449433e-06,kg,False
Antimony ion,3.2173342240275853e-09,kg,False
Titanium,0.005174896793403673,kg,True
Sodium nitrate,2.2971996005892275e-06,kg,True
