Impact category,Amount (Normalized),Normalized Unit
Acidification,0.853611786701444,mol H+-Eq/ref
Climate change,0.08734652220323186,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.9309577037761246,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.14503819439491047,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.365442256788518,kg P-Eq/ref
Eutrophication: marine,0.121644359661461,kg N-Eq/ref
Eutrophication: terrestrial,0.18656840540397968,mol N-Eq/ref
Human toxicity: carcinogenic,0.2832174512677393,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.8541626532345363,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0163823148305672,kBq U235-Eq/ref
Land use,0.018855579860044467,dimensionless/ref
Material resources: metals/minerals,9.55127209346855,kg Sb-Eq/ref
Ozone depletion,0.00022900901422471883,kg CFC-11-Eq/ref
Particulate matter formation,0.18642592186781168,disease incidence/ref
Photochemical oxidant formation: human health,0.23381146689844393,kg NMVOC-Eq/ref
Water use,0.046472400550931194,m3 world Eq deprived/ref
