Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.04589434457654222,mol H+-Eq,0.0008258902909885013,mol H+-Eq/ref
Climate change,1.4182099447371346,kg CO2-Eq,0.00018776569966612647,kg CO2-Eq/ref
Climate change: biogenic,0.0050398188006384285,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,1.4108049062637693,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.002365219672726494,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,53.736081751077485,CTUe,0.0009474491540965595,CTUe/ref
"Ecotoxicity: freshwater, inorganics",52.76993477759428,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.9661469734832067,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,18.832881123153946,"MJ, net calorific value",0.00028971764653051884,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0036814531081465402,kg P-Eq,0.002291096389017907,kg P-Eq/ref
Eutrophication: marine,0.0029561003332119603,kg N-Eq,0.00015124445509240924,kg N-Eq/ref
Eutrophication: terrestrial,0.03866157806767758,mol N-Eq,0.00021872975650716263,mol N-Eq/ref
Human toxicity: carcinogenic,4.765047242711366e-09,CTUh,0.0002761881911279476,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.260051879101417e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.049953636099497e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.4223875228852006e-07,CTUh,0.003435237635847937,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",4.151674819518595e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",2.707127033666054e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.12944930068625785,kBq U235-Eq,3.067400209977601e-05,kBq U235-Eq/ref
Land use,20.141728868997017,dimensionless,2.4578125112761633e-05,dimensionless/ref
Material resources: metals/minerals,0.0005448036669466527,kg Sb-Eq,0.008563050527656758,kg Sb-Eq/ref
Ozone depletion,2.0228650049824115e-08,kg CFC-11-Eq,3.8642358924103e-07,kg CFC-11-Eq/ref
Particulate matter formation,1.5456461210421105e-07,disease incidence,0.0002596123266896067,disease incidence/ref
Photochemical oxidant formation: human health,0.011088263214400049,kg NMVOC-Eq,0.00027137740901502644,kg NMVOC-Eq/ref
Water use,0.6508159940704562,m3 world Eq deprived,5.6747103313844076e-05,m3 world Eq deprived/ref
