Flow,Amount,Unit,Is input
Water,2.6885284418557487,m3,False
"Transformation, to industrial area",0.023894343492661462,m2,True
"Transformation, to lake, artificial",0.017283110905632688,m2,True
"Water, turbine use, unspecified natural origin",2252.482985969843,m3,True
"Transformation, from forest, unspecified",0.0166783984520598,m2,True
"Energy, potential (in hydropower reservoir), converted",314.5345597292032,MJ,True
"Carbon dioxide, from soil or biomass stock",0.7144801716213579,kg,False
Water,2271.916197867794,m3,False
"Methane, non-fossil",0.05195705920805161,kg,False
"Volume occupied, reservoir",18.031443414741616,m3*a,True
"Occupation, lake, artificial",2.213605795097382,m2*a,True
Water,36.654267830184104,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.013618400571344676,kg,False
"Hydrocarbons, unspecified",0.00017796007907580706,kg,False
Cadmium II,4.492439362117655e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.0672799585068216e-09,kg,False
Selenium IV,7.788861664699695e-07,kg,False
Chromium VI,3.328317938192227e-07,kg,False
Vanadium V,8.931776753332254e-08,kg,False
Copper ion,0.00014295512354141378,kg,False
"TOC, Total Organic Carbon",0.010112494670497884,kg,False
Ammonia,0.036732944513629406,kg,False
Arsenic ion,4.865872913381615e-06,kg,False
Chromium III,1.0090837183830462e-05,kg,False
Zinc II,0.00014473292229955713,kg,False
Nitrogen,3.551524169614349e-05,kg,False
"Water, unspecified natural origin",1.0196781066639908,m3,True
"AOX, Adsorbable Organic Halides",8.05636297333177e-06,kg,False
Benzene,0.0001661609014446724,kg,False
Rhodium III,3.6528432447315483e-09,kg,False
Mercury II,1.3998508972872934e-07,kg,False
Chloride,0.2537645946279028,kg,False
Tin ion,9.31635758601776e-06,kg,False
Formaldehyde,0.00013621031995686628,kg,False
Nickel II,1.2096745944802583e-05,kg,False
Sulfate,0.03109713404683431,kg,False
Sulfide,0.00015270341215417805,kg,False
Selenium IV,2.0151019567258294e-07,kg,False
"Suspended solids, unspecified",0.002757257348931205,kg,False
Nitrogen oxides,0.3242761530574377,kg,False
Tellurium,5.818422540059489e-09,kg,False
Platinum,3.6528432447315483e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.557995889268619e-07,kg,False
Beryllium II,3.814300026063214e-08,kg,False
Palladium II,3.7020774191915176e-09,kg,False
Vanadium V,3.627633231810169e-05,kg,False
Copper ion,3.505512300074644e-05,kg,False
Antimony ion,1.1922970169532046e-05,kg,False
Ammonium,0.0009957549124294635,kg,False
Cobalt II,2.469392573485872e-06,kg,False
Arsenic ion,2.2716090097165027e-07,kg,False
Fluoride,0.001809786681635472,kg,False
Barium II,2.8041131163697157e-05,kg,False
Hydrogen fluoride,0.002697411770110652,kg,False
Lead II,8.111377205914332e-05,kg,False
Hydrochloric acid,0.0018856057805397288,kg,False
Boron,1.7729906311566676e-06,kg,False
Chromium III,0.0002877675597327324,kg,False
Sodium I,0.14998093352425282,kg,False
"NMVOC, non-methane volatile organic compounds",0.05328268170085319,kg,False
t-Butyl methyl ether,8.864953155783328e-08,kg,False
Cyanide,8.404948909631611e-05,kg,False
"Heat, waste",6.739675126432392,MJ,False
Nickel II,3.317635323883988e-05,kg,False
Hydrogen sulfide,0.0035270524744837614,kg,False
Cobalt II,1.8600815476896108e-07,kg,False
Mercury II,2.124300412469305e-06,kg,False
Benzene,0.0006462607737804589,kg,False
"Particulate Matter, < 2.5 um",0.04283108263330992,kg,False
"Carbon monoxide, fossil",0.16212536472827035,kg,False
Cadmium II,6.859645365553368e-07,kg,False
"Xylenes, unspecified",9.11478820057153e-05,kg,False
Dinitrogen monoxide,0.004060126055572049,kg,False
Toluene,4.57765064214799e-05,kg,False
"Particulate Matter, > 10 um",0.05440330484421483,kg,False
Thallium I,1.559961521779839e-07,kg,False
Aluminium III,3.026591829794071e-06,kg,False
Nitrate,0.00018743172306091223,kg,False
"Xylenes, unspecified",1.819837814431626e-06,kg,False
Nitrite,4.076081530507469e-07,kg,False
"BOD5, Biological Oxygen Demand",0.03338861715777292,kg,False
Molybdenum VI,4.4324765778916685e-08,kg,False
"Heat, waste",1.1694664510727886,MJ,False
Water,1.3048865946610455,m3,False
Benzo(a)pyrene,4.267477146671535e-07,kg,False
"Water, cooling, unspecified natural origin",20.588702163323454,m3,True
Manganese II,1.29413493219385e-05,kg,False
Zinc II,1.5767663384733095e-05,kg,False
Iron ion,0.0006361912678776487,kg,False
Manganese II,4.243347141006731e-06,kg,False
Toluene,9.450662975786753e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.0001812072225034489,kg,False
Lead II,9.67213335229808e-06,kg,False
Tin ion,4.482751761816959e-08,kg,False
Phenol,0.000132188600446086,kg,False
"Carbon dioxide, fossil",33.71599708981497,kg,False
"Methane, fossil",0.008481449706658505,kg,False
Phosphorus,5.185124040546736e-06,kg,False
"Carbon dioxide, non-fossil",0.2883338804930295,kg,False
Sulfur dioxide,0.13124683557129543,kg,False
"DOC, Dissolved Organic Carbon",0.010130476272949414,kg,False
"COD, Chemical Oxygen Demand",0.03382108133877866,kg,False
"Water, well, in ground",0.8087297645138944,m3,True
"DOC, Dissolved Organic Carbon",0.41178941097602384,kg,False
Chloride,0.4622500199961786,kg,False
"COD, Chemical Oxygen Demand",0.28438108684656066,kg,False
Phenol,0.0005729799282990693,kg,False
Chlorine,0.0005770054502730697,kg,False
"Water, river",1.682631982317356,m3,True
Sodium I,1.232348077632929,kg,False
"Carbon dioxide, fossil",47.98572479794436,kg,False
Phenol,4.43630927648526e-05,kg,False
"TOC, Total Organic Carbon",0.12882174653396447,kg,False
"BOD5, Biological Oxygen Demand",0.0806553842818891,kg,False
Hydrogen,0.02291858819358652,kg,False
Ammonia,0.0011895150764115606,kg,False
Benzene,0.0008165912155240035,kg,False
"NMVOC, non-methane volatile organic compounds",0.15154871301483402,kg,False
Nickel II,0.0026301460160483704,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00017905255580199248,kg,False
"Carbon dioxide, fossil",233.36274224820406,kg,False
Selenium IV,5.0502526621751576e-05,kg,False
Lead II,1.1724598687562894e-05,kg,False
"Methane, fossil",0.756005461410129,kg,False
Sulfur dioxide,1.7321024008789347,kg,False
Cadmium II,9.660581076921422e-06,kg,False
Benzo(a)pyrene,2.4664965315187546e-06,kg,False
Dinitrogen monoxide,0.004073859377320435,kg,False
Copper ion,0.0003979438966229225,kg,False
"Carbon monoxide, fossil",0.11294592335034073,kg,False
Zinc II,4.700203374311706e-05,kg,False
"Particulate Matter, < 2.5 um",0.30580088529861554,kg,False
Cadmium II,0.0004592576461980684,kg,False
Chromium III,0.0004252724099216481,kg,False
Nitrogen oxides,0.6095028040104528,kg,False
Zinc II,0.0013043811910855305,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.4919704047286185e-11,kg,False
Dinitrogen monoxide,0.003941269802582511,kg,False
"Carbon monoxide, fossil",0.07382402559236599,kg,False
Sulfur dioxide,0.1885041872706671,kg,False
"NMVOC, non-methane volatile organic compounds",0.11492653459482896,kg,False
"Methane, fossil",0.014707015111221819,kg,False
Nitrogen oxides,0.09723035879337952,kg,False
Oxygen,20.421160858573792,kg,True
"Heat, waste",52.65724794730053,MJ,False
Mercury II,8.602402835608589e-07,kg,False
Non-hazardous waste disposed,1510.7317554113279,kg,False
"Occupation, dump site",5.42519670643551,m2*a,True
"Transformation, from unspecified",0.14780679230620822,m2,True
"Transformation, to dump site",0.04412932349623158,m2,True
Sulfur hexafluoride,5.4119573774825064e-05,kg,False
"Particulate Matter, > 10 um",0.5423909372875515,kg,False
Nickel II,9.9034915543017e-05,kg,False
"COD, Chemical Oxygen Demand",0.0018700487645642951,kg,False
Sulfate,0.7620146201750678,kg,False
Manganese II,0.001959428213428652,kg,False
"DOC, Dissolved Organic Carbon",0.002792898101880525,kg,False
"TOC, Total Organic Carbon",0.002792898101880525,kg,False
Iron ion,0.05486305817231845,kg,False
Chromium III,2.4391925037470986e-07,kg,False
Dissolved solids,0.012735219337216363,kg,False
Arsenic ion,7.520752047248462e-05,kg,False
Cadmium II,1.6564797267002894e-05,kg,False
Lead II,2.1787775324710524e-05,kg,False
"Occupation, industrial area",0.9962137834482132,m2*a,True
Selenium IV,1.1727871202837995e-05,kg,False
"BOD5, Biological Oxygen Demand",0.0004272770173870214,kg,False
"Solids, inorganic",0.10889553394474871,kg,False
Tin ion,3.304444420175995e-05,kg,False
Chloride,1.16130320404388,kg,False
Copper ion,0.00036209111016143524,kg,False
Uranium alpha,0.1439213098823808,kBq,False
"Transformation, to mineral extraction site",0.05971715053808826,m2,True
Uranium,0.0008753389851379058,kg,True
Radon-222,467.6064574421243,kBq,False
Radium-226,6.4275211883934595,kBq,False
Gangue,1092.6485748969262,kg,True
"Suspended solids, unspecified",0.007300501023774911,kg,False
"Transformation, from industrial area",0.0001465043815165132,m2,True
Molybdenum VI,0.00021832210696348645,kg,False
Sulfate,0.399744564812604,kg,False
Cadmium II,4.038966538183217e-05,kg,False
Aluminium III,0.0034952542950592354,kg,False
Nitrate,0.037450071254971184,kg,False
Magnesium,0.040783656676785525,kg,False
Lead II,0.00014820549717262278,kg,False
Arsenic ion,0.00010866952080519941,kg,False
Selenium IV,3.634627693170912e-05,kg,False
Uranium alpha,0.008681546189249609,kBq,False
Ammonium,0.004177468207166098,kg,False
"Occupation, mineral extraction site",1.9211203560097743,m2*a,True
Zinc II,0.002597552667587368,kg,False
Barium II,0.0015242269619008492,kg,False
Iron ion,0.005328252457212999,kg,False
Thorium-230,0.3123097009550471,kBq,False
Vanadium V,0.00010388440329924395,kg,False
Manganese II,0.00016144192919824422,kg,False
"Transformation, to unspecified",0.05774149539484456,m2,True
"Energy, solar, converted",9.78395665845774,MJ,True
"Transformation, from pasture, man made",0.0111215489323272,m2,True
"Occupation, river, artificial",0.2857440004990549,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.004973109929499885,m2,True
"Transformation, to river, artificial",0.0032633737625379585,m2,True
Nitrobenzene,4.135194649991581e-06,kg,False
Aniline,1.0383115109089207e-06,kg,False
Chlorine,0.001079887691326494,kg,False
Vinyl chloride,7.214574704982067e-06,kg,False
"1,1,2-Trichloroethane",1.1618509804391997e-07,kg,False
Zirconium-95,0.028737740049305866,kBq,False
Niobium-95,0.07039579400576122,kBq,False
"Hydrocarbons, unspecified",0.00028439276715624213,kg,False
Technetium-99m,0.0003109795262639171,kBq,False
Antimony-124,0.06407572018754426,kBq,False
"Noble gases, radioactive, unspecified",4522.6946582882665,kBq,False
Cobalt-58,0.027102509069226562,kBq,False
Antimony-125,0.0010173720510565365,kBq,False
Molybdenum-99,1.1794211353280122e-05,kBq,False
Chromium-51,0.0024628633241606606,kBq,False
Zinc-65,0.005714743786884392,kBq,False
Iodine-131,0.012510959255102498,kBq,False
Antimony-125,5.385135959119521e-07,kBq,False
Tritium,378.5103335360454,kBq,False
Antimony-122,2.08041149873714e-05,kBq,False
Cobalt-60,3.4740706760024202e-06,kBq,False
Ruthenium-103,6.7346492092595885e-06,kBq,False
Silver-110,7.203194680361132e-08,kBq,False
Strontium-89,0.0002520000463857529,kBq,False
Water,0.1317146859291727,m3,False
Barium-140,1.2256110816636418e-05,kBq,False
Xenon-133,16.677552046321296,kBq,False
Caesium-136,6.466765831251289e-06,kBq,False
Iodine-133,4.1884390793151055e-05,kBq,False
Tellurium-132,1.9377284092218707e-06,kBq,False
Zirconium-95,1.3406453704012793e-06,kBq,False
Krypton-85m,0.32482544736571545,kBq,False
Tellurium-123m,4.343631482832664e-05,kBq,False
Cobalt-60,0.01563926695932534,kBq,False
Niobium-95,8.778336067207589e-05,kBq,False
Iodine-133,2.6234598365278204e-05,kBq,False
"Radioactive species, alpha emitters",0.00043814369399827144,kBq,False
Carbon-14,0.007039578103519956,kBq,False
Lanthanum-140,4.135513420912427e-05,kBq,False
Cerium-144,1.109245953972744e-05,kBq,False
Cobalt-57,0.00020527954168953827,kBq,False
Carbon-14,1.0739186992258285,kBq,False
Antimony-124,2.515579671157664e-08,kBq,False
"Aerosols, radioactive, unspecified",8.03744032019726e-05,kBq,False
Manganese-54,0.0008014962898592717,kBq,False
Caesium-137,2.6304714462707893e-06,kBq,False
Iron-59,0.05742090541185012,kBq,False
Xenon-135,5.530374865997467,kBq,False
Cerium-141,1.537722037847166e-05,kBq,False
Caesium-137,0.005644377633404795,kBq,False
Caesium-134,0.0005281533889971932,kBq,False
Sodium-24,0.00023790547820896576,kBq,False
"Radioactive species, other beta emitters",2.750112271916241e-06,kBq,False
Iodine-131,0.006392091609257105,kBq,False
Cobalt-58,5.104445563952456e-07,kBq,False
Strontium-90,0.16074136431159614,kBq,False
Silver-110,0.008806383892953963,kBq,False
"Transformation, from dump site",0.002486129287164099,m2,True
"Transformation, to forest, unspecified",0.005901618999829297,m2,True
Vanadium V,0.015083128628639923,kg,False
"Transformation, from traffic area, road network",0.0014916862737294403,m2,True
"Transformation, to traffic area, road network",0.0038244803657846885,m2,True
Silicon,8.126181061719684,kg,False
"Transformation, to shrub land, sclerophyllous",0.003594583110995302,m2,True
"Occupation, shrub land, sclerophyllous",0.01797282183437973,m2*a,True
Hazardous waste disposed,918.5738976998987,kg,False
"Waste mass, total, placed in landfill",51.988480039693265,kg,True
"Occupation, traffic area, road network",0.5681714096183748,m2*a,True
Molybdenum VI,0.005706461531157044,kg,False
"Occupation, construction site",0.0526107155111069,m2*a,True
"Transformation, to pasture, man made",0.0017092278682662623,m2,True
Silicon,0.031663874539297664,kg,False
Iron ion,9.271718636443842,kg,False
Zinc II,0.00027534662012479845,kg,False
Propylene,0.0003304652881284435,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",0.0002821445446974303,kg,False
"Particulate Matter, < 2.5 um",0.0468676609467604,kg,False
Propylene oxide,0.0001387750854041291,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.559247534345894e-05,kg,False
Methyl ethyl ketone,0.24403094733288322,kg,False
Heptane,5.565935648123697e-05,kg,False
