Flow,Amount,Unit,Is input
Water,2.718323670872541,m3,False
"Transformation, to industrial area",0.024327902665377345,m2,True
"Transformation, to lake, artificial",0.01746135491285799,m2,True
"Water, turbine use, unspecified natural origin",2278.579803610517,m3,True
"Transformation, from forest, unspecified",0.01692883066322352,m2,True
"Energy, potential (in hydropower reservoir), converted",317.9637361767804,MJ,True
"Carbon dioxide, from soil or biomass stock",0.7298587415675801,kg,False
Water,2298.274076958619,m3,False
"Methane, non-fossil",0.05230140331481616,kg,False
"Volume occupied, reservoir",18.24562291331262,m3*a,True
"Occupation, lake, artificial",2.2377375374102755,m2*a,True
Water,37.242121570453854,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.013707191096895095,kg,False
"Hydrocarbons, unspecified",0.00017968415263472194,kg,False
Cadmium II,4.507187580575988e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.0681147371280742e-09,kg,False
Selenium IV,7.900655273407676e-07,kg,False
Chromium VI,3.394066059568478e-07,kg,False
Vanadium V,9.041625213916624e-08,kg,False
Copper ion,0.00014456032050531422,kg,False
"TOC, Total Organic Carbon",0.010215920766891566,kg,False
Ammonia,0.03709215857074374,kg,False
Arsenic ion,4.8971758249163785e-06,kg,False
Chromium III,1.0404667675769335e-05,kg,False
Zinc II,0.0001458250783638016,kg,False
Nitrogen,3.6358283288998054e-05,kg,False
"Water, unspecified natural origin",1.0253638698406307,m3,True
"AOX, Adsorbable Organic Halides",8.154758143018136e-06,kg,False
Benzene,0.00018122071710466761,kg,False
Rhodium III,3.703327766918462e-09,kg,False
Mercury II,1.4389617105171247e-07,kg,False
Chloride,0.2592714175994043,kg,False
Tin ion,9.49640548759202e-06,kg,False
Formaldehyde,0.0001398648013061616,kg,False
Nickel II,1.2452919755124507e-05,kg,False
Sulfate,0.031756875969422275,kg,False
Sulfide,0.00015547825905010384,kg,False
Selenium IV,2.0373159354932778e-07,kg,False
"Suspended solids, unspecified",0.002783853003607858,kg,False
Nitrogen oxides,0.32754542265213704,kg,False
Tellurium,5.8989478063836095e-09,kg,False
Platinum,3.703327766918462e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.5592671016485222e-07,kg,False
Beryllium II,3.8644479308532845e-08,kg,False
Palladium II,3.7525996314252775e-09,kg,False
Vanadium V,3.6788615893570845e-05,kg,False
Copper ion,3.545548516509947e-05,kg,False
Antimony ion,1.2142980012128286e-05,kg,False
Ammonium,0.0010944272554869216,kg,False
Cobalt II,2.4943757604983115e-06,kg,False
Arsenic ion,2.3143578737460676e-07,kg,False
Fluoride,0.0018111873332460953,kg,False
Barium II,2.9166361653887174e-05,kg,False
Hydrogen fluoride,0.0027005501615889713,kg,False
Lead II,8.162164019189549e-05,kg,False
Hydrochloric acid,0.0019110916894165542,kg,False
Boron,1.7949181388510471e-06,kg,False
Chromium III,0.00029144488615471815,kg,False
Sodium I,0.15015852296616597,kg,False
"NMVOC, non-methane volatile organic compounds",0.05386370586920137,kg,False
t-Butyl methyl ether,8.974590694255224e-08,kg,False
Cyanide,8.688534446162683e-05,kg,False
"Heat, waste",6.840675951140205,MJ,False
Nickel II,3.361310435159964e-05,kg,False
Hydrogen sulfide,0.0035649884946929718,kg,False
Cobalt II,1.8688350143782462e-07,kg,False
Mercury II,2.140541123067472e-06,kg,False
Benzene,0.0006836826375693243,kg,False
"Particulate Matter, < 2.5 um",0.042972690855793416,kg,False
"Carbon monoxide, fossil",0.16425013249669027,kg,False
Cadmium II,7.006330472111602e-07,kg,False
"Xylenes, unspecified",9.236135461533058e-05,kg,False
Dinitrogen monoxide,0.0041586019448533774,kg,False
Toluene,4.659358281535196e-05,kg,False
"Particulate Matter, > 10 um",0.054970016727939226,kg,False
Thallium I,1.5912403016432446e-07,kg,False
Aluminium III,3.084950148567391e-06,kg,False
Nitrate,0.00020634273314873276,kg,False
"Xylenes, unspecified",1.8388323873253796e-06,kg,False
Nitrite,4.124176991445069e-07,kg,False
"BOD5, Biological Oxygen Demand",0.033704629291897825,kg,False
Molybdenum VI,4.487295347127617e-08,kg,False
"Heat, waste",1.1846323358008617,MJ,False
Water,1.320630829549514,m3,False
Benzo(a)pyrene,4.287877017280512e-07,kg,False
"Water, cooling, unspecified natural origin",20.861086768189786,m3,True
Manganese II,1.3100157583262841e-05,kg,False
Zinc II,1.628458546113614e-05,kg,False
Iron ion,0.0006555256040903112,kg,False
Manganese II,4.29447517637403e-06,kg,False
Toluene,9.767207697171471e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00018136278773951968,kg,False
Lead II,9.97349176802817e-06,kg,False
Tin ion,4.541272332507756e-08,kg,False
Phenol,0.00013258540493475704,kg,False
"Carbon dioxide, fossil",34.11128364695205,kg,False
"Methane, fossil",0.008495130374182055,kg,False
Phosphorus,5.298197096085477e-06,kg,False
"Carbon dioxide, non-fossil",0.2932885023059251,kg,False
Sulfur dioxide,0.13180140359773085,kg,False
"DOC, Dissolved Organic Carbon",0.01023381736630806,kg,False
"COD, Chemical Oxygen Demand",0.034143343049669116,kg,False
"Water, well, in ground",0.8203329414047873,m3,True
"DOC, Dissolved Organic Carbon",0.41754744918144354,kg,False
Chloride,0.506693672281996,kg,False
"COD, Chemical Oxygen Demand",0.2870299194439179,kg,False
Phenol,0.0005773052904782192,kg,False
Chlorine,0.0006386703503081886,kg,False
"Water, river",1.710669254441185,m3,True
Sodium I,1.3005803279889065,kg,False
"Carbon dioxide, fossil",48.66354858078102,kg,False
Phenol,4.834359357939084e-05,kg,False
"TOC, Total Organic Carbon",0.13028429132934863,kg,False
"BOD5, Biological Oxygen Demand",0.0824948673956816,kg,False
Hydrogen,0.023563424887402033,kg,False
Ammonia,0.0012114817171307278,kg,False
Benzene,0.0008263964887945416,kg,False
"NMVOC, non-methane volatile organic compounds",0.1536324507747454,kg,False
Nickel II,0.002666034178979217,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00018123194994990852,kg,False
"Carbon dioxide, fossil",236.21802433063033,kg,False
Selenium IV,5.094664317105252e-05,kg,False
Lead II,1.1766868650743985e-05,kg,False
"Methane, fossil",0.7654625640797715,kg,False
Sulfur dioxide,1.7502572807981496,kg,False
Cadmium II,9.66856503189104e-06,kg,False
Benzo(a)pyrene,2.494698527735639e-06,kg,False
Dinitrogen monoxide,0.00412657121407388,kg,False
Copper ion,0.00040321923874764884,kg,False
"Carbon monoxide, fossil",0.11416276227038868,kg,False
Zinc II,4.7428755858134547e-05,kg,False
"Particulate Matter, < 2.5 um",0.30933361735345294,kg,False
Cadmium II,0.00046558469634861593,kg,False
Chromium III,0.000434614737838438,kg,False
Nitrogen oxides,0.6162323883904027,kg,False
Zinc II,0.0013222982566409255,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.5293879790319957e-11,kg,False
Dinitrogen monoxide,0.004001425786203699,kg,False
"Carbon monoxide, fossil",0.07434054940469367,kg,False
Sulfur dioxide,0.1907090650785049,kg,False
"NMVOC, non-methane volatile organic compounds",0.11537326166507837,kg,False
"Methane, fossil",0.015432598276340175,kg,False
Nitrogen oxides,0.09861220872200242,kg,False
Oxygen,20.644436895676456,kg,True
"Heat, waste",53.34908183322434,MJ,False
Mercury II,8.678015034446538e-07,kg,False
Non-hazardous waste disposed,1525.6762294892296,kg,False
"Occupation, dump site",5.482686809707744,m2*a,True
"Transformation, from unspecified",0.14889227362513366,m2,True
"Transformation, to dump site",0.04461518092025338,m2,True
Sulfur hexafluoride,5.4777712298162545e-05,kg,False
"Particulate Matter, > 10 um",0.5486541883374083,kg,False
Nickel II,9.979577574779829e-05,kg,False
"COD, Chemical Oxygen Demand",0.0018787865973721083,kg,False
Sulfate,0.7687445560936728,kg,False
Manganese II,0.0019750107088971416,kg,False
"DOC, Dissolved Organic Carbon",0.0028067112898874282,kg,False
"TOC, Total Organic Carbon",0.0028067112898874282,kg,False
Iron ion,0.055501308351261595,kg,False
Chromium III,2.5204149921978505e-07,kg,False
Dissolved solids,0.012874525719602787,kg,False
Arsenic ion,7.600562040316461e-05,kg,False
Cadmium II,1.6651842392952408e-05,kg,False
Lead II,2.190655666460961e-05,kg,False
"Occupation, industrial area",1.0108803386174392,m2*a,True
Selenium IV,1.1845967684824032e-05,kg,False
"BOD5, Biological Oxygen Demand",0.00042930854419582305,kg,False
"Solids, inorganic",0.11023976390234554,kg,False
Tin ion,3.3227626246819835e-05,kg,False
Chloride,1.1740574349568007,kg,False
Copper ion,0.0003647040400372538,kg,False
Uranium alpha,0.1458684518962013,kBq,False
"Transformation, to mineral extraction site",0.05994061633768179,m2,True
Uranium,0.0008871780653427558,kg,True
Radon-222,473.9264707671695,kBq,False
Radium-226,6.521710185885573,kBq,False
Gangue,1102.5108971999193,kg,True
"Suspended solids, unspecified",0.007384063006343871,kg,False
"Transformation, from industrial area",0.00014846874205779346,m2,True
Molybdenum VI,0.00021994703816226294,kg,False
Sulfate,0.416574432080621,kg,False
Cadmium II,4.10397268503194e-05,kg,False
Aluminium III,0.00352776111311339,kg,False
Nitrate,0.03765043915844813,kg,False
Magnesium,0.04225965707258386,kg,False
Lead II,0.00014847480435524523,kg,False
Arsenic ion,0.00010932276450144053,kg,False
Selenium IV,3.67271311788439e-05,kg,False
Uranium alpha,0.008799001178280903,kBq,False
Ammonium,0.004466007324310651,kg,False
"Occupation, mineral extraction site",1.9290182445805846,m2*a,True
Zinc II,0.002604031427722794,kg,False
Barium II,0.0015469961030592728,kg,False
Iron ion,0.005355508781324726,kg,False
Thorium-230,0.31653502359901275,kBq,False
Vanadium V,0.00010467676654027788,kg,False
Manganese II,0.00016308328752409374,kg,False
"Transformation, to unspecified",0.05778973166484105,m2,True
"Energy, solar, converted",9.797036979964101,MJ,True
"Transformation, from pasture, man made",0.011300286524844567,m2,True
"Occupation, river, artificial",0.2890758250424791,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.005057940499762071,m2,True
"Transformation, to river, artificial",0.0033014095711418256,m2,True
Nitrobenzene,4.567851752632828e-06,kg,False
Aniline,1.1472790111329617e-06,kg,False
Chlorine,0.0010812741467989676,kg,False
Vinyl chloride,7.286274206817855e-06,kg,False
"1,1,2-Trichloroethane",1.2901496415942758e-07,kg,False
Zirconium-95,0.029150041830385637,kBq,False
Niobium-95,0.07140576313126892,kBq,False
"Hydrocarbons, unspecified",0.00028518079727602195,kg,False
Technetium-99m,0.0003152899476068983,kBq,False
Antimony-124,0.06499478905695202,kBq,False
"Noble gases, radioactive, unspecified",4584.8922147089315,kBq,False
Cobalt-58,0.02749131500371681,kBq,False
Antimony-125,0.001031822983125615,kBq,False
Molybdenum-99,1.1956074955699263e-05,kBq,False
Chromium-51,0.0024967054787457367,kBq,False
Zinc-65,0.005795977163732267,kBq,False
Iodine-131,0.012690408192169331,kBq,False
Antimony-125,5.462756042036602e-07,kBq,False
Tritium,383.8958224943476,kBq,False
Antimony-122,2.1103980606845996e-05,kBq,False
Cobalt-60,3.5229362963105347e-06,kBq,False
Ruthenium-103,6.83159813848226e-06,kBq,False
Silver-110,7.307019834006637e-08,kBq,False
Strontium-89,0.00025551485478054786,kBq,False
Water,0.13339210201529725,m3,False
Barium-140,1.2424218465590722e-05,kBq,False
Xenon-133,16.9157302050483,kBq,False
Caesium-136,6.559976272703007e-06,kBq,False
Iodine-133,4.2488102549172805e-05,kBq,False
Tellurium-132,1.9656583706817824e-06,kBq,False
Zirconium-95,1.3599618093390382e-06,kBq,False
Krypton-85m,0.3294367916282977,kBq,False
Tellurium-123m,4.4031516835849555e-05,kBq,False
Cobalt-60,0.015859749907091693,kBq,False
Niobium-95,8.9036480960438e-05,kBq,False
Iodine-133,2.6601109149234554e-05,kBq,False
"Radioactive species, alpha emitters",0.0004396530395061635,kBq,False
Carbon-14,0.007140574998118018,kBq,False
Lanthanum-140,4.193030438846616e-05,kBq,False
Cerium-144,1.125234364214642e-05,kBq,False
Cobalt-57,0.0002082383927135573,kBq,False
Carbon-14,1.0887504327629884,kBq,False
Antimony-124,2.550845851959405e-08,kBq,False
"Aerosols, radioactive, unspecified",8.120899452858894e-05,kBq,False
Manganese-54,0.0008126295232588679,kBq,False
Caesium-137,2.6666674405333973e-06,kBq,False
Iron-59,0.0582447229995526,kBq,False
Xenon-135,5.608809143844991,kBq,False
Cerium-141,1.5590958443265435e-05,kBq,False
Caesium-137,0.005723225371011649,kBq,False
Caesium-134,0.0005355075817695527,kBq,False
Sodium-24,0.00024132884647827532,kBq,False
"Radioactive species, other beta emitters",2.78715177326344e-06,kBq,False
Iodine-131,0.006463455158787797,kBq,False
Cobalt-58,5.177091396411353e-07,kBq,False
Strontium-90,0.16250035586041728,kBq,False
Silver-110,0.008926271394273433,kBq,False
"Transformation, from dump site",0.002535536547378781,m2,True
"Transformation, to forest, unspecified",0.005987313635968406,m2,True
Vanadium V,0.015183720409764458,kg,False
"Transformation, from traffic area, road network",0.001521330802783254,m2,True
"Transformation, to traffic area, road network",0.0038810768374935743,m2,True
Silicon,8.206510013459953,kg,False
"Transformation, to shrub land, sclerophyllous",0.0036635610551473035,m2,True
"Occupation, shrub land, sclerophyllous",0.018317713749865162,m2*a,True
Hazardous waste disposed,926.4159714847096,kg,False
"Waste mass, total, placed in landfill",52.95991765832542,kg,True
"Occupation, traffic area, road network",0.5774249248541616,m2*a,True
Molybdenum VI,0.005755200557488536,kg,False
"Occupation, construction site",0.053926165177364954,m2*a,True
"Transformation, to pasture, man made",0.0017399645424247023,m2,True
Silicon,0.03194644677550611,kg,False
Iron ion,9.346026568954358,kg,False
Zinc II,0.00027677164063602723,kg,False
Propylene,0.00034617476884916975,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",0.00028280025475166723,kg,False
"Particulate Matter, < 2.5 um",0.04738309322801122,kg,False
Propylene oxide,0.0001580126912462681,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.578281330491136e-05,kg,False
Methyl ethyl ketone,0.2440334286487017,kg,False
Heptane,5.57974361327478e-05,kg,False
Copper ion,0.001095102676267872,kg,False
Ethane,0.0002760268424010528,kg,False
Nickel II,4.025003812105468e-05,kg,False
Toluene,0.00012966543474275384,kg,False
Benzene,0.005000295025460692,kg,False
Isohexane,2.2832677427112204e-07,kg,False
Ethylene oxide,3.994879856231064e-05,kg,False
1-Pentene,2.9559972345206814e-09,kg,False
o-Xylene,2.5406225339920954e-08,kg,False
Pentane,0.0003952126136955187,kg,False
Ethylene,0.0010239536412774985,kg,False
Cadmium II,3.5159733765812246e-06,kg,False
Propane,0.00021854222793778218,kg,False
Acetone,0.06267974532373141,kg,False
m-Xylene,7.758364921836455e-06,kg,False
Acrolein,1.2034021973841646e-07,kg,False
Chromium VI,5.502968763750547e-07,kg,False
Formaldehyde,0.0008379061736821831,kg,False
Benzaldehyde,5.392535326717539e-08,kg,False
Butane,0.00034838386387704755,kg,False
Selenium IV,2.834145851778143e-06,kg,False
Styrene,8.220452876231751e-05,kg,False
Hexane,0.00010640693685755967,kg,False
Acetaldehyde,0.000151807309590153,kg,False
Chromium III,5.930005193643105e-06,kg,False
Ammonia,0.002575177506586598,kg,False
Lead II,2.477751710831117e-05,kg,False
Hydrogen,0.0012806889443711972,kg,False
Ethylene,2.2774800058690065e-08,kg,False
Lead II,0.003490979108161587,kg,False
Propane,0.0020814993436752706,kg,False
Arsenic ion,0.0013505338745514754,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.5277443394031514e-10,kg,False
Propionic acid,1.261973294925055e-05,kg,False
Butane,0.0028710588484543503,kg,False
Acenaphthene,5.741877323416558e-07,kg,False
Beryllium II,1.0451541566437214e-06,kg,False
Hexane,0.0014289094793455235,kg,False
Manganese II,0.0005773142827903695,kg,False
Acetaldehyde,0.00020758310155910572,kg,False
Formaldehyde,0.00038775445133001495,kg,False
Cobalt II,1.7565295499725846e-05,kg,False
Pentane,0.002537473325635044,kg,False
Acetic acid,0.00011438222427710088,kg,False
Toluene,0.0003785445871075361,kg,False
Ethane,0.004191936116673871,kg,False
Mercury II,1.7848557405081038e-05,kg,False
Scandium,5.000878615729928e-05,kg,False
Lead II,0.1367203994438407,kg,False
Cadmium II,0.0035169508522514188,kg,False
Molybdenum VI,0.00021379134220289952,kg,False
Vanadium V,7.057849389019297e-06,kg,False
Thallium I,1.0434189708213046e-06,kg,False
Antimony ion,2.8203171475849048e-05,kg,False
Iodide,2.636737419026293e-06,kg,False
Boron,4.857048491868442e-05,kg,False
Thallium I,0.005082356248860428,kg,False
Magnesium,0.04423064318689801,kg,False
Potassium I,0.007258687365920662,kg,False
Barium II,0.19354212386283537,kg,False
Bromine,0.001491596495576425,kg,False
Aluminium III,0.009300677814256862,kg,False
Phosphate,0.8773078082469831,kg,False
Mercury II,4.567638239090974e-07,kg,False
Cobalt II,0.00013459142093174298,kg,False
Bromine,2.4091631759784806e-05,kg,False
Silicon,0.009833259391638965,kg,False
Tungsten,0.0010595866195644442,kg,False
Beryllium II,0.0016669546397756504,kg,False
Copper ion,0.7229285137062664,kg,False
Iodide,0.00021501818396688028,kg,False
Mercury II,0.0003225638277085143,kg,False
Zinc II,0.0011037715950178897,kg,False
Calcium II,6.451453419297345,kg,False
Sodium I,3.386673665641886,kg,False
Phosphate,0.08536941087676217,kg,False
Tin ion,0.025157922982002506,kg,False
Chromium VI,0.01422069915570699,kg,False
Nickel II,0.035599940204773216,kg,False
Beryllium II,5.687048205072533e-06,kg,False
Zinc II,0.18896716425467175,kg,False
Antimony ion,0.0009620624560783992,kg,False
Cobalt II,0.014993097216560574,kg,False
Fluoride,0.0013390112431309255,kg,False
Chromium VI,3.598221423638303e-05,kg,False
Manganese II,0.22675599797391052,kg,False
Chloride,1.9425792417839944,kg,False
Fluoride,0.4036665275501706,kg,False
Strontium II,0.0009117235828046034,kg,False
Potassium I,1.4265934399051112,kg,False
Aluminium III,11.872084663178594,kg,False
Titanium ion,0.20582359857421853,kg,False
Arsenic ion,0.00648878236961611,kg,False
Magnesium,2.7345145561257582,kg,False
Strontium II,0.12456578268336521,kg,False
Barium II,2.0531901530706845e-05,kg,False
Selenium IV,0.0008914536741487522,kg,False
Scandium,0.011708470554670574,kg,False
Boron,0.007235702070178485,kg,False
Tungsten,2.8286443787834077e-05,kg,False
Sodium I,0.027365948821062056,kg,False
Sulfate,10.17951373333831,kg,False
Calcium II,0.09069922021092532,kg,False
Titanium ion,1.3048799725428003e-05,kg,False
"BOD5, Biological Oxygen Demand",1.0126158914030168,kg,False
Nitrate,0.014170280454354244,kg,False
Titanium ion,7.373262899001678e-06,kg,False
Antimony ion,0.0001865809056169999,kg,False
Magnesium,0.00021061020797967612,kg,False
"Heat, waste",40.639276068884755,MJ,False
Silver I,0.007870301085410992,kg,False
"TOC, Total Organic Carbon",3.083967312006269,kg,False
Molybdenum VI,2.3243888077775825e-06,kg,False
Silver I,9.575221464142395e-09,kg,False
