Flow,Amount,Unit,Is input
Water,0.007422911881257246,m3,False
"Transformation, to industrial area",4.090786618642467e-05,m2,True
"Transformation, to lake, artificial",3.287732425053061e-05,m2,True
"Water, turbine use, unspecified natural origin",3.747671851316234,m3,True
"Transformation, from forest, unspecified",0.0007957041866087645,m2,True
"Energy, potential (in hydropower reservoir), converted",0.49667163883584275,MJ,True
"Carbon dioxide, from soil or biomass stock",0.003858372168293853,kg,False
Water,3.7936193209562323,m3,False
"Methane, non-fossil",4.9684194496754566e-05,kg,False
"Volume occupied, reservoir",0.02172338458707064,m3*a,True
"Occupation, lake, artificial",0.0032977161070659572,m2*a,True
Water,0.07675819089348773,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00041727077501041464,kg,False
"Hydrocarbons, unspecified",0.00010914498085322637,kg,False
Cadmium II,5.241077949019726e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",5.186471136763012e-13,kg,False
Selenium IV,5.8037195685646984e-08,kg,False
Chromium VI,1.6602342823595045e-08,kg,False
Vanadium V,1.2407565884007444e-08,kg,False
Copper ion,1.1083197929694135e-05,kg,False
"TOC, Total Organic Carbon",1.534521537457959e-05,kg,False
Ammonia,3.2617310373859856e-05,kg,False
Arsenic ion,5.217137113225771e-08,kg,False
Chromium III,3.82315222156355e-07,kg,False
Zinc II,5.320196554294102e-06,kg,False
Nitrogen,3.3968275312205846e-06,kg,False
"Water, unspecified natural origin",0.005573359618046813,m3,True
"AOX, Adsorbable Organic Halides",1.3665187315965164e-07,kg,False
Benzene,2.7475467426099574e-07,kg,False
Rhodium III,3.954801190265644e-10,kg,False
Mercury II,5.401709972062557e-09,kg,False
Chloride,0.0004797662229445288,kg,False
Tin ion,1.5101616738111915e-06,kg,False
Formaldehyde,3.8656077660241535e-06,kg,False
Nickel II,4.790595055291087e-07,kg,False
Sulfate,0.0006652951632185676,kg,False
Sulfide,3.2545275400920495e-07,kg,False
Selenium IV,2.4819355816050106e-08,kg,False
"Suspended solids, unspecified",4.368871901783871e-05,kg,False
Nitrogen oxides,0.004650927199380364,kg,False
Tellurium,5.604601008145132e-10,kg,False
Platinum,3.954801190265644e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.5778098399278176e-10,kg,False
Beryllium II,5.93958162993985e-10,kg,False
Palladium II,3.9551161829155677e-10,kg,False
Vanadium V,3.991386593516736e-06,kg,False
Copper ion,4.5166506087426373e-07,kg,False
Antimony ion,2.0984329763487195e-06,kg,False
Ammonium,1.975804019279102e-06,kg,False
Cobalt II,9.502686966810142e-08,kg,False
Arsenic ion,1.177417359809157e-08,kg,False
Fluoride,1.051866436226945e-06,kg,False
Barium II,1.5459671449393597e-07,kg,False
Hydrogen fluoride,2.115162609268451e-06,kg,False
Lead II,1.7259500830787554e-06,kg,False
Hydrochloric acid,9.737537091141127e-06,kg,False
Boron,2.4814695898227445e-07,kg,False
Chromium III,9.949196593578933e-06,kg,False
Sodium I,7.706057876968406e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.0015178721462149871,kg,False
t-Butyl methyl ether,1.2407347949113707e-08,kg,False
Cyanide,2.907253599977088e-07,kg,False
"Heat, waste",0.6456485627429576,MJ,False
Nickel II,5.5229200254039045e-06,kg,False
Hydrogen sulfide,7.163201130947222e-06,kg,False
Cobalt II,9.41068293854862e-10,kg,False
Mercury II,2.955459093423558e-08,kg,False
Benzene,9.938453416221453e-06,kg,False
"Particulate Matter, < 2.5 um",0.0004045003339372354,kg,False
"Carbon monoxide, fossil",0.0043013713014537274,kg,False
Cadmium II,3.130014490500257e-08,kg,False
"Xylenes, unspecified",8.83083213866787e-06,kg,False
Dinitrogen monoxide,2.727102216708623e-05,kg,False
Toluene,1.4151713287879488e-06,kg,False
"Particulate Matter, > 10 um",0.001466647160737274,kg,False
Thallium I,1.2594413602358794e-08,kg,False
Aluminium III,1.0067533258636514e-07,kg,False
