Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.2589339729066072,mol H+-Eq,0.004659638484955101,mol H+-Eq/ref
Climate change,40.47395172064509,kg CO2-Eq,0.005358600037520213,kg CO2-Eq/ref
Climate change: biogenic,0.0613678406600676,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,40.33787453702456,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.07470934296046786,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,294.8960499046325,CTUe,0.005199467544411321,CTUe/ref
"Ecotoxicity: freshwater, inorganics",243.36431043331683,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",51.531739471315746,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,536.6166653180733,"MJ, net calorific value",0.008255100021518701,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0218728619419172,kg P-Eq,0.013612243193243728,kg P-Eq/ref
Eutrophication: marine,0.043462818979297116,kg N-Eq,0.002223710169594056,kg N-Eq/ref
Eutrophication: terrestrial,0.4367149270070537,mol N-Eq,0.002470735919782755,mol N-Eq/ref
Human toxicity: carcinogenic,1.9863143425327916e-08,CTUh,0.0011512930246699348,CTUh/ref
"Human toxicity: carcinogenic, inorganics",9.927383995142241e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",9.935759430185677e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,9.214972157336834e-07,CTUh,0.007158038277821925,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",8.630725096743172e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",5.842470605936628e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,3.8330846405721486,kBq U235-Eq,0.0009082787291257338,kBq U235-Eq/ref
Land use,117.89933976425306,dimensionless,0.0001438677256696734,dimensionless/ref
Material resources: metals/minerals,0.0015037058542514898,kg Sb-Eq,0.023634769715949116,kg Sb-Eq/ref
Ozone depletion,1.095400252941352e-06,kg CFC-11-Eq,2.0925197497339165e-05,kg CFC-11-Eq/ref
Particulate matter formation,2.2438317283969124e-06,disease incidence,0.003768821127803376,disease incidence/ref
Photochemical oxidant formation: human health,0.26117309586491494,kg NMVOC-Eq,0.006392027019002239,kg NMVOC-Eq/ref
Water use,13.17624140014395,m3 world Eq deprived,0.001148886227189389,m3 world Eq deprived/ref
