Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.23327250998359353,mol H+-Eq,0.004197848404363973,mol H+-Eq/ref
Climate change,21.196003279951256,kg CO2-Eq,0.0028062716671495565,kg CO2-Eq/ref
Climate change: biogenic,0.03690351802910632,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,21.117539616448745,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.04156014547340462,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,440.5397501898659,CTUe,0.007767388318277018,CTUe/ref
"Ecotoxicity: freshwater, inorganics",370.8552235750622,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",69.68452661480397,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,286.9221225806525,"MJ, net calorific value",0.004413897244294106,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.021669157507406327,kg P-Eq,0.013485470834442785,kg P-Eq/ref
Eutrophication: marine,0.028418126145113298,kg N-Eq,0.0014539709478990897,kg N-Eq/ref
Eutrophication: terrestrial,0.30789827158536015,mol N-Eq,0.001741949432455942,mol N-Eq/ref
Human toxicity: carcinogenic,2.0636649156864568e-08,CTUh,0.0011961263994380406,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.1496152368313468e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",9.140496788551103e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.044921151966976e-06,CTUh,0.008116775043243351,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",9.84445161066045e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",6.047599090093177e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.2397231303199474,kBq U235-Eq,0.000530719529871081,kBq U235-Eq/ref
Land use,90.16733241405778,dimensionless,0.00011002749523492296,dimensionless/ref
Material resources: metals/minerals,0.004445124911181805,kg Sb-Eq,0.06986705766780893,kg Sb-Eq/ref
Ozone depletion,8.193689545772507e-07,kg CFC-11-Eq,1.565223045336951e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.286700939908421e-06,disease incidence,0.0021611895518368015,disease incidence/ref
Photochemical oxidant formation: human health,0.1330569847614867,kg NMVOC-Eq,0.0032564757056840698,kg NMVOC-Eq/ref
Water use,9.659610638876254,m3 world Eq deprived,0.0008422579160469678,m3 world Eq deprived/ref
