Flow,Amount,Unit,Is input
Water,0.2144922227560628,m3,False
"Transformation, to industrial area",0.001074292318785852,m2,True
"Transformation, to lake, artificial",0.0009989839214863089,m2,True
"Water, turbine use, unspecified natural origin",137.63360974040944,m3,True
"Transformation, from forest, unspecified",0.0012051913294256935,m2,True
"Energy, potential (in hydropower reservoir), converted",18.59571630328578,MJ,True
"Carbon dioxide, from soil or biomass stock",0.042197287002865395,kg,False
Water,139.06633470699902,m3,False
"Methane, non-fossil",0.001350613927439704,kg,False
"Volume occupied, reservoir",1.1395670723700133,m3*a,True
"Occupation, lake, artificial",0.13512256056241978,m2*a,True
Water,2.66687262931581,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0003379066623899092,kg,False
"Hydrocarbons, unspecified",1.61252950491327e-05,kg,False
Cadmium II,2.8686711186347563e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.515314193522441e-12,kg,False
Selenium IV,4.760110526069543e-08,kg,False
Chromium VI,2.0315361182281695e-08,kg,False
Vanadium V,5.279595737564462e-09,kg,False
Copper ion,8.396691583726078e-06,kg,False
"TOC, Total Organic Carbon",0.0007960478210383141,kg,False
Ammonia,0.002482861369906685,kg,False
Arsenic ion,3.1869072805941465e-07,kg,False
Chromium III,8.77390964866426e-07,kg,False
Zinc II,8.10290745771714e-06,kg,False
Nitrogen,2.2844600942963143e-06,kg,False
"Water, unspecified natural origin",0.0701819777141646,m3,True
"AOX, Adsorbable Organic Halides",3.330128871504047e-07,kg,False
Benzene,1.2123372286124064e-05,kg,False
Rhodium III,2.2757321458619687e-10,kg,False
Mercury II,9.326696630691083e-09,kg,False
Chloride,0.027565319111137833,kg,False
Tin ion,4.671904807795383e-07,kg,False
Formaldehyde,8.342031732988601e-06,kg,False
Nickel II,1.0023577000541601e-06,kg,False
Sulfate,0.0031633093350010785,kg,False
Sulfide,1.5655300360032844e-05,kg,False
Selenium IV,1.0686274189546791e-08,kg,False
"Suspended solids, unspecified",7.857346140106233e-05,kg,False
Nitrogen oxides,0.0202027052979904,kg,False
Tellurium,3.4545507195416826e-10,kg,False
Platinum,2.2757321458619687e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.512975869485227e-10,kg,False
Beryllium II,2.40293109665028e-09,kg,False
Palladium II,2.387121448995355e-10,kg,False
Vanadium V,2.30953448116932e-06,kg,False
Copper ion,2.4632588916400277e-06,kg,False
Antimony ion,5.899475261681335e-07,kg,False
Ammonium,9.380543637519312e-05,kg,False
Cobalt II,1.6378478967853248e-07,kg,False
Arsenic ion,1.406934475038527e-08,kg,False
Fluoride,1.1314363886121046e-05,kg,False
Barium II,2.3239235320954828e-06,kg,False
Hydrogen fluoride,1.4035215066781997e-05,kg,False
Lead II,5.08688997850717e-06,kg,False
Hydrochloric acid,6.141144144927062e-05,kg,False
Boron,1.0541140595557652e-07,kg,False
Chromium III,2.1739273421849018e-05,kg,False
Sodium I,0.01467330721802135,kg,False
"NMVOC, non-methane volatile organic compounds",0.0034716575578186567,kg,False
t-Butyl methyl ether,5.2705702977788174e-09,kg,False
Cyanide,7.683283124008007e-06,kg,False
"Heat, waste",0.39986784474889564,MJ,False
Nickel II,2.149537518255881e-06,kg,False
Hydrogen sulfide,0.00036526157249170966,kg,False
Cobalt II,1.7362675596711187e-08,kg,False
Mercury II,5.65082778075632e-08,kg,False
Benzene,4.4896131986975845e-05,kg,False
"Particulate Matter, < 2.5 um",0.000768551150870891,kg,False
"Carbon monoxide, fossil",0.009499943541859469,kg,False
Cadmium II,4.203659759947432e-08,kg,False
"Xylenes, unspecified",5.647614113509162e-06,kg,False
Dinitrogen monoxide,0.0002877504758728017,kg,False
Toluene,3.306571537808755e-06,kg,False
"Particulate Matter, > 10 um",0.0031384732959884518,kg,False
