Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,6.06470391336089,mol H+-Eq,0.10913719600921906,mol H+-Eq/ref
Climate change,269.46383321756196,kg CO2-Eq,0.03567600507003208,kg CO2-Eq/ref
Climate change: biogenic,4.238297811231597,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,264.929553577936,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.29598182839441717,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,6844.027089720571,CTUe,0.12067064559726057,CTUe/ref
"Ecotoxicity: freshwater, inorganics",6801.252180074696,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",42.774909645875034,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,3274.6108539087213,"MJ, net calorific value",0.05037532726372598,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.519594316171809,kg P-Eq,0.3233616255769174,kg P-Eq/ref
Eutrophication: marine,0.44408783746055824,kg N-Eq,0.022721090429603005,kg N-Eq/ref
Eutrophication: terrestrial,5.459225637462058,mol N-Eq,0.03088583431099106,mol N-Eq/ref
Human toxicity: carcinogenic,7.412416985708979e-07,CTUh,0.0429633104330807,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.628876589232906e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.7835403964760703e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,5.7541412445501014e-05,CTUh,0.4469721946114607,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",5.4017376676462694e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.524035769038326e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,21.038988215956014,kBq U235-Eq,0.00498534920847129,kBq U235-Eq/ref
Land use,2461.5538313075313,dimensionless,0.0030037331170115656,dimensionless/ref
Material resources: metals/minerals,0.06935820188471634,kg Sb-Eq,1.0901501279806929,kg Sb-Eq/ref
Ozone depletion,2.9228101064416076e-06,kg CFC-11-Eq,5.583381833287206e-05,kg CFC-11-Eq/ref
Particulate matter formation,4.160493150325017e-05,disease incidence,0.0698811514632994,disease incidence/ref
Photochemical oxidant formation: human health,1.6687527640934063,kg NMVOC-Eq,0.04084154503278854,kg NMVOC-Eq/ref
Water use,131.29600602147778,m3 world Eq deprived,0.011448194399459238,m3 world Eq deprived/ref
