Flow,Amount,Unit,Is input
Water,0.008972200167736097,m3,False
"Transformation, to industrial area",4.667060163740679e-05,m2,True
"Transformation, to lake, artificial",5.3956396892188057e-05,m2,True
"Water, turbine use, unspecified natural origin",5.507658710964399,m3,True
"Transformation, from forest, unspecified",0.0002889740559852464,m2,True
"Energy, potential (in hydropower reservoir), converted",0.7611481842955514,MJ,True
"Carbon dioxide, from soil or biomass stock",0.0022600877889754644,kg,False
Water,5.570538819344372,m3,False
"Methane, non-fossil",4.1116151737305294e-05,kg,False
"Volume occupied, reservoir",0.026361472433533522,m3*a,True
"Occupation, lake, artificial",0.004332199219109018,m2*a,True
Water,0.11576187061273438,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0009675802336317537,kg,False
"Hydrocarbons, unspecified",1.5634021696008207e-06,kg,False
Cadmium II,5.2508711009046346e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",6.302052377483351e-13,kg,False
Selenium IV,6.376588907565421e-08,kg,False
Chromium VI,1.1800287123749952e-08,kg,False
Vanadium V,5.9180168511710256e-09,kg,False
Copper ion,2.522598677903257e-05,kg,False
"TOC, Total Organic Carbon",9.190201882030023e-06,kg,False
Ammonia,4.2167857895006646e-05,kg,False
Arsenic ion,6.608279825532479e-08,kg,False
Chromium III,2.1229668752203566e-07,kg,False
Zinc II,1.1364270060704553e-05,kg,False
Nitrogen,1.627850943694801e-06,kg,False
"Water, unspecified natural origin",0.006180165474492691,m3,True
"AOX, Adsorbable Organic Halides",7.401859151121117e-08,kg,False
Benzene,2.625792905042408e-07,kg,False
Rhodium III,2.986608977443772e-10,kg,False
Mercury II,3.8742006662106836e-09,kg,False
Chloride,0.00027005914376674955,kg,False
Tin ion,3.4291159908643697e-06,kg,False
Formaldehyde,5.983327016155835e-06,kg,False
Nickel II,2.8184744591341184e-07,kg,False
Sulfate,0.00032446440488362354,kg,False
Sulfide,3.6625242568732043e-07,kg,False
Selenium IV,1.1842573650081755e-08,kg,False
"Suspended solids, unspecified",2.745093796752111e-05,kg,False
Nitrogen oxides,0.011172847184872964,kg,False
Tellurium,4.4218422193377896e-10,kg,False
Platinum,2.986608977443772e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.46956225285376e-10,kg,False
Beryllium II,7.524778885775607e-10,kg,False
Palladium II,2.9868157190146873e-10,kg,False
Vanadium V,3.302233463423417e-06,kg,False
Copper ion,2.599610357030341e-07,kg,False
Antimony ion,4.847154246701116e-06,kg,False
Ammonium,9.410961537844689e-07,kg,False
Cobalt II,8.397804621088589e-08,kg,False
Arsenic ion,8.306744437581508e-09,kg,False
Fluoride,7.464188873341317e-07,kg,False
Barium II,8.102062859876886e-08,kg,False
Hydrogen fluoride,2.0020819581574446e-06,kg,False
Lead II,3.4070826972432625e-06,kg,False
Hydrochloric acid,9.23388059236234e-06,kg,False
Boron,1.183549190899938e-07,kg,False
Chromium III,1.5560729683791489e-06,kg,False
Sodium I,6.641282157872247e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.001790411000520445,kg,False
t-Butyl methyl ether,5.9177459544996794e-09,kg,False
Cyanide,1.2960004507277326e-07,kg,False
"Heat, waste",0.45426786363895794,MJ,False
Nickel II,1.6909514436274273e-06,kg,False
Hydrogen sulfide,8.675116336108145e-06,kg,False
Cobalt II,6.435351652347983e-10,kg,False
Mercury II,3.272758687424172e-08,kg,False
Benzene,1.0698271225320454e-05,kg,False
"Particulate Matter, < 2.5 um",0.0006873950815498293,kg,False
"Carbon monoxide, fossil",0.005507019417243957,kg,False
Cadmium II,2.2585922114758485e-08,kg,False
"Xylenes, unspecified",5.9272135202067265e-06,kg,False
Dinitrogen monoxide,4.818132931841525e-05,kg,False
Toluene,3.0141949130393107e-06,kg,False
"Particulate Matter, > 10 um",0.0026038968547408567,kg,False
Thallium I,1.0964676949177799e-08,kg,False
Aluminium III,6.488498374852724e-08,kg,False
Nitrate,3.9828868880307724e-07,kg,False
"Xylenes, unspecified",4.2938992567642906e-09,kg,False
Nitrite,1.82134346508608e-08,kg,False
"BOD5, Biological Oxygen Demand",2.90695382751015e-05,kg,False
Molybdenum VI,2.9588729772498426e-09,kg,False
"Heat, waste",0.08920005616950155,MJ,False
Water,0.0024666481521369733,m3,False
Benzo(a)pyrene,2.7980118714554435e-09,kg,False
"Water, cooling, unspecified natural origin",0.06373562740551612,m3,True
Manganese II,1.382086519863847e-06,kg,False
Zinc II,3.5080908942643676e-07,kg,False
Iron ion,1.3865929676157603e-05,kg,False
Manganese II,8.382817799626269e-08,kg,False
Toluene,2.6521500855591756e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.9821041973092936e-07,kg,False
Lead II,2.0373004126469314e-07,kg,False
Tin ion,2.9591896667803583e-09,kg,False
Phenol,5.927751036145641e-08,kg,False
"Carbon dioxide, fossil",1.923381213472853,kg,False
"Methane, fossil",4.2847150960430264e-05,kg,False
Phosphorus,1.8486625284795727e-07,kg,False
"Carbon dioxide, non-fossil",0.002878553203630227,kg,False
Sulfur dioxide,0.001145720756488332,kg,False
"DOC, Dissolved Organic Carbon",9.083129650925864e-06,kg,False
"COD, Chemical Oxygen Demand",4.6067984394878056e-05,kg,False
"Water, well, in ground",0.0019375027206819646,m3,True
"DOC, Dissolved Organic Carbon",0.004125581919726106,kg,False
Chloride,0.0031318665567281662,kg,False
"COD, Chemical Oxygen Demand",0.00038847892928610894,kg,False
Phenol,5.790473211687101e-07,kg,False
Chlorine,9.848647413025023e-07,kg,False
"Water, river",0.0022663590448099313,m3,True
Sodium I,0.009328585724018417,kg,False
"Carbon dioxide, fossil",0.11343883607123414,kg,False
Phenol,5.25446528350394e-09,kg,False
"TOC, Total Organic Carbon",0.000704463437345317,kg,False
"BOD5, Biological Oxygen Demand",0.0002225682293089272,kg,False
Hydrogen,1.869924150100841e-05,kg,False
Ammonia,1.876463626063952e-05,kg,False
Benzene,5.718167335338369e-06,kg,False
"NMVOC, non-methane volatile organic compounds",0.005036949966907106,kg,False
Nickel II,1.1710061386539068e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.51229035501206e-07,kg,False
"Carbon dioxide, fossil",1.0414555224985544,kg,False
Selenium IV,5.3598461288568044e-08,kg,False
Lead II,7.951946400860485e-09,kg,False
"Methane, fossil",0.010957914974296644,kg,False
Sulfur dioxide,0.0017554043134982871,kg,False
Cadmium II,2.0461731549268523e-09,kg,False
Benzo(a)pyrene,4.130654690336609e-08,kg,False
Dinitrogen monoxide,5.878897633906505e-05,kg,False
Copper ion,5.395900124442026e-07,kg,False
"Carbon monoxide, fossil",0.0009408046523768856,kg,False
Zinc II,1.6723196878266335e-07,kg,False
"Particulate Matter, < 2.5 um",0.0006391200354519215,kg,False
Cadmium II,1.2541142371523227e-07,kg,False
Chromium III,4.629862746501429e-07,kg,False
Nitrogen oxides,0.00898870297334502,kg,False
Zinc II,9.61962734290583e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.4623719081373984e-14,kg,False
Dinitrogen monoxide,5.192402304561424e-06,kg,False
"Carbon monoxide, fossil",0.00029808869577082833,kg,False
Sulfur dioxide,0.0004864049424358712,kg,False
"NMVOC, non-methane volatile organic compounds",0.00014702609381020903,kg,False
"Methane, fossil",1.7502764005475207e-05,kg,False
Nitrogen oxides,0.0002487917238114139,kg,False
Oxygen,0.12529309233041294,kg,True
"Heat, waste",0.1413202600922517,MJ,False
Mercury II,1.9153220012614763e-09,kg,False
Non-hazardous waste disposed,5.756181255742796,kg,False
"Occupation, dump site",0.005562397115521228,m2*a,True
"Transformation, from unspecified",0.0015596660713077142,m2,True
"Transformation, to dump site",3.5782790738644624e-05,m2,True
Sulfur hexafluoride,9.319075482388127e-08,kg,False
"Particulate Matter, > 10 um",0.0011799628655759671,kg,False
Nickel II,1.7604590376554476e-07,kg,False
"COD, Chemical Oxygen Demand",6.402233677735243e-07,kg,False
Sulfate,0.0012919344353255725,kg,False
Manganese II,2.4442231179228176e-06,kg,False
"DOC, Dissolved Organic Carbon",8.006564430497654e-07,kg,False
"TOC, Total Organic Carbon",8.006564430497654e-07,kg,False
Iron ion,0.00016687034644424217,kg,False
Chromium III,5.865142072485568e-08,kg,False
Dissolved solids,2.7558729314193316e-05,kg,False
Arsenic ion,1.8498847551883366e-07,kg,False
Cadmium II,1.5914653254795275e-08,kg,False
Lead II,4.3458219888354123e-07,kg,False
"Occupation, industrial area",0.006192925426048645,m2*a,True
Selenium IV,7.37342500217444e-08,kg,False
"BOD5, Biological Oxygen Demand",1.639113959216552e-07,kg,False
"Solids, inorganic",0.00035602842914136604,kg,False
Tin ion,7.045008355129503e-09,kg,False
Chloride,0.0023234889484189756,kg,False
Copper ion,5.151667754916344e-07,kg,False
Uranium alpha,0.0007385247056034218,kBq,False
"Transformation, to mineral extraction site",0.0003998685189570113,m2,True
Uranium,4.4800758143357954e-06,kg,True
Radon-222,2.4028848563959357,kBq,False
Radium-226,0.06768944300977828,kBq,False
Gangue,0.44865211442224606,kg,True
"Suspended solids, unspecified",6.986047557673506e-05,kg,False
"Transformation, from industrial area",5.556507550918064e-07,m2,True
Molybdenum VI,4.479570779819781e-07,kg,False
Sulfate,0.000826324758708625,kg,False
Cadmium II,1.2152952070971537e-08,kg,False
Aluminium III,7.0604053305321364e-06,kg,False
