Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.6883545042442865,mol H+-Eq,0.012387262680381256,mol H+-Eq/ref
Climate change,117.78234026938844,kg CO2-Eq,0.015593941934383073,kg CO2-Eq/ref
Climate change: biogenic,1.0006244440924963,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,116.5605302205477,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.2211856047482287,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,560.5762559638374,CTUe,0.009883815161288802,CTUe/ref
"Ecotoxicity: freshwater, inorganics",549.6252542330087,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",10.951001730829242,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,1269.6708466254775,"MJ, net calorific value",0.019532117637619403,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.04465095541238694,kg P-Eq,0.027787843470053853,kg P-Eq/ref
Eutrophication: marine,0.12256010673914128,kg N-Eq,0.006270604671827225,kg N-Eq/ref
Eutrophication: terrestrial,1.242592051510955,mol N-Eq,0.007030024909716613,mol N-Eq/ref
Human toxicity: carcinogenic,7.310731953724925e-08,CTUh,0.004237393107086302,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.0656340256133425e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.2450979281115837e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.1357220319899087e-06,CTUh,0.008822101292489348,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.0983492617891988e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.737277020070994e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,6.665720682272879,kBq U235-Eq,0.0015794935092010452,kBq U235-Eq/ref
Land use,346.0961769219088,dimensionless,0.00042232696074707645,dimensionless/ref
Material resources: metals/minerals,0.0011906678180825974,kg Sb-Eq,0.018714537559994943,kg Sb-Eq/ref
Ozone depletion,9.164001868319824e-07,kg CFC-11-Eq,1.7505797396492314e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.492683454526391e-05,disease incidence,0.02507165251897386,disease incidence/ref
Photochemical oxidant formation: human health,0.37133124224743963,kg NMVOC-Eq,0.009088069831943801,kg NMVOC-Eq/ref
Water use,31.562280427963387,m3 world Eq deprived,0.002752034376205357,m3 world Eq deprived/ref
