Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.4643389654207372,mol H+-Eq,0.008355997820800027,mol H+-Eq/ref
Climate change,131.17456488049118,kg CO2-Eq,0.017367022452906517,kg CO2-Eq/ref
Climate change: biogenic,1.4444801298624173,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,129.65884435203827,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.07124039859050385,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,511.3726745241301,CTUe,0.009016280906939542,CTUe/ref
"Ecotoxicity: freshwater, inorganics",503.2914106638372,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",8.081263860293,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,22727.934029649903,"MJ, net calorific value",0.349637610650851,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.11338459289408397,kg P-Eq,0.0705631781035199,kg P-Eq/ref
Eutrophication: marine,0.19323447152580536,kg N-Eq,0.009886552909804277,kg N-Eq/ref
Eutrophication: terrestrial,1.22178775000254,mol N-Eq,0.006912323563039262,mol N-Eq/ref
Human toxicity: carcinogenic,4.451064986352429e-08,CTUh,0.0025798938070425432,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.389200163995554e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.0618648223568746e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.923211374222075e-06,CTUh,0.014939188527079254,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.8455746836757564e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",7.763669054631977e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1446.9008768545664,kBq U235-Eq,0.34285423173024737,kBq U235-Eq/ref
Land use,5909.105797235432,dimensionless,0.0072106392918707615,dimensionless/ref
Material resources: metals/minerals,0.001364594624469547,kg Sb-Eq,0.02144826371046753,kg Sb-Eq/ref
Ozone depletion,1.5570545634583438e-06,kg CFC-11-Eq,2.9744081368441582e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.0599897539547346e-05,disease incidence,0.017803972238211636,disease incidence/ref
Photochemical oxidant formation: human health,0.3644400502304457,kg NMVOC-Eq,0.008919412775519655,kg NMVOC-Eq/ref
Water use,3173.806354227731,m3 world Eq deprived,0.27673615695129655,m3 world Eq deprived/ref
