Impact category,Amount (Normalized),Normalized Unit
Acidification,0.06450007436176032,mol H+-Eq/ref
Climate change,0.04651794682773608,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.09274917443028519,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.06700701516582869,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.19901765464195437,kg P-Eq/ref
Eutrophication: marine,0.023297347244011512,kg N-Eq/ref
Eutrophication: terrestrial,0.027934535154924844,mol N-Eq/ref
Human toxicity: carcinogenic,0.018441757673529312,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.13855542682882452,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.007229560748488876,kBq U235-Eq/ref
Land use,0.0018985715099512955,dimensionless/ref
Material resources: metals/minerals,0.8776431991533811,kg Sb-Eq/ref
Ozone depletion,0.0006064237472881097,kg CFC-11-Eq/ref
Particulate matter formation,0.05107412797446768,disease incidence/ref
Photochemical oxidant formation: human health,0.0449733340559462,kg NMVOC-Eq/ref
Water use,0.010704327164344662,m3 world Eq deprived/ref
