Flow,Amount,Unit,Is input
Water,2.6885280455084044,m3,False
"Transformation, to industrial area",0.023894340873581377,m2,True
"Transformation, to lake, artificial",0.017283108426717358,m2,True
"Water, turbine use, unspecified natural origin",2252.482763742183,m3,True
"Transformation, from forest, unspecified",0.016678378184599586,m2,True
"Energy, potential (in hydropower reservoir), converted",314.5345309426479,MJ,True
"Carbon dioxide, from soil or biomass stock",0.7144797557072733,kg,False
Water,2271.915973205844,m3,False
"Methane, non-fossil",0.0519570569683905,kg,False
"Volume occupied, reservoir",18.031441750924508,m3*a,True
"Occupation, lake, artificial",2.2136055697815675,m2*a,True
Water,36.65426363534063,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.013618352756240156,kg,False
"Hydrocarbons, unspecified",0.00017795922163904611,kg,False
Cadmium II,4.492436717196938e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.0672799245202653e-09,kg,False
Selenium IV,7.78882946422552e-07,kg,False
Chromium VI,3.328311284386602e-07,kg,False
Vanadium V,8.931741801210974e-08,kg,False
Copper ion,0.00014295403472691447,kg,False
"TOC, Total Organic Carbon",0.010112494163513995,kg,False
Ammonia,0.03673294191799783,kg,False
Arsenic ion,4.865869658746769e-06,kg,False
Chromium III,1.0090826028360202e-05,kg,False
Zinc II,0.0001447324162295421,kg,False
Nitrogen,3.551514563395817e-05,kg,False
"Water, unspecified natural origin",1.0196778097867047,m3,True
"AOX, Adsorbable Organic Halides",8.056358796037068e-06,kg,False
Benzene,0.00016616088919258384,kg,False
Rhodium III,3.652827690386023e-09,kg,False
Mercury II,1.399848769323878e-07,kg,False
Chloride,0.2537645789774906,kg,False
Tin ion,9.31621066229603e-06,kg,False
Formaldehyde,0.00013620945277341548,kg,False
Nickel II,1.2096730900613608e-05,kg,False
Sulfate,0.03109711522616328,kg,False
Sulfide,0.0001527033904281635,kg,False
Selenium IV,2.0150949623444285e-07,kg,False
"Suspended solids, unspecified",0.002757255841567265,kg,False
Nitrogen oxides,0.32427533775802136,kg,False
Tellurium,5.8183998938454376e-09,kg,False
Platinum,3.652827690386023e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.557995742980183e-07,kg,False
Beryllium II,3.814297126244236e-08,kg,False
Palladium II,3.702061863414996e-09,kg,False
Vanadium V,3.6276162765252424e-05,kg,False
Copper ion,3.505510893836922e-05,kg,False
Antimony ion,1.1922762765977078e-05,kg,False
Ammonium,0.0009957548268987413,kg,False
Cobalt II,2.4693882951504737e-06,kg,False
Arsenic ion,2.2716043180451238e-07,kg,False
Fluoride,0.0018097866213819813,kg,False
Barium II,2.8041126176820858e-05,kg,False
Hydrogen fluoride,0.0026974116185089192,kg,False
Lead II,8.111362145150081e-05,kg,False
Hydrochloric acid,0.0018856048918101844,kg,False
Boron,1.7729836410608067e-06,kg,False
Chromium III,0.00028776742102269216,kg,False
Sodium I,0.14998092914476951,kg,False
"NMVOC, non-methane volatile organic compounds",0.05328257597918433,kg,False
t-Butyl methyl ether,8.864918205304025e-08,kg,False
Cyanide,8.40494801339544e-05,kg,False
"Heat, waste",6.739650853315208,MJ,False
Nickel II,3.317624063717546e-05,kg,False
Hydrogen sulfide,0.003527051969615539,kg,False
Cobalt II,1.860081220954712e-07,kg,False
Mercury II,2.124298464781652e-06,kg,False
Benzene,0.0006462598263140865,kg,False
"Particulate Matter, < 2.5 um",0.042831036437333804,kg,False
"Carbon monoxide, fossil",0.1621250198040885,kg,False
Cadmium II,6.859632857499815e-07,kg,False
"Xylenes, unspecified",9.11473915141313e-05,kg,False
Dinitrogen monoxide,0.0040601230810285785,kg,False
Toluene,4.577619675211021e-05,kg,False
"Particulate Matter, > 10 um",0.054403186985512275,kg,False
Thallium I,1.5599562264372817e-07,kg,False
Aluminium III,3.0265881274880072e-06,kg,False
Nitrate,0.00018743168780487645,kg,False
"Xylenes, unspecified",1.8198375521928222e-06,kg,False
Nitrite,4.0760707704309706e-07,kg,False
"BOD5, Biological Oxygen Demand",0.033388615588397674,kg,False
Molybdenum VI,4.432459102652017e-08,kg,False
"Heat, waste",1.169461850719505,MJ,False
Water,1.304886438398628,m3,False
Benzo(a)pyrene,4.267475961750616e-07,kg,False
"Water, cooling, unspecified natural origin",20.588699662083833,m3,True
Manganese II,1.294126164932308e-05,kg,False
Zinc II,1.5767644538926137e-05,kg,False
Iron ion,0.0006361905683807826,kg,False
Manganese II,4.243342326853646e-06,kg,False
Toluene,9.450661467967654e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00018120721285595082,kg,False
Lead II,9.672122655182128e-06,kg,False
Tin ion,4.4827342845777894e-08,kg,False
Phenol,0.00013218859729046447,kg,False
"Carbon dioxide, fossil",33.71588907634899,kg,False
"Methane, fossil",0.008481446808722357,kg,False
Phosphorus,5.1851131704930255e-06,kg,False
"Carbon dioxide, non-fossil",0.2883331732193675,kg,False
Sulfur dioxide,0.13124675744236328,kg,False
"DOC, Dissolved Organic Carbon",0.010130475773176358,kg,False
"COD, Chemical Oxygen Demand",0.0338210787723396,kg,False
"Water, well, in ground",0.8087296683779861,m3,True
"DOC, Dissolved Organic Carbon",0.4117889826694387,kg,False
Chloride,0.46224978606001627,kg,False
"COD, Chemical Oxygen Demand",0.28438105783094003,kg,False
Phenol,0.0005729798693339213,kg,False
Chlorine,0.0005770053811610612,kg,False
"Water, river",1.6826318682842456,m3,True
Sodium I,1.2323471650196902,kg,False
"Carbon dioxide, fossil",47.985717964299994,kg,False
Phenol,4.436309236750279e-05,kg,False
"TOC, Total Organic Carbon",0.1288216758907036,kg,False
"BOD5, Biological Oxygen Demand",0.08065536726981543,kg,False
Hydrogen,0.022918587078052333,kg,False
Ammonia,0.0011895088438269323,kg,False
Benzene,0.0008165909979321394,kg,False
"NMVOC, non-methane volatile organic compounds",0.15154839956317998,kg,False
Nickel II,0.00263014565467113,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00017905250359231715,kg,False
"Carbon dioxide, fossil",233.36266140928498,kg,False
Selenium IV,5.0502518587924426e-05,kg,False
Lead II,1.1724598192719927e-05,kg,False
"Methane, fossil",0.7560048314753982,kg,False
Sulfur dioxide,1.7321021653651951,kg,False
Cadmium II,9.660580984656562e-06,kg,False
Benzo(a)pyrene,2.4664942363131556e-06,kg,False
Dinitrogen monoxide,0.0040738557947377525,kg,False
Copper ion,0.0003979438714528716,kg,False
"Carbon monoxide, fossil",0.1129458485033114,kg,False
Zinc II,4.700202703592964e-05,kg,False
"Particulate Matter, < 2.5 um",0.3058007582990727,kg,False
Cadmium II,0.00045925763863777555,kg,False
Chromium III,0.00042527237461734916,kg,False
Nitrogen oxides,0.6095016274863189,kg,False
Zinc II,0.0013043811295068571,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.4919700564829265e-11,kg,False
Dinitrogen monoxide,0.0039412694276934005,kg,False
"Carbon monoxide, fossil",0.07382401277329606,kg,False
Sulfur dioxide,0.18850415504999266,kg,False
"NMVOC, non-methane volatile organic compounds",0.11492652609284464,kg,False
"Methane, fossil",0.014707014176070845,kg,False
Nitrogen oxides,0.09723034360373489,kg,False
Oxygen,20.421153155765307,kg,True
"Heat, waste",52.65724257004896,MJ,False
Mercury II,8.602401535062971e-07,kg,False
Non-hazardous waste disposed,1510.731483692829,kg,False
"Occupation, dump site",5.425196335672039,m2*a,True
"Transformation, from unspecified",0.14780675468942578,m2,True
"Transformation, to dump site",0.0441293210154539,m2,True
Sulfur hexafluoride,5.411956828067788e-05,kg,False
"Particulate Matter, > 10 um",0.5423908609055055,kg,False
Nickel II,9.903490647060434e-05,kg,False
"COD, Chemical Oxygen Demand",0.0018700487175054802,kg,False
Sulfate,0.7620145595800042,kg,False
Manganese II,0.001959428076313132,kg,False
"DOC, Dissolved Organic Carbon",0.002792898045940816,kg,False
"TOC, Total Organic Carbon",0.002792898045940816,kg,False
Iron ion,0.05486305262129124,kg,False
Chromium III,2.439167278331334e-07,kg,False
Dissolved solids,0.012735216791582883,kg,False
Arsenic ion,7.520751357530754e-05,kg,False
Cadmium II,1.65647965054517e-05,kg,False
Lead II,2.17877566510379e-05,kg,False
"Occupation, industrial area",0.9962133775072409,m2*a,True
Selenium IV,1.1727868156224435e-05,kg,False
"BOD5, Biological Oxygen Demand",0.0004272770052429324,kg,False
"Solids, inorganic",0.10889552213171254,kg,False
Tin ion,3.30444437737256e-05,kg,False
Chloride,1.1613030482930071,kg,False
Copper ion,0.0003620910865809761,kg,False
Uranium alpha,0.14392129377672383,kBq,False
"Transformation, to mineral extraction site",0.059717126631313636,m2,True
Uranium,0.000875338887401448,kg,True
Radon-222,467.6064042448095,kBq,False
Radium-226,6.427514639230891,kBq,False
Gangue,1092.6485483746953,kg,True
"Suspended solids, unspecified",0.0073004952600752866,kg,False
"Transformation, from industrial area",0.00014650435713487348,m2,True
Molybdenum VI,0.0002183220729301546,kg,False
Sulfate,0.39974452939414323,kg,False
Cadmium II,4.0389664571361404e-05,kg,False
