Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,6.549253895520716,mol H+-Eq,0.11785690057100938,mol H+-Eq/ref
Climate change,405.91619539712235,kg CO2-Eq,0.05374178817275156,kg CO2-Eq/ref
Climate change: biogenic,5.683927351849048,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,399.86274461673213,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.36952342854113573,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,7376.349157594955,CTUe,0.13005629629004492,CTUe/ref
"Ecotoxicity: freshwater, inorganics",7325.136979212287,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",51.21217838266703,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,26050.97760376963,"MJ, net calorific value",0.4007580078602133,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.633439380811135,kg P-Eq,0.3942113712725749,kg P-Eq/ref
Eutrophication: marine,0.6457184202967162,kg N-Eq,0.033037217825009985,kg N-Eq/ref
Eutrophication: terrestrial,6.77128827475803,mol N-Eq,0.038308892435403856,mol N-Eq/ref
Human toxicity: carcinogenic,7.864596217727743e-07,CTUh,0.04558419870124874,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.8712240066666e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.9933722110611416e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,5.951449435000986e-05,CTUh,0.4622987691866289,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",5.591116995308979e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.6033243969200674e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1468.0894260989528,kBq U235-Eq,0.3478750205685645,kBq U235-Eq/ref
Land use,8412.655179699264,dimensionless,0.010265617856441088,dimensionless/ref
Material resources: metals/minerals,0.07073179937488906,kg Sb-Eq,1.1117398958670446,kg Sb-Eq/ref
Ozone depletion,4.552046029384273e-06,kg CFC-11-Eq,8.695676482278877e-05,kg CFC-11-Eq/ref
Particulate matter formation,5.2493471097983086e-05,disease incidence,0.08816993736297626,disease incidence/ref
Photochemical oxidant formation: human health,2.0620737890758836,kg NMVOC-Eq,0.05046779926278018,kg NMVOC-Eq/ref
Water use,3305.5535971768695,m3 world Eq deprived,0.2882236964018705,m3 world Eq deprived/ref
