Impact category,Amount (Normalized),Normalized Unit
Acidification,0.11785690057100938,mol H+-Eq/ref
Climate change,0.05374178817275156,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.13005629629004492,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.4007580078602133,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.3942113712725749,kg P-Eq/ref
Eutrophication: marine,0.033037217825009985,kg N-Eq/ref
Eutrophication: terrestrial,0.038308892435403856,mol N-Eq/ref
Human toxicity: carcinogenic,0.04558419870124874,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.4622987691866289,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.3478750205685645,kBq U235-Eq/ref
Land use,0.010265617856441088,dimensionless/ref
Material resources: metals/minerals,1.1117398958670446,kg Sb-Eq/ref
Ozone depletion,8.695676482278877e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.08816993736297626,disease incidence/ref
Photochemical oxidant formation: human health,0.05046779926278018,kg NMVOC-Eq/ref
Water use,0.2882236964018705,m3 world Eq deprived/ref
