Flow,Amount,Unit,Is input
Water,76.72044755190679,m3,False
"Transformation, to industrial area",0.05531088757434902,m2,True
"Transformation, to lake, artificial",0.06365475826428303,m2,True
"Water, turbine use, unspecified natural origin",127092.99549980751,m3,True
"Transformation, from forest, unspecified",0.017087573934580717,m2,True
"Energy, potential (in hydropower reservoir), converted",19561.245207889348,MJ,True
"Carbon dioxide, from soil or biomass stock",0.37146214628998825,kg,False
Water,127158.47914217734,m3,False
"Methane, non-fossil",0.20774256990492404,kg,False
"Volume occupied, reservoir",362.89005636359457,m3*a,True
"Occupation, lake, artificial",9.270399045229935,m2*a,True
Water,49.39792110341984,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.015848112973879707,kg,False
"Hydrocarbons, unspecified",0.000254462766712912,kg,False
Cadmium II,2.2052709294215926e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.372824315784456e-10,kg,False
Selenium IV,4.231719163337205e-06,kg,False
Chromium VI,6.882236137754243e-06,kg,False
Vanadium V,1.2853519645600125e-07,kg,False
Copper ion,0.00028492191582124213,kg,False
"TOC, Total Organic Carbon",0.003009904213075828,kg,False
Ammonia,0.08837669632512096,kg,False
Arsenic ion,6.946358349450536e-06,kg,False
Chromium III,4.419583745999503e-05,kg,False
Zinc II,0.00017095615881387142,kg,False
Nitrogen,4.0002424550243384e-05,kg,False
"Water, unspecified natural origin",1.0782943579036242,m3,True
"AOX, Adsorbable Organic Halides",4.636308462346179e-06,kg,False
Benzene,4.256808152906216e-05,kg,False
Rhodium III,5.786906599614661e-09,kg,False
Mercury II,2.3502394558774516e-06,kg,False
Chloride,0.130310328346306,kg,False
Tin ion,2.500156097370877e-05,kg,False
Formaldehyde,0.0002607763679838558,kg,False
Nickel II,8.683368392625314e-05,kg,False
Sulfate,0.01745412159064379,kg,False
Sulfide,4.988018515192085e-05,kg,False
Selenium IV,2.6164892104342883e-07,kg,False
"Suspended solids, unspecified",0.010682017564141333,kg,False
Nitrogen oxides,0.7486127929880161,kg,False
Tellurium,9.980344017077453e-09,kg,False
Platinum,5.786906599614661e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.0482005078803008e-08,kg,False
Beryllium II,6.666674583972033e-08,kg,False
Palladium II,5.79416968517141e-09,kg,False
Vanadium V,6.268110992056745e-05,kg,False
Copper ion,6.632108027011846e-05,kg,False
Antimony ion,3.1780800658016555e-05,kg,False
Ammonium,0.00025082028462336314,kg,False
Cobalt II,4.816787408437248e-06,kg,False
Arsenic ion,4.706685822824909e-06,kg,False
Fluoride,0.0002203637536458707,kg,False
Barium II,9.30835922381412e-06,kg,False
Hydrogen fluoride,0.0009008441564974347,kg,False
Lead II,0.0001482777234407624,kg,False
Hydrochloric acid,0.005078318719855724,kg,False
Boron,2.5625716975342745e-06,kg,False
Chromium III,0.0010797797893468963,kg,False
