Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,58.51006725603815,mol H+-Eq,1.052916147244539,mol H+-Eq/ref
Climate change,1698.2611214798746,kg CO2-Eq,0.22484342947514221,kg CO2-Eq/ref
Climate change: biogenic,11.178093540573688,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,1684.7310467945588,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,2.3519811447421346,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,68187.82928455298,CTUe,1.2022555249673543,CTUe/ref
"Ecotoxicity: freshwater, inorganics",67713.12548861555,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",474.7037959373774,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,74108.06358734587,"MJ, net calorific value",1.140049344073183,"MJ, net calorific value/ref"
Eutrophication: freshwater,4.926259483039662,kg P-Eq,3.0657827171509724,kg P-Eq/ref
Eutrophication: marine,3.8662741982130875,kg N-Eq,0.19781214046656362,kg N-Eq/ref
Eutrophication: terrestrial,47.59055139436979,mol N-Eq,0.26924585696709546,mol N-Eq/ref
Human toxicity: carcinogenic,6.0714625324871315e-06,CTUh,0.3519096808355194,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.571621427763384e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",4.998411047237465e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0005767603394742883,CTUh,4.4801791221902825,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0005414781670328351,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.528217244145323e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,3718.7357024595194,kBq U235-Eq,0.8811828734573046,kBq U235-Eq/ref
Land use,34591.553213061765,dimensionless,0.04221065273220115,dimensionless/ref
Material resources: metals/minerals,0.736392795067566,kg Sb-Eq,11.574387426036578,kg Sb-Eq/ref
Ozone depletion,5.1369436780628005e-05,kg CFC-11-Eq,0.0009812993990784397,kg CFC-11-Eq/ref
Particulate matter formation,0.00021249805469895322,disease incidence,0.35691943742087356,disease incidence/ref
Photochemical oxidant formation: human health,14.334168429705505,kg NMVOC-Eq,0.3508186461326661,kg NMVOC-Eq/ref
Water use,8722.31036679615,m3 world Eq deprived,0.7605311670727167,m3 world Eq deprived/ref
