Impact category,Amount (Normalized),Normalized Unit
Acidification,1.052916147244539,mol H+-Eq/ref
Climate change,0.22484342947514221,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1.2022555249673543,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,1.140049344073183,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.0657827171509724,kg P-Eq/ref
Eutrophication: marine,0.19781214046656362,kg N-Eq/ref
Eutrophication: terrestrial,0.26924585696709546,mol N-Eq/ref
Human toxicity: carcinogenic,0.3519096808355194,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.4801791221902825,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.8811828734573046,kBq U235-Eq/ref
Land use,0.04221065273220115,dimensionless/ref
Material resources: metals/minerals,11.574387426036578,kg Sb-Eq/ref
Ozone depletion,0.0009812993990784397,kg CFC-11-Eq/ref
Particulate matter formation,0.35691943742087356,disease incidence/ref
Photochemical oxidant formation: human health,0.3508186461326661,kg NMVOC-Eq/ref
Water use,0.7605311670727167,m3 world Eq deprived/ref
