Flow,Amount,Unit,Is input
Water,200.50754562560724,m3,False
"Transformation, to industrial area",0.2131961942603885,m2,True
"Transformation, to lake, artificial",0.19550505607371998,m2,True
"Water, turbine use, unspecified natural origin",324526.12491816765,m3,True
"Transformation, from forest, unspecified",0.0865515729627862,m2,True
"Energy, potential (in hydropower reservoir), converted",50166.472037982254,MJ,True
"Carbon dioxide, from soil or biomass stock",2.3689781957450644,kg,False
Water,324726.22198731423,m3,False
"Methane, non-fossil",0.4091710512062928,kg,False
"Volume occupied, reservoir",958.3480737596824,m3*a,True
"Occupation, lake, artificial",27.860852962951608,m2*a,True
Water,222.1694470042354,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.08353880184229522,kg,False
"Hydrocarbons, unspecified",0.000872907318298542,kg,False
Cadmium II,1.393185645748022e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.7487305115179831e-09,kg,False
Selenium IV,1.1797929167932846e-05,kg,False
Chromium VI,9.546121537003107e-06,kg,False
Vanadium V,6.700033228380777e-07,kg,False
Copper ion,0.001892438378190523,kg,False
"TOC, Total Organic Carbon",0.01947335977393313,kg,False
Ammonia,0.800285573299816,kg,False
Arsenic ion,6.046558709962254e-05,kg,False
Chromium III,0.00014261734461338963,kg,False
Zinc II,0.0010072524408989434,kg,False
Nitrogen,0.0002512848923973039,kg,False
"Water, unspecified natural origin",3.87054398589846,m3,True
"AOX, Adsorbable Organic Halides",3.757967051207857e-05,kg,False
Benzene,0.0004784762065556789,kg,False
Rhodium III,2.7733357101899062e-08,kg,False
Mercury II,3.580581725247708e-06,kg,False
Chloride,0.49833954778748857,kg,False
Tin ion,0.00013368983965831137,kg,False
Formaldehyde,0.0013927875180822038,kg,False
Nickel II,0.00020171303353831913,kg,False
Sulfate,0.14254970975485848,kg,False
Sulfide,0.00037498842471833085,kg,False
Selenium IV,1.3867262605552654e-06,kg,False
"Suspended solids, unspecified",0.024522029331334984,kg,False
Nitrogen oxides,5.61505978481574,kg,False
Tellurium,4.388414292098127e-08,kg,False
Platinum,2.7733357101899062e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.4638550020215363e-07,kg,False
Beryllium II,3.0134327743267793e-07,kg,False
Palladium II,2.780870144320893e-08,kg,False
Vanadium V,0.0002923282598890015,kg,False
Copper ion,0.0002913315842532839,kg,False
Antimony ion,0.00017280400787168264,kg,False
Ammonium,0.003123379299722175,kg,False
Cobalt II,3.864783166427309e-05,kg,False
Arsenic ion,6.28142118631351e-06,kg,False
Fluoride,0.0030348697488200996,kg,False
Barium II,6.963309514541088e-05,kg,False
Hydrogen fluoride,0.00499706083244569,kg,False
Lead II,0.0008071967399234477,kg,False
Hydrochloric acid,0.010969291360530752,kg,False
Boron,1.3339350407652607e-05,kg,False
Chromium III,0.009867652602492288,kg,False
Sodium I,0.252017410508199,kg,False
"NMVOC, non-methane volatile organic compounds",1.0626682350707437,kg,False
t-Butyl methyl ether,6.669675203826289e-07,kg,False
Cyanide,0.00031769568083454646,kg,False
"Heat, waste",65.31899897007229,MJ,False
Nickel II,0.0005779785138286457,kg,False
Hydrogen sulfide,0.008360879802904352,kg,False
Cobalt II,6.569710966459732e-07,kg,False
Mercury II,1.6298042355255803e-05,kg,False
Benzene,0.0030406138395612002,kg,False
"Particulate Matter, < 2.5 um",0.27300843758143717,kg,False
"Carbon monoxide, fossil",3.125643569898197,kg,False
Cadmium II,2.0065440737643645e-05,kg,False
"Xylenes, unspecified",0.0006531869398937647,kg,False
Dinitrogen monoxide,0.10350754849180749,kg,False
Toluene,0.0006416675707418238,kg,False
"Particulate Matter, > 10 um",0.32857608186593135,kg,False
Thallium I,1.6560109386196654e-06,kg,False
Aluminium III,6.994801520634355e-05,kg,False
Nitrate,0.0006139485160019669,kg,False
"Xylenes, unspecified",4.144331202968126e-06,kg,False
Nitrite,2.5002220290734085e-06,kg,False
"BOD5, Biological Oxygen Demand",0.06961236378524027,kg,False
Molybdenum VI,3.3348376019131486e-07,kg,False
"Heat, waste",8.289081681909892,MJ,False
Water,8.923633910228784,m3,False
Benzo(a)pyrene,1.7295271472855268e-06,kg,False
"Water, cooling, unspecified natural origin",380.4495060511075,m3,True
Manganese II,0.00017934770789538205,kg,False
Zinc II,0.00026287155264329183,kg,False
Iron ion,0.006674606069804095,kg,False
Manganese II,6.324145590482568e-05,kg,False
Toluene,0.00011424711922892959,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00032520054804776135,kg,False
Lead II,0.00013243902734829538,kg,False
Tin ion,3.346961642426253e-07,kg,False
Phenol,0.00022687910024025976,kg,False
"Carbon dioxide, fossil",304.0471715072414,kg,False
"Methane, fossil",0.022625930820042786,kg,False
Phosphorus,4.901745489773539e-05,kg,False
"Carbon dioxide, non-fossil",3.571564644865731,kg,False
Sulfur dioxide,0.48663066036870634,kg,False
"DOC, Dissolved Organic Carbon",0.019272501928710203,kg,False
"COD, Chemical Oxygen Demand",0.07411060057413203,kg,False
"Water, well, in ground",2.9274615413035057,m3,True
"DOC, Dissolved Organic Carbon",1.9535661543890677,kg,False
Chloride,7.765482037413578,kg,False
"COD, Chemical Oxygen Demand",0.9104942987156873,kg,False
Phenol,0.001076056744741588,kg,False
Chlorine,0.0017304119977306657,kg,False
"Water, river",31.22159829992208,m3,True
Sodium I,5.036736345201051,kg,False
"Carbon dioxide, fossil",277.09380540491065,kg,False
Phenol,5.8112121652164784e-05,kg,False
"TOC, Total Organic Carbon",0.5011952932022717,kg,False
"BOD5, Biological Oxygen Demand",0.3643998351849789,kg,False
Hydrogen,0.607346369019262,kg,False
Ammonia,0.010781679046363327,kg,False
Benzene,0.004527973037838341,kg,False
"NMVOC, non-methane volatile organic compounds",0.9468366990731477,kg,False
Nickel II,0.1041374386352985,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.0006371359348314421,kg,False
"Carbon dioxide, fossil",925.8748636960078,kg,False
Selenium IV,0.0003839114321108421,kg,False
Lead II,2.5561005593467656e-05,kg,False
"Methane, fossil",3.760742093393862,kg,False
Sulfur dioxide,36.56836758769637,kg,False
Cadmium II,1.2470003248584464e-05,kg,False
Benzo(a)pyrene,4.410079329868012e-05,kg,False
Dinitrogen monoxide,0.020265425490295776,kg,False
Copper ion,0.014498601940440402,kg,False
"Carbon monoxide, fossil",0.5789998806357849,kg,False
Zinc II,0.0003819210819878137,kg,False
"Particulate Matter, < 2.5 um",1.7246093922522048,kg,False
Cadmium II,0.018595697687000215,kg,False
Chromium III,0.012735819599863665,kg,False
Nitrogen oxides,2.3714965672522825,kg,False
Zinc II,0.04926653222542106,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.8042104152220714e-10,kg,False
Dinitrogen monoxide,0.062258204441259166,kg,False
"Carbon monoxide, fossil",0.28671213082402613,kg,False
Sulfur dioxide,0.8388717228864349,kg,False
"NMVOC, non-methane volatile organic compounds",0.17572802694793213,kg,False
"Methane, fossil",0.060352814886528064,kg,False
Nitrogen oxides,0.4960206372260094,kg,False
Oxygen,240.7895448904175,kg,True
"Heat, waste",775.1737102108962,MJ,False
Mercury II,4.611425218318556e-06,kg,False
Non-hazardous waste disposed,21540.246807971478,kg,False
"Occupation, dump site",122.22624797374465,m2*a,True
"Transformation, from unspecified",1.4711968091790222,m2,True
"Transformation, to dump site",0.9537304794556073,m2,True
Sulfur hexafluoride,0.00015768587948288785,kg,False
"Particulate Matter, > 10 um",4.099184395901224,kg,False
Nickel II,0.001237252452988997,kg,False
"COD, Chemical Oxygen Demand",0.011860480368322004,kg,False
Sulfate,7.843768631216885,kg,False
Manganese II,0.023205660079309708,kg,False
"DOC, Dissolved Organic Carbon",0.02760810199047931,kg,False
"TOC, Total Organic Carbon",0.02760810199047931,kg,False
Iron ion,0.3979351656000719,kg,False
Chromium III,2.710589195502415e-06,kg,False
Dissolved solids,0.048367609441487644,kg,False
Arsenic ion,0.0007773002887961342,kg,False
Cadmium II,0.00023204368123215044,kg,False
Lead II,0.00028719008168656354,kg,False
"Occupation, industrial area",10.297184671807255,m2*a,True
Selenium IV,0.00015479423008119583,kg,False
"BOD5, Biological Oxygen Demand",0.0024771274970818154,kg,False
"Solids, inorganic",0.6823931535308435,kg,False
Tin ion,0.0005212433200256446,kg,False
Chloride,4.32310647767497,kg,False
Copper ion,0.007401690819675407,kg,False
Uranium alpha,16.262100571882332,kBq,False
"Transformation, to mineral extraction site",0.18054117328186375,m2,True
Uranium,0.09863833219867746,kg,True
Radon-222,52473.59705913152,kBq,False
Radium-226,164.22783608080525,kBq,False
Gangue,27457.64879156996,kg,True
"Suspended solids, unspecified",0.08884243894646297,kg,False
"Transformation, from industrial area",0.006478516315861193,m2,True
Molybdenum VI,0.0016166535583610503,kg,False
Sulfate,7.039272600040883,kg,False
Cadmium II,6.603820825975008e-05,kg,False
Aluminium III,0.035543062705246445,kg,False
Nitrate,0.1521822493707039,kg,False
Magnesium,0.1776060934665477,kg,False
Lead II,0.001095113914071091,kg,False
Arsenic ion,0.0010693139147409036,kg,False
Selenium IV,0.000916904734469525,kg,False
Uranium alpha,0.9809170255071101,kBq,False
Ammonium,0.022584569625146326,kg,False
"Occupation, mineral extraction site",4.754445653849093,m2*a,True
Zinc II,0.005936489469429725,kg,False
Barium II,0.007907389178063452,kg,False
Iron ion,0.03459498431417713,kg,False
Thorium-230,35.28746470372832,kBq,False
Vanadium V,0.0009016723131069054,kg,False
Manganese II,0.0030594810763765715,kg,False
"Transformation, to unspecified",0.09794973573970657,m2,True
"Energy, solar, converted",37.710306362044726,MJ,True
"Transformation, from pasture, man made",0.295511549271653,m2,True
"Occupation, river, artificial",32.64450004153652,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.24422979796847066,m2,True
"Transformation, to river, artificial",0.40151334544152606,m2,True
Nitrobenzene,1.379443824514992e-05,kg,False
Aniline,3.4436169202505586e-06,kg,False
Chlorine,0.0014927442054011944,kg,False
Vinyl chloride,3.325578789710804e-05,kg,False
"1,1,2-Trichloroethane",3.18718944629606e-07,kg,False
Zirconium-95,0.22379781932391002,kBq,False
Niobium-95,0.5389688062719244,kBq,False
"Hydrocarbons, unspecified",0.0008799035649024107,kg,False
Technetium-99m,0.06875897304483598,kBq,False
Antimony-124,0.5837828280392982,kBq,False
"Noble gases, radioactive, unspecified",343858.3319039088,kBq,False
Cobalt-58,2.8628415285335427,kBq,False
Antimony-125,0.10239557851000901,kBq,False
Molybdenum-99,0.0029499655727251812,kBq,False
Chromium-51,0.5904190229015182,kBq,False
Zinc-65,0.3370128148399159,kBq,False
Iodine-131,0.12142543639174025,kBq,False
Antimony-125,5.604283714857128e-05,kBq,False
Tritium,7173.281072763606,kBq,False
Antimony-122,0.0021650737086456734,kBq,False
Cobalt-60,0.0006174939938515824,kBq,False
Ruthenium-103,0.0007268557300597123,kBq,False
Silver-110,7.496328216881554e-06,kBq,False
Strontium-89,0.0510344958810398,kBq,False
Water,1.5131819145890222,m3,False
Barium-140,0.0030856224008935476,kBq,False
Xenon-133,2121.9815569816965,kBq,False
Caesium-136,0.0006729930443909665,kBq,False
Iodine-133,0.00435888733377776,kBq,False
Tellurium-132,0.00020165841401323595,kBq,False
Zirconium-95,0.00014106765821029926,kBq,False
Krypton-85m,48.022425790885755,kBq,False
Tellurium-123m,0.0038126559970488513,kBq,False
Cobalt-60,2.3532799163409277,kBq,False
Niobium-95,0.011648518695451119,kBq,False
Iodine-133,0.005192394452117386,kBq,False
"Radioactive species, alpha emitters",0.00288695844856232,kBq,False
Carbon-14,0.05389658533238504,kBq,False
Lanthanum-140,0.008731826665739881,kBq,False
Cerium-144,0.0011543866455389564,kBq,False
Cobalt-57,0.02136333792159222,kBq,False
Carbon-14,149.52902771794675,kBq,False
Antimony-124,4.720043461080619e-06,kBq,False
"Aerosols, radioactive, unspecified",0.000634018138721112,kBq,False
Manganese-54,0.1524243936758437,kBq,False
Caesium-137,0.000637725244146555,kBq,False
Iron-59,0.4410770080255937,kBq,False
Xenon-135,820.615810416333,kBq,False
Cerium-141,0.00327418795982889,kBq,False
Caesium-137,0.9935171782744717,kBq,False
Caesium-134,0.022371085920892243,kBq,False
Sodium-24,0.02597519128925208,kBq,False
"Radioactive species, other beta emitters",0.00021064262671055374,kBq,False
Iodine-131,0.13818309884946228,kBq,False
Cobalt-58,7.27801634990117e-05,kBq,False
Strontium-90,0.6436977033750051,kBq,False
Silver-110,2.1355019262653427,kBq,False
"Transformation, from dump site",0.018430333640635985,m2,True
