Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,47.33609819371902,mol H+-Eq,0.85183532463939,mol H+-Eq/ref
Climate change,617.0679476549915,kg CO2-Eq,0.08169749151946303,kg CO2-Eq/ref
Climate change: biogenic,1.9001901600735294,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,614.0192802688643,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,1.14847722605367,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,52678.909595010206,CTUe,0.9288095951194054,CTUe/ref
"Ecotoxicity: freshwater, inorganics",52552.099093814155,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",126.81050119602412,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,7788.2367423191035,"MJ, net calorific value",0.11981117519151673,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.7971824789742232,kg P-Eq,2.3631188040311217,kg P-Eq/ref
Eutrophication: marine,2.35544928437633,kg N-Eq,0.12051304196641398,kg N-Eq/ref
Eutrophication: terrestrial,32.737082676187505,mol N-Eq,0.18521163595502152,mol N-Eq/ref
Human toxicity: carcinogenic,4.881823558436383e-06,CTUh,0.28295669472589435,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.747642902267637e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.341806561687459e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0004959764182607247,CTUh,3.8526629556668275,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.00046544355685592683,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.0532861404797845e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,68.23004490214693,kBq U235-Eq,0.016167631107322347,kBq U235-Eq/ref
Land use,15427.244514825972,dimensionless,0.018825233340033526,dimensionless/ref
Material resources: metals/minerals,0.6074801100969554,kg Sb-Eq,9.548178899860615,kg Sb-Eq/ref
Ozone depletion,1.2433014081854751e-05,kg CFC-11-Eq,0.00023750521734080597,kg CFC-11-Eq/ref
Particulate matter formation,0.00011043908604726554,disease incidence,0.1854974932222739,disease incidence/ref
Photochemical oxidant formation: human health,9.283399311768445,kg NMVOC-Eq,0.2272046400204355,kg NMVOC-Eq/ref
Water use,523.6319277649354,m3 world Eq deprived,0.045657444460541756,m3 world Eq deprived/ref
