Impact category,Amount (Normalized),Normalized Unit
Acidification,0.85183532463939,mol H+-Eq/ref
Climate change,0.08169749151946303,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.9288095951194054,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.11981117519151673,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.3631188040311217,kg P-Eq/ref
Eutrophication: marine,0.12051304196641398,kg N-Eq/ref
Eutrophication: terrestrial,0.18521163595502152,mol N-Eq/ref
Human toxicity: carcinogenic,0.28295669472589435,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,3.8526629556668275,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.016167631107322347,kBq U235-Eq/ref
Land use,0.018825233340033526,dimensionless/ref
Material resources: metals/minerals,9.548178899860615,kg Sb-Eq/ref
Ozone depletion,0.00023750521734080597,kg CFC-11-Eq/ref
Particulate matter formation,0.1854974932222739,disease incidence/ref
Photochemical oxidant formation: human health,0.2272046400204355,kg NMVOC-Eq/ref
Water use,0.045657444460541756,m3 world Eq deprived/ref
