Flow,Amount,Unit,Is input
Water,0.014506512261511516,m3,False
Copper ion,2.856749214376329e-07,kg,False
Acetaldehyde,4.046640041488198e-07,kg,False
Molybdenum VI,6.540785581113896e-09,kg,False
Nitrogen oxides,0.000393291209178128,kg,False
Lead II,1.2372699508450148e-07,kg,False
"Particulate Matter, > 2.5 um and < 10um",5.216214878615344e-05,kg,False
Chromium VI,2.042118167418308e-09,kg,False
Arsenic ion,2.6677424792490746e-08,kg,False
"Particulate Matter, > 10 um",6.076235886439612e-05,kg,False
"Hydrocarbons, aliphatic, unsaturated",1.5989168706890008e-06,kg,False
Sulfur dioxide,0.0006790744735990211,kg,False
Methanol,3.584480773097253e-07,kg,False
Chromium III,2.3332184131076048e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.2915381491389368e-07,kg,False
Dinitrogen monoxide,6.612320197721046e-05,kg,False
Ammonia,4.281895634135004e-05,kg,False
"Methane, fossil",5.542499885849707e-05,kg,False
Calcium II,6.063170752700271e-06,kg,False
Iron ion,3.858705652686094e-06,kg,False
Acetone,8.940876840109839e-06,kg,False
Hydrogen fluoride,1.5466741679258525e-06,kg,False
Selenium IV,1.1696250848476701e-08,kg,False
"Hydrocarbons, aromatic",5.36788064534348e-07,kg,False
Propane,1.229487575868837e-06,kg,False
Formaldehyde,1.0903777887442744e-06,kg,False
Ethanol,1.4256877603717283e-07,kg,False
Mercury II,3.8165269564639095e-09,kg,False
"Hydrocarbons, aliphatic, alkanes, unspecified",6.048746304163291e-05,kg,False
Cobalt II,2.0281168639355102e-08,kg,False
Sodium I,1.2882352654530418e-06,kg,False
Hydrochloric acid,3.721447469788534e-05,kg,False
"Carbon dioxide, fossil",0.3822706376168537,kg,False
"Carbon monoxide, fossil",0.0012219697014537658,kg,False
Nickel II,1.37445245432737e-07,kg,False
Zinc II,5.954385708597287e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.740957523232193e-13,kg,False
"Particulate Matter, < 2.5 um",0.00011655825161454486,kg,False
Vanadium V,3.7188987825098736e-07,kg,False
Benzo(a)pyrene,6.893075058421593e-10,kg,False
Acetic acid,3.289660720634622e-07,kg,False
Toluene,6.178446051891898e-07,kg,False
Hydrogen,0.000578112143386926,kg,False
Chloroform,2.4479927751259626e-10,kg,False
Carbon tetrachloride,7.320557045797039e-12,kg,False
Oxygen,0.13610311774815606,kg,True
Oxygen,9.977679312149604e-05,kg,False
