Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,6.064703913360822,mol H+-Eq,0.10913719600921785,mol H+-Eq/ref
Climate change,269.4638332175465,kg CO2-Eq,0.035676005070030034,kg CO2-Eq/ref
Climate change: biogenic,4.23829781123159,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,264.9295535779205,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.2959818283944046,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,6844.027089720497,CTUe,0.12067064559725928,CTUe/ref
"Ecotoxicity: freshwater, inorganics",6801.2521800746235,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",42.774909645872974,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,3274.6108539085562,"MJ, net calorific value",0.05037532726372345,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.5195943161718023,kg P-Eq,0.3233616255769132,kg P-Eq/ref
Eutrophication: marine,0.44408783746054287,kg N-Eq,0.02272109042960222,kg N-Eq/ref
Eutrophication: terrestrial,5.459225637461894,mol N-Eq,0.03088583431099013,mol N-Eq/ref
Human toxicity: carcinogenic,7.412416985708816e-07,CTUh,0.04296331043307976,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.628876589232878e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.7835403964759377e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,5.754141244550079e-05,CTUh,0.446972194611459,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",5.401737667646249e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.524035769038314e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,21.03898821595545,kBq U235-Eq,0.004985349208471156,kBq U235-Eq/ref
Land use,2461.5538313074867,dimensionless,0.0030037331170115113,dimensionless/ref
Material resources: metals/minerals,0.06935820188471616,kg Sb-Eq,1.09015012798069,kg Sb-Eq/ref
Ozone depletion,2.9228101064415378e-06,kg CFC-11-Eq,5.5833818332870724e-05,kg CFC-11-Eq/ref
Particulate matter formation,4.160493150324875e-05,disease incidence,0.06988115146329701,disease incidence/ref
Photochemical oxidant formation: human health,1.6687527640933513,kg NMVOC-Eq,0.040841545032787197,kg NMVOC-Eq/ref
Water use,131.29600602147147,m3 world Eq deprived,0.011448194399458688,m3 world Eq deprived/ref
