Impact category,Amount (Normalized),Normalized Unit
Acidification,0.10913719600921785,mol H+-Eq/ref
Climate change,0.035676005070030034,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.12067064559725928,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.05037532726372345,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.3233616255769132,kg P-Eq/ref
Eutrophication: marine,0.02272109042960222,kg N-Eq/ref
Eutrophication: terrestrial,0.03088583431099013,mol N-Eq/ref
Human toxicity: carcinogenic,0.04296331043307976,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.446972194611459,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.004985349208471156,kBq U235-Eq/ref
Land use,0.0030037331170115113,dimensionless/ref
Material resources: metals/minerals,1.09015012798069,kg Sb-Eq/ref
Ozone depletion,5.5833818332870724e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.06988115146329701,disease incidence/ref
Photochemical oxidant formation: human health,0.040841545032787197,kg NMVOC-Eq/ref
Water use,0.011448194399458688,m3 world Eq deprived/ref
