Flow,Amount,Unit,Is input
Water,2.83404295896995,m3,False
"Transformation, to industrial area",0.03652407682460945,m2,True
"Transformation, to lake, artificial",0.007579534097932048,m2,True
"Water, turbine use, unspecified natural origin",1644.7636827880287,m3,True
"Transformation, from forest, unspecified",0.012323458362036755,m2,True
"Energy, potential (in hydropower reservoir), converted",269.5298618639797,MJ,True
"Carbon dioxide, from soil or biomass stock",0.29939252138553235,kg,False
Water,1654.7389123585729,m3,False
"Methane, non-fossil",0.15440556569749753,kg,False
"Volume occupied, reservoir",10.58258042457022,m3*a,True
"Occupation, lake, artificial",0.9997278718391944,m2*a,True
Water,28.329207112779557,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.011210531201583475,kg,False
"Hydrocarbons, unspecified",0.00021536664984203686,kg,False
Cadmium II,1.6371278260130133e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.4329465822987183e-10,kg,False
Selenium IV,3.6769852174280953e-06,kg,False
Chromium VI,6.2299389927156796e-06,kg,False
Vanadium V,8.877656632340164e-08,kg,False
Copper ion,0.00020519404498209388,kg,False
"TOC, Total Organic Carbon",0.002696977692157877,kg,False
Ammonia,0.0847394165853155,kg,False
Arsenic ion,6.134037136929684e-06,kg,False
Chromium III,3.9739656235882766e-05,kg,False
Zinc II,0.0001179581380055595,kg,False
Nitrogen,2.826044840919566e-05,kg,False
"Water, unspecified natural origin",0.6106504618856109,m3,True
"AOX, Adsorbable Organic Halides",3.7429452228019125e-06,kg,False
Benzene,3.6579414529441646e-05,kg,False
Rhodium III,3.990412633947372e-09,kg,False
Mercury II,2.1455628611482266e-06,kg,False
Chloride,0.11511726402589938,kg,False
Tin ion,1.4547052549056433e-05,kg,False
Formaldehyde,0.0001798835662349332,kg,False
Nickel II,7.868038586731034e-05,kg,False
Sulfate,0.013609599486316886,kg,False
Sulfide,4.1832397065602276e-05,kg,False
Selenium IV,1.8053260712329374e-07,kg,False
"Suspended solids, unspecified",0.009608114678154953,kg,False
Nitrogen oxides,0.6286569917939498,kg,False
Tellurium,6.8402671228251965e-09,kg,False
Platinum,3.990412633947372e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.803362632990454e-09,kg,False
Beryllium II,3.169283990269439e-08,kg,False
Palladium II,3.995998043127668e-09,kg,False
Vanadium V,4.364299642652672e-05,kg,False
Copper ion,5.951755930029674e-05,kg,False
Antimony ion,1.830966513510293e-05,kg,False
Ammonium,0.0002201066153861269,kg,False
Cobalt II,4.13763687713553e-06,kg,False
Arsenic ion,4.294753577508451e-06,kg,False
Fluoride,0.00011354396133617625,kg,False
Barium II,6.785072879681348e-06,kg,False
Hydrogen fluoride,0.0006632582368263885,kg,False
Lead II,0.00012622738596355874,kg,False
Hydrochloric acid,0.004626016507386933,kg,False
Boron,1.7684576044478892e-06,kg,False
Chromium III,0.00102754772346684,kg,False
Sodium I,0.06360627423459622,kg,False
"NMVOC, non-methane volatile organic compounds",0.12728697790082413,kg,False
t-Butyl methyl ether,8.842288022239438e-08,kg,False
Cyanide,6.684513542079521e-05,kg,False
"Heat, waste",18.575729874888275,MJ,False
Nickel II,8.074141267392203e-05,kg,False
Hydrogen sulfide,0.0015401460107596688,kg,False
Cobalt II,5.4930116735198976e-08,kg,False
Mercury II,3.329892959953604e-06,kg,False
Benzene,0.00039216132541955396,kg,False
"Particulate Matter, < 2.5 um",0.09561040349527006,kg,False
"Carbon monoxide, fossil",1.313587264991219,kg,False
Cadmium II,1.279464460827368e-05,kg,False
"Xylenes, unspecified",8.294766806139787e-05,kg,False
Dinitrogen monoxide,0.0020960610920828376,kg,False
Toluene,3.732765886128724e-05,kg,False
"Particulate Matter, > 10 um",0.0603047813200129,kg,False
Thallium I,1.8876678061786705e-07,kg,False
Aluminium III,9.572355198140344e-06,kg,False
Nitrate,8.468460926640212e-05,kg,False
"Xylenes, unspecified",4.5742083567531103e-07,kg,False
