Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,47.33609819371902,mol H+-Eq,0.0003627414632397102,mol H+-Eq/ref
Climate change,617.0679476549915,kg CO2-Eq,0.004728656116409635,kg CO2-Eq/ref
Climate change: biogenic,1.9001901600735291,kg CO2-Eq,1.4561355612326973e-05,kg CO2-Eq/ref
Climate change: fossil,614.0192802688643,kg CO2-Eq,0.0047052938598913805,kg CO2-Eq/ref
Climate change: land use and land use change,1.14847722605367,kg CO2-Eq,8.800900905927855e-06,kg CO2-Eq/ref
Ecotoxicity: freshwater,52678.909595010206,CTUe,0.40368398489806123,CTUe/ref
"Ecotoxicity: freshwater, inorganics",52552.09909381416,CTUe,0.4027122227859884,CTUe/ref
"Ecotoxicity: freshwater, organics",126.81050119602412,CTUe,0.0009717621120726513,CTUe/ref
Energy resources: non-renewable,7788.236742319103,"MJ, net calorific value",0.05968207139516554,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.7971824789742232,kg P-Eq,2.9098205833831592e-05,kg P-Eq/ref
Eutrophication: marine,2.35544928437633,kg N-Eq,1.8050053819496475e-05,kg N-Eq/ref
Eutrophication: terrestrial,32.737082676187505,mol N-Eq,0.0002508676829163608,mol N-Eq/ref
Human toxicity: carcinogenic,4.881823558436383e-06,CTUh,3.7409923682731275e-11,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.747642902267637e-06,CTUh,3.6381683303519505e-11,CTUh/ref
"Human toxicity: carcinogenic, organics",1.341806561687459e-07,CTUh,1.0282403792117723e-12,CTUh/ref
Human toxicity: non-carcinogenic,0.0004959764182607,CTUh,3.800719082422157e-09,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0004654435568559,CTUh,3.5667425772707022e-09,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.0532861404797845e-05,CTUh,2.339765051514374e-10,CTUh/ref
Ionising radiation: human health,68.23004490214693,kBq U235-Eq,0.0005228539585884149,kBq U235-Eq/ref
Land use,15427.244514825972,dimensionless,0.11822058561234156,dimensionless/ref
Material resources: metals/minerals,0.6074801100969554,kg Sb-Eq,4.655183516051371e-06,kg Sb-Eq/ref
Ozone depletion,1.2433014081854753e-05,kg CFC-11-Eq,9.52754851503654e-11,kg CFC-11-Eq/ref
Particulate matter formation,0.0001104390860472,disease incidence,8.46306248302764e-10,disease incidence/ref
Photochemical oxidant formation: human health,9.283399311768443,kg NMVOC-Eq,7.113965828802152e-05,kg NMVOC-Eq/ref
Water use,523.6319277649354,m3 world Eq deprived,0.004012646139509789,m3 world Eq deprived/ref
