Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.18287223071755096,mol H+-Eq,0.0032908717018312332,mol H+-Eq/ref
Climate change,32.57041275996874,kg CO2-Eq,0.004312200998860992,kg CO2-Eq/ref
Climate change: biogenic,1.7891592546577364,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,30.745382699026578,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.03587080628442178,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,141.1306337341639,CTUe,0.002488348520979831,CTUe/ref
"Ecotoxicity: freshwater, inorganics",137.89294578192937,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",3.2376879522344275,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,250.1244005503394,"MJ, net calorific value",0.0038478155409906473,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.010757365938802497,kg P-Eq,0.006694683195392636,kg P-Eq/ref
Eutrophication: marine,0.04053436991334124,kg N-Eq,0.0020738804502607056,kg N-Eq/ref
Eutrophication: terrestrial,0.5039661816647868,mol N-Eq,0.002851213160787697,mol N-Eq/ref
Human toxicity: carcinogenic,1.7821280184014637e-08,CTUh,0.0010329440374670135,CTUh/ref
"Human toxicity: carcinogenic, inorganics",7.371808876866665e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.0449471307147968e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,6.810039540525229e-07,CTUh,0.005289926314725662,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",6.454646087264711e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.5539345326051826e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.3421192668515132,kBq U235-Eq,0.0003180254276485521,kBq U235-Eq/ref
Land use,3095.6926289016515,dimensionless,0.003777546666359608,dimensionless/ref
Material resources: metals/minerals,0.0006234872221292852,kg Sb-Eq,0.009799773588829778,kg Sb-Eq/ref
Ozone depletion,3.173240492738021e-07,kg CFC-11-Eq,6.061773661161647e-06,kg CFC-11-Eq/ref
Particulate matter formation,3.105496181274274e-06,disease incidence,0.005216103985061776,disease incidence/ref
Photochemical oxidant formation: human health,0.13902631424704404,kg NMVOC-Eq,0.003402570827888941,kg NMVOC-Eq/ref
Water use,2057.81663136396,m3 world Eq deprived,0.17942880022139615,m3 world Eq deprived/ref
