Flow,Amount,Unit,Is input
Water,96.32829134311378,m3,False
"Transformation, to industrial area",0.01752398732693653,m2,True
"Transformation, to lake, artificial",0.07736559979920427,m2,True
"Water, turbine use, unspecified natural origin",157170.97150457517,m3,True
"Transformation, from forest, unspecified",0.0028041660037265927,m2,True
"Energy, potential (in hydropower reservoir), converted",25446.73746574935,MJ,True
"Carbon dioxide, from soil or biomass stock",0.06764357742317045,kg,False
Water,157076.4773755648,m3,False
"Methane, non-fossil",0.13277146016779912,kg,False
"Volume occupied, reservoir",492.5600169118991,m3*a,True
"Occupation, lake, artificial",11.470614439594758,m2*a,True
Water,2.3055201352758554,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0036130324352625833,kg,False
"Hydrocarbons, unspecified",2.5324167895009795e-05,kg,False
Cadmium II,5.03122091613861e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.376870384678062e-11,kg,False
Selenium IV,4.915225675735751e-07,kg,False
Chromium VI,6.581038702138287e-07,kg,False
Vanadium V,3.1168738701567217e-08,kg,False
Copper ion,6.0347483242868515e-05,kg,False
"TOC, Total Organic Carbon",0.000280093534796607,kg,False
Ammonia,0.0027335920189272165,kg,False
Arsenic ion,7.416179620658542e-07,kg,False
Chromium III,3.6378299232071876e-06,kg,False
Zinc II,4.377994451251423e-05,kg,False
Nitrogen,9.131959905637481e-06,kg,False
"Water, unspecified natural origin",0.4583960412499097,m3,True
"AOX, Adsorbable Organic Halides",5.988434475304732e-07,kg,False
Benzene,3.5475981369477525e-06,kg,False
Rhodium III,1.3742404039745748e-09,kg,False
Mercury II,2.0161883673614084e-07,kg,False
Chloride,0.009024725506077816,kg,False
Tin ion,7.831282853977677e-06,kg,False
Formaldehyde,7.268608783233922e-05,kg,False
Nickel II,7.329706916615236e-06,kg,False
Sulfate,0.00203903482264054,kg,False
Sulfide,6.185176660780816e-06,kg,False
Selenium IV,6.388975955180925e-08,kg,False
"Suspended solids, unspecified",0.0010196092393082302,kg,False
Nitrogen oxides,0.10933747873972093,kg,False
Tellurium,2.5145744325600285e-09,kg,False
Platinum,1.3742404039745748e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.1036242425215047e-08,kg,False
Beryllium II,4.026910024688931e-08,kg,False
Palladium II,1.3759178732689993e-09,kg,False
Vanadium V,1.459582364026433e-05,kg,False
Copper ion,5.762478982973214e-06,kg,False
Antimony ion,9.911085871816838e-06,kg,False
Ammonium,1.4702046535851745e-05,kg,False
Cobalt II,5.643446979984638e-07,kg,False
Arsenic ion,4.1393063563929894e-07,kg,False
Fluoride,0.00010114513352576086,kg,False
Barium II,1.18768183925109e-06,kg,False
Hydrogen fluoride,0.00022741763524603388,kg,False
Lead II,1.9125624001705285e-05,kg,False
Hydrochloric acid,0.00046406282991963486,kg,False
Boron,6.223327488126728e-07,kg,False
Chromium III,4.6130808516517395e-05,kg,False
Sodium I,0.005527852182383226,kg,False
"NMVOC, non-methane volatile organic compounds",0.01553964537870683,kg,False
t-Butyl methyl ether,3.111663744063359e-08,kg,False
Cyanide,6.982816356058341e-06,kg,False
"Heat, waste",4.936226575550091,MJ,False
Nickel II,1.1010799363257491e-05,kg,False
Hydrogen sulfide,0.00018643762726098956,kg,False
Cobalt II,5.83310707883602e-09,kg,False
Mercury II,1.6461449788260813e-06,kg,False
Benzene,5.566424269099734e-05,kg,False
"Particulate Matter, < 2.5 um",0.00842034628703658,kg,False
"Carbon monoxide, fossil",0.15366013662736852,kg,False
Cadmium II,1.204769536768222e-06,kg,False
"Xylenes, unspecified",2.4193498288963558e-05,kg,False
Dinitrogen monoxide,0.03530315361263722,kg,False
Toluene,1.0121519546827217e-05,kg,False
"Particulate Matter, > 10 um",0.012083415517229542,kg,False
Thallium I,3.1001273427189305e-07,kg,False
Aluminium III,1.9105091748699242e-06,kg,False
Nitrate,1.3964856808599925e-05,kg,False
"Xylenes, unspecified",6.883251690085324e-08,kg,False
Nitrite,1.0245428959102993e-07,kg,False
"BOD5, Biological Oxygen Demand",0.0013898641595851589,kg,False
Molybdenum VI,1.555831872031681e-08,kg,False
"Heat, waste",0.4080433726195861,MJ,False
Water,0.21190591969647213,m3,False
Benzo(a)pyrene,9.761921134821373e-08,kg,False
"Water, cooling, unspecified natural origin",1.329491396371309,m3,True
Manganese II,8.667072021512896e-06,kg,False
Zinc II,1.0573549047891489e-05,kg,False
Iron ion,0.0001166948646212843,kg,False
Manganese II,3.4579694151723656e-06,kg,False
Toluene,4.4815755342593415e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6879628383462417e-05,kg,False
Lead II,3.1801001074624587e-06,kg,False
Tin ion,1.5573367853923005e-08,kg,False
Phenol,3.8047948409128054e-06,kg,False
"Carbon dioxide, fossil",28.96576709402382,kg,False
"Methane, fossil",0.0009599311627788954,kg,False
Phosphorus,1.0708089673759162e-06,kg,False
"Carbon dioxide, non-fossil",0.5752429444856878,kg,False
Sulfur dioxide,0.022351186173229124,kg,False
"DOC, Dissolved Organic Carbon",0.0002796388622241632,kg,False
"COD, Chemical Oxygen Demand",0.001488407143354066,kg,False
"Water, well, in ground",0.05369474815165106,m3,True
"DOC, Dissolved Organic Carbon",0.04570286279326062,kg,False
Chloride,0.02349939439506916,kg,False
"COD, Chemical Oxygen Demand",0.023143802161983376,kg,False
Phenol,2.151321385075607e-05,kg,False
Chlorine,9.227396148008048e-05,kg,False
"Water, river",0.08892257267498938,m3,True
Sodium I,0.12876270155557537,kg,False
"Carbon dioxide, fossil",4.657497581929904,kg,False
Phenol,1.046909295022549e-07,kg,False
"TOC, Total Organic Carbon",0.012094196300295667,kg,False
"BOD5, Biological Oxygen Demand",0.010052907952392613,kg,False
Hydrogen,0.002585048413407564,kg,False
Ammonia,0.003723034335624202,kg,False
Benzene,0.00012235141370128697,kg,False
"NMVOC, non-methane volatile organic compounds",0.03462908547172363,kg,False
Nickel II,0.00015944691052177578,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6067042573336665e-05,kg,False
"Carbon dioxide, fossil",13.943362406562697,kg,False
Selenium IV,1.8348685352296345e-06,kg,False
