Impact category,Amount (Normalized),Normalized Unit
Acidification,0.020773582234386426,mol H+-Eq/ref
Climate change,0.04317560593348145,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0224150911579231,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.8692230195429341,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.17542488814493323,kg P-Eq/ref
Eutrophication: marine,0.02457864689423409,kg N-Eq/ref
Eutrophication: terrestrial,0.017184509264715844,mol N-Eq/ref
Human toxicity: carcinogenic,0.006413792500421242,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.03713984470050698,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.8523590754806951,kBq U235-Eq/ref
Land use,0.01792614257501525,dimensionless/ref
Material resources: metals/minerals,0.05332185090631726,kg Sb-Eq/ref
Ozone depletion,7.394582113886342e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.04426189299242962,disease incidence/ref
Photochemical oxidant formation: human health,0.02217427035625474,kg NMVOC-Eq/ref
Water use,0.6879850182997667,m3 world Eq deprived/ref
