Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.017,0.05236,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 1,EDA-05280-V1,Q Power Card [25A 100V] Printed Circuit Board (Bare),1,0.017,YES,170,100,,,,,,3.08,EcoInvent,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,M2_EQUIVALENT,,5.519481,,M2_RELATION,
"0V_B1, 0V_B2, 15V_A1, 15V_A2, 15V_B1, 15V_B2, 24V, 4Q_I_MEAS_M, 4Q_I_MEAS_P, BC_CMD, CDE_A1, CDE_A2, CDE_B1, CDE_B2, G_A1, G_A2, G_B1, G_B2, GND, V_DC_M, V_DC_P, V_HA, V_HB",,Passives,Test PIN,kg,kg,0.002,0.002,"electronic component, passive, unspecified",AUTO,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,8e-05,YES,,,,,,,,,EcoInvent ,Input,Passive generic,2,1,2,DATASHEET_QTY_KG,,0.08,,MISSING,
"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,Electromechanical,Connectors,kg,kg,0.016,0.016,"market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",AUTO,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,0.004,YES,,,,,,,,,EcoInvent,Input,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk",3,1,3,DATASHEET_QTY_KG,,4.0,,MISSING,
J1,,Electromechanical,Connectors,kg,kg,0.00078,0.00078,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connector",1,0.00078,YES,,,,,,,,,EcoInvent,Input,Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity/,24,1,3,DATASHEET_QTY_KG,,0.78,,MISSING,
J2,,Electromechanical,Connectors,kg,kg,0.0211603712,0.0211603712,"electric connector production, wire clamp",AUTO,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,0.0211603712,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,Input,Calculated because there were different mass values depending on the website,25,1,3,CALCULATED,12.257408,21.160371,1.4,MIN_MAX_AVG,
IC4–IC7,,Modules,DC/DC Converters,kg,kg,0.0192,0.0192,"electronic component production, active, unspecified",AUTO,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",4,0.0048,YES,,,,,,,,,EcoInvent,Input,Generic active component dataset used with mass scaling. The automotive converter dataset was rejected due to extreme scale difference.,20,1,14,DATASHEET_QTY_KG,,4.8,,MISSING,
IC8,SOIC16,IC,Mixed signal,kg,kg,0.0001853125,0.0001853125,"integrated circuit production, logic type",AUTO,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,Input,logic IC. The function matches.,21,1,15,CALCULATED,0.06825,0.185313,1.25,MIN_MAX_AVG,
"R1, R10 > R13, R61,R80 > R84",1206,Passives,Resistors,kg,kg,0.000141416,0.000141416,"resistor production, surface-mounted",AUTO,GENERIC,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,11,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,28,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
R2 > R5,1206,Passives,Resistors,kg,kg,5.1424e-05,5.1424e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_1R_1%_0.25W_200PPM,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,4,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,29,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
"R6 > R9, R38, R45, R48, R53, R54, R62 > R67, R71 > R77",1206,Passives,Resistors,kg,kg,0.000282832,0.000282832,"resistor production, surface-mounted",AUTO,GENERIC,R1206_10K_1%_0.25W_100PPM ,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,22,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,Input,,30,1,20,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,
