Flow,UUID,flow/process,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",dcda613c-0c0d-3cea-a518-a4847d197cdb,unit process,m2,0.017,Input
"electronic component, passive, unspecified",f3d352d4-6c0c-3a0d-819a-cdac67904aae,unit process,kg,0.002,Input
"metal working, average for copper product manufacturing",d81d83ea-b26b-383a-ab8d-29cca83903fb,unit process,kg,0.016,Input
"market for copper, cathode",40dc9f2f-40c2-37b4-8f38-53d043a5f756,unit process,kg,0.016,pre-input
"market for zinc, primary",b620b979-8e06-3778-9e5f-9d5de2dc3d74,unit process,kg,0.016,pre-process
"electric connector production, wire clamp",dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,unit process,kg,0.0219403712,Input
"electronic component production, active, unspecified",aab92320-5f7c-3d87-aafa-7dcd00f7295b,unit process,kg,0.029627,Input
"integrated circuit production, logic type",bc6841b3-b7b5-35d7-bd6c-a4aea2d9319a,unit process,kg,0.003504454388,Input
"resistor production, surface-mounted",4ec1457b-7716-3a2b-b019-a95236792b9a,unit process,kg,0.001079904,Input
"market for steel, low-alloyed",fa03ac80-8409-3532-8909-e482fa560643,unit process,kg,0.00126385,pre-input
"market for metal working, average for metal product manufacturing",ee2d0c92-a051-3a2d-a58b-0edfc89f19c7,unit process,kg,0.00126385,pre-process
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,flow,m2,0.028,Input
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,flow,m2,0.028,Input
"capacitor production, for surface-mounting",58bb18d4-4cd4-30e4-a30e-3d49987423f9,unit process,kg,0.003790592,Input
"capacitor production, film type, for through-hole mounting",59460f65-cf77-3d26-9e32-c7d03a4cd924,unit process,kg,0.1223586,Input
"capacitor production, electrolyte type, < 2cm height",4ba31d33-ea47-366e-a700-f2c314eefe35,unit process,kg,0.002831378,Input
"capacitor production, electrolyte type, > 2cm height",8a9ed6e2-a68a-3a9c-9312-3045c3e64d6d,unit process,kg,0.33,Input
"transistor production, wired, small size, through-hole mounting",f3ef86cc-7a61-3cfd-b5ef-fb23a5546472,unit process,kg,0.0038,Input
"diode production, glass-, for through-hole mounting",863bb1f1-9c01-33bb-b157-c441b466754e,unit process,kg,3.748e-05,Input
"diode production, glass-, for surface-mounting",0be8d851-ba22-3358-9978-1e98418488c6,unit process,kg,0.000317509552,Input
"transistor production, wired, big size, through-hole mounting",dc537ffb-6da8-3c92-b6e9-9ba0d7a74803,unit process,kg,0.05962,Input
"transistor production, surface-mounted",fe412dc1-c484-36e1-9799-648be3ecec7c,unit process,kg,4.10625e-05,Input
"market for aluminium, primary",3ab9b906-aafe-3619-af19-8f898a2caab6,unit process,kg,0.002796,pre-input
"metal working, average for aluminium product manufacturing",9e6c96d1-8f01-3261-9993-9afa310d6c63,unit process,kg,0.002796,pre-process
