Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
PCB,,PCB,,,,PCB_ANAL_CONTROL,,1,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,
"C1_ADC_1, C1_ADC_2, C1_ADC_3, C1_ADC_4, C1_ADC_5, C1_ADC_6, C41_ANA_CAL_0, C41_ANA_CAL_1, C146, C175, C178, C179, C180, C189",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_10UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 25V, X7R, 0805",14,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing
"C2_ADC_1, C2_ADC_2, C2_ADC_3, C2_ADC_4, C2_ADC_5, C2_ADC_6, C4_ADC_1, C4_ADC_2, C4_ADC_3, C4_ADC_4, C4_ADC_5, C4_ADC_6, C6_ADC_1, C6_ADC_2, C6_ADC_3, C6_ADC_4, C6_ADC_5, C6_ADC_6, C28_ANA_CAL_0, C28_ANA_CAL_1, C29_ANA_CAL_0, C29_ANA_CAL_1, C30_ANA_CAL_0, C30_ANA_CAL_1, C31_ANA_CAL_0, C31_ANA_CAL_1, C33_ANA_CAL_0, C33_ANA_CAL_1, C34_ANA_CAL_0, C34_ANA_CAL_1, C36_ANA_CAL_0, C36_ANA_CAL_1, C37_ANA_CAL_0, C37_ANA_CAL_1, C38_ANA_CAL_0, C38_ANA_CAL_1, C42_ANA_CAL_0, C42_ANA_CAL_1, C43_ANA_CAL_0, C43_ANA_CAL_1, C45_ANA_CAL_0, C45_ANA_CAL_1, C46_ANA_CAL_0, C46_ANA_CAL_1, C49, C50, C51, C55, C56, C57, C59, C60, C64, C71, C72, C73, C74, C75, C76, C77, C83, C84, C85, C86, C87, C88, C91, C92, C94, C95, C98, C99, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C145, C149, C154, C155, C156_ANA_CAL_0, C156_ANA_CAL_1, C157_ANA_CAL_0, C157_ANA_CAL_1, C161, C163, C164, C165, C166, C167, C168, C169, C170, C171, C173, C174, C176, C182, C183, C184, C185, C186, C187, C188, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C212, C213, C214, C215",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0402",127,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing
"C3_ADC_1, C3_ADC_2, C3_ADC_3, C3_ADC_4, C3_ADC_5, C3_ADC_6, C5_ADC_1, C5_ADC_2, C5_ADC_3, C5_ADC_4, C5_ADC_5, C5_ADC_6, C7_ADC_1, C7_ADC_2, C7_ADC_3, C7_ADC_4, C7_ADC_5, C7_ADC_6, C11, C24_ANA_CAL_0, C24_ANA_CAL_1, C26, C32_ANA_CAL_0, C32_ANA_CAL_1, C35_ANA_CAL_0, C35_ANA_CAL_1, C39_ANA_CAL_0, C39_ANA_CAL_1, C44_ANA_CAL_0, C44_ANA_CAL_1, C48, C54, C58, C61, C93, C159, C172, C194, C195",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",39,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
"C8_ANA_CAL_0, C8_ANA_CAL_1, C9_ANA_CAL_0, C9_ANA_CAL_1",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_4.7NF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 4.7NF_50V_5%, 0603",4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
"C10, C12_ANA_CAL_0, C12_ANA_CAL_1, C13_ANA_CAL_0, C13_ANA_CAL_1, C14, C17, C47, C52, C62, C63, C65, C89, C90, C96, C97, C105, C107, C151, C158, C160, C181, C191, C192, C209",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_10NF_50V_5%_C0G,10nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,25,kg,,NO,1.6,0.8,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0603 MLCC mass 6.5 mg.
"C15_ANA_CAL_0, C15_ANA_CAL_1, C27_ANA_CAL_0, C27_ANA_CAL_1, C53, C106, C193",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_25V_1%_C0G,100pF ±1% 25V C0G SMD Multilayer Chip Ceramic Capacitor,7,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.
"C16_ANA_CAL_0, C16_ANA_CAL_1, C25_ANA_CAL_0, C25_ANA_CAL_1, C78, C80, C82, C113_ADC_1, C113_ADC_2, C113_ADC_3, C113_ADC_4, C113_ADC_5, C113_ADC_6, C116_ADC_1, C116_ADC_2, C116_ADC_3, C116_ADC_4, C116_ADC_5, C116_ADC_6, C117_ADC_1, C117_ADC_2, C117_ADC_3, C117_ADC_4, C117_ADC_5, C117_ADC_6, C120_ADC_1, C120_ADC_2, C120_ADC_3, C120_ADC_4, C120_ADC_5, C120_ADC_6, C121_ADC_1, C121_ADC_2, C121_ADC_3, C121_ADC_4, C121_ADC_5, C121_ADC_6, C124_ADC_1, C124_ADC_2, C124_ADC_3, C124_ADC_4, C124_ADC_5, C124_ADC_6, C125_ADC_1, C125_ADC_2, C125_ADC_3, C125_ADC_4, C125_ADC_5, C125_ADC_6, C128_ADC_1, C128_ADC_2, C128_ADC_3, C128_ADC_4, C128_ADC_5, C128_ADC_6, C129_ADC_1, C129_ADC_2, C129_ADC_3, C129_ADC_4, C129_ADC_5, C129_ADC_6, C132_ADC_1, C132_ADC_2, C132_ADC_3, C132_ADC_4, C132_ADC_5, C132_ADC_6, C133_ADC_1, C133_ADC_2, C133_ADC_3, C133_ADC_4, C133_ADC_5, C133_ADC_6, C136_ADC_1, C136_ADC_2, C136_ADC_3, C136_ADC_4, C136_ADC_5, C136_ADC_6, C137_ADC_1, C137_ADC_2, C137_ADC_3, C137_ADC_4, C137_ADC_5, C137_ADC_6, C140_ADC_1, C140_ADC_2, C140_ADC_3, C140_ADC_4, C140_ADC_5, C140_ADC_6, C141_ADC_1, C141_ADC_2, C141_ADC_3, C141_ADC_4, C141_ADC_5, C141_ADC_6, C144_ADC_1, C144_ADC_2, C144_ADC_3, C144_ADC_4, C144_ADC_5, C144_ADC_6, C148, C152",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,33pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,105,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.
"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,47pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,4,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C19_ANA_CAL_0, C19_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_330PF_50V_5%_C0G,330pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C20_ANA_CAL_0, C20_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_220PF_50V_5%_C0G,220pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C21_ANA_CAL_0, C21_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1.5NF_50V_5%_C0G,1.5nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C22_ANA_CAL_0, C22_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1NF_50V_5%_C0G,1nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.
"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",1210,Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_10V_10%_X7R,47µF ±10% 10V X7R SMD Multilayer Chip Ceramic Capacitor,3,kg,,NO,3.2,2.5,2.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Caing
