Flow,UUID,flow/process,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",,m2,0.0195,Input
"electronic component, passive, unspecified",,kg,0.0039683605,Input
"electronic component production, active, unspecified",,kg,0.001834,Input
"mounting, surface mount technology, Pb-free solder",,m2,0.0195,Input
"mounting, through-hole technology, Pb-free solder",,m2,0.0195,Input
"capacitor production, for surface-mounting",,kg,0.001475149,Input
"capacitor production, electrolyte type, < 2cm height",,kg,0.0035392225,Input
"diode production, glass-, for surface-mounting",,kg,0.000623632,Input
"integrated circuit production, logic type",,kg,0.0050280155,Input
"electric connector production, peripheral type buss",kg,0.040905,Input
"electric connector production, wire clamp",kg,0.00036683064,Input
"inductor production, low value multilayer chip",kg,0.00055,Input
"inductor production, ring core choke type",kg,0.00311996232,Input
"resistor production, surface-mounted",kg,0.0007120625,Input
"transistor production, surface-mounted",kg,0.000204425,Input
