Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
,Assambly THT components in the PCB,4Q_output_control_card,,'1',"Assembly Processes:""THT""",,,YES,'205','110',,,,,,,'EcoInvent','mounting,through-hole technology,Pb-free solder','m2'
,PCB_ANAL_CONTROL,analog_control,,,PCB,,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"steel, low-alloyed+metal working, average for steel product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"steel, low-alloyed + market for metal working, average for metal product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, fan_supervision_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"steel, low-alloyed + metal working, average for steel product manufacturing",kg,Input
3M,N3314-6302RB,control_backplane_card,,Connector 14,Electromechanical,Connectors,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
3M,N3428-6302RB,"4Q_output_control_card, control_backplane_card, inverter_power_card",,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input
3M,N3429-6302RB,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card",,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input
3M,N3793-6302RB,"control_backplane_card, fan_supervision_card",,"10 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
ABRACON,ARJM11D7-502-AB-EW2,digital_control,,DC-10MBd Versatile Link Fiber Optic Analog Transmitter for 1 mm POF and 200 µm PCS,Electromechanical,Connectors,kg,0.010248,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
AMPHENOL,10052825-101LF,"analog_control, digital_control",,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls",Electromechanical,Connectors,kg,0.015336,YES,,,,,,,,0,EcoInvent,"electric connector production, peripheral type buss",kg,Input
AMPHENOL,10052825-101LF,"analog_control, digital_control",,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls, Right Angle Header",Electromechanical,Connectors,kg,0.015336,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
AMPHENOL,10052837-101LF,"analog_control, digital_control",,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls",Electromechanical,Connectors,kg,0.015169,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
ANALOG DEVICES,AD4857BBC,analog_control,BGA-64,"8-Channel Simultaneous Sampling, 16-Bit 1 MSPS DAS",IC,Mixed-Signal,kg,,NO,7,7,1.42,,1.2,1.3,0.00001,,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,AD8672ARM,analog_control,MSOP-8,Dual Operational Amplifier,IC,Analog,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,ADA4522-2ARMZ,analog_control,VSSOP-8,Dual Operational Amplifier,IC,Analog,kg,0.0000116,YES,3.0,3.0,0.85,,1.2,1.3,0.000002,0,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,ADG1407BCP,analog_control,QFN-33,"9.5 Ω RON, 16-Channel, Differential 8-Channel iCMOS Multiplexers",IC,Analog,kg,0.00003,YES,5.0,5.0,0.8,,1.2,1.3,0.000005,0,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,ADP5071ACP,digital_control,LFCSP20,2 A/1.2 A DC-to-DC Switching Regulator with Independent Positive and Negative Outputs,IC,Analog,kg,0.0000584,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,DG412DY+,analog_control,SOIC16,Quad SPST CMOS Analog Switches,IC,Analog,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input
ANALOG DEVICES,LTM4623EY,digital_control,LGA25,"4V-20V to 0.6V-5.5V, Iout 3A Step-Down DC/DC uModule Regulator",IC,Analog,kg,0.0005,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
ANALOG DEVICES,LTM8074IY,analog_control,BGA-25,"40VIN, 1.2A Silent Switcher µModule Regulator",Modules,DC/DC Converters,kg,0.001834,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
BIVAR,RLP4-200-500,digital_control,,"2-Way in One Rows, Right Angle 2.8mm Diameter LED Light Pipe",Hardware,Mounting Hardware,kg,0.00129,YES,,,,,,,,,EcoInvent,polycarbonate + injection moulding,kg,Input
BOSSARD,BN5687 Art.3061582,4Q_output_power_card,,"M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2",Hardware,Mounting hardware,kg,0.00004,YES,,,,,,,,,EcoInvent,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOSSARD,BN628 Art.1241397,4Q_output_power_card,,"M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2",Hardware,Mounting hardware,kg,0.000117,YES,,,,,,,,,EcoInvent,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOSSARD,BN670 Art.1253131,4Q_output_power_card,,"Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV",Hardware,Mounting hardware,kg,0.000035,YES,,,,,,,,,EcoInvent,"steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOURNS,3224X-1-200E,analog_control,,"20Ω, 12‑turn, 4.8×3.8×2.5mm SMD Trimming Potentiometer",Passives,Resistors,kg,0.0002,YES,,,,,,,,0,EcoInvent,"electronic component, passive, unspecified",kg,Input
BOURNS,MF-SM030,"digital_control, fan_supervision_card",1206,"Surface Mount PTC Resettable Fuse, 300mA, 60V, PTS Series",Passives,Protection,kg,0.000474,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
BOURNS,SMAJ60CA,digital_control,DO214AC,Surface Mount Bi-directional Transient Voltage Suppressor Diode,Discrete Semiconductors,Small Signal,kg,0.000061,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
BROADCOM,HCPL-063L-000E,digital_control,SOIC8,"Dual-Channel, High Speed LVTTL Compatible 3.3 Volt Optocoupler",IC,Optoelectronics,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input
BROADCOM,HSMF-A203-A00J1,digital_control,,Bicolor Red/Emerald Green Surface Mount LED,Discrete Semiconductors,Optoelectronics,kg,0.000060,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input
BUSSMANN,1A1907-06-R,4Q_output_control_card,,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",Electromechanical,Fuse holder,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
CAEN ELS,CT-26,4Q_output_power_card,,"DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series",Modules,Sensors,kg,0.3,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
CERN,EDA-02872-V1-3,fuse_card,,"2 Circuits In-Line - Universal MATE-N-LOK with Central Wire Pin, 7 Poles, VDE  Metalok Bantam Circular Male Connector, Mounted On 15mm M3 Spacer",Electromechanical,Connectors,kg,0.0526,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
CERN,HCR6BFW,inverter_power_card,,HF Current transformer,Magnetics,Current sensing,kg,0.0095,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input
CERN,HCRAPQU001-0,filter_card,,HF Common Mode Inductor,Magnetics,Inductors,KG,0.0827,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input
DALLAS MAXIM,DS18B20,4Q_output_control_card,TO-92,Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C),IC,Analog,kg,0.000214,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
DIODES INC.,BAS70-04,digital_control,SOT23,30V Silicon Hot-Carrier Detector and Switching Diode,Discrete Semiconductors,Small Signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
DIODES INC.,BAT54C,digital_control,SOT23,Dual Common Cathode Small Signal Schottky Diode,Discrete Semiconductors,Small Signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
DIODES INC.,BZX84C4V7,digital_control,SOT23,Zener Diode,Discrete Semiconductors,Small Signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
DIODES INC.,DFLS230,digital_control,SOD123FL,Schottky Barrier Rectifier,Discrete Semiconductors,Power,kg,0.000018,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
DIODES INC.,SS16,analog_control,DO-214AC,60V 1A Surface Mount Schottky Rectifier,Discrete Semiconductors,Small signal,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
EPCOS,B82442H1103K,analog_control,2220,"100µH, ±10%, 2220 SMD Inductor",Passives,Inductors,kg,0.00048,YES,,,,,,,,0,EcoInvent,"inductor production, ring core choke type",kg,Input
EPCOS / TDK,B72220S0511K101 or S20K510,contactor_card,,±10% 510VAC 1W SIOV Metal Oxide Varistor,Passives,Resistors,kg,0.005948,YES,,,,,,,,,EcoInvent,"resistor production, wirewound, through-hole mounting",kg,Input
FAIRCHILD SEMICONDUCTOR,ES1D,4Q_output_control_card,DO-214AC,200V 1A Fast Rectifier,Discrete Semiconductors,Small signal,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
FAIRCHILD SEMICONDUCTOR,LM7815CT,4Q_output_control_card,TO-220,"""3-Terminal 15V 1A Positive Voltage Regulatorr""",IC,Analog,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input
FAIRCHILD SEMICONDUCTOR,LM7915CT,4Q_output_control_card,TO-220,3-Terminal 15V 1A Negative Voltage Regulator,IC,Analog,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input
FISCHER ELEKTRONIK,FFK 242 SA 220 O,4Q_power_card,,TO-220 Heat Sink Rth: 26°C/W,Hardware,Thermal Management,kg,0.001398,YES,,,,,,,,,EcoInvent,"aluminium, primary, cast alloy slab from continuous casting + metal working, average for aluminium product manufacturing",kg,Input
FISCHER ELEKTRONIK,FK 242 SA 220 O,4Q_output_control_card,,TO-220 Heat Sink Rth: 26°C/W,Hardware,Thermal Management,kg,0.001398,YES,,,,,,,,,EcoInvent,"aluminium, primary, cast alloy slab from continuous casting+metal working, average for aluminium product manufacturing",kg,Input
FISCHER ELEKTRONIK,FK 245 MI 247 O,contactor_card,,"TO-247 Heat Sink Rth: 20.2°C/W, Vertical Mount",Hardware,Thermal Management,kg,0.005,YES,,,,,,,,,EcoInvent,"copper, cathode + metal working, average for copper product manufacturing",kg,Input
FTDI,FT4232H-56Q,digital_control,,Quad High Speed USB to Multipurpose UART/MPSSE IC,IC,Logic / Mixed-Signal,kg,0.000369,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
